DATE,CPIUFDSL
2018-01-01,252.377
2018-02-01,252.264
2018-03-01,252.365
2018-04-01,252.867
2018-05-01,252.864
2018-06-01,253.167
2018-07-01,253.598
2018-08-01,253.949
2018-09-01,254.302
2018-10-01,254.17
2018-11-01,254.887
2018-12-01,255.877
2019-01-01,256.516
2019-02-01,257.288
2019-03-01,257.717
2019-04-01,257.367
2019-05-01,257.833
2019-06-01,257.918
2019-07-01,258.044
2019-08-01,258.241
2019-09-01,258.832
2019-10-01,259.423
2019-11-01,260.023
2019-12-01,260.546
2020-01-01,261.277
2020-02-01,262.032
2020-03-01,262.739
2020-04-01,266.402
2020-05-01,268.106
2020-06-01,269.506
2020-07-01,268.497
2020-08-01,268.838
2020-09-01,268.997
2020-10-01,269.58
2020-11-01,269.685
2020-12-01,270.852
2021-01-01,271.271
2021-02-01,271.616
2021-03-01,271.898
2021-04-01,272.732
2021-05-01,273.842
2021-06-01,275.881
2021-07-01,277.659
2021-08-01,278.821
2021-09-01,281.273
2021-10-01,283.909
2021-11-01,286.169
2021-12-01,287.939
2022-01-01,290.316
2022-02-01,293.19
2022-03-01,295.891
2022-04-01,298.275
2022-05-01,301.548
2022-06-01,304.571
2022-07-01,307.871
2022-08-01,310.411
2022-09-01,312.82
2022-10-01,314.95
2022-11-01,316.694
2022-12-01,318.109
2023-01-01,319.716
