Year,Period,Value,month
2018,1,1.8,2018-01-01
2018,2,1.8,2018-02-01
2018,3,2.1,2018-03-01
2018,4,2.1,2018-04-01
2018,5,2.2,2018-05-01
2018,6,2.3,2018-06-01
2018,7,2.4,2018-07-01
2018,8,2.2,2018-08-01
2018,9,2.2,2018-09-01
2018,10,2.1,2018-10-01
2018,11,2.2,2018-11-01
2018,12,2.2,2018-12-01
2019,1,2.2,2019-01-01
2019,2,2.1,2019-02-01
2019,3,2.0,2019-03-01
2019,4,2.1,2019-04-01
2019,5,2.0,2019-05-01
2019,6,2.1,2019-06-01
2019,7,2.2,2019-07-01
2019,8,2.4,2019-08-01
2019,9,2.4,2019-09-01
2019,10,2.3,2019-10-01
2019,11,2.3,2019-11-01
2019,12,2.3,2019-12-01
2020,1,2.3,2020-01-01
2020,2,2.4,2020-02-01
2020,3,2.1,2020-03-01
2020,4,1.4,2020-04-01
2020,5,1.2,2020-05-01
2020,6,1.2,2020-06-01
2020,7,1.6,2020-07-01
2020,8,1.7,2020-08-01
2020,9,1.7,2020-09-01
2020,10,1.6,2020-10-01
2020,11,1.6,2020-11-01
2020,12,1.6,2020-12-01
2021,1,1.4,2021-01-01
2021,2,1.3,2021-02-01
2021,3,1.6,2021-03-01
2021,4,3.0,2021-04-01
2021,5,3.8,2021-05-01
2021,6,4.5,2021-06-01
2021,7,4.3,2021-07-01
2021,8,4.0,2021-08-01
2021,9,4.0,2021-09-01
2021,10,4.6,2021-10-01
2021,11,4.9,2021-11-01
2021,12,5.5,2021-12-01
2022,1,6.0,2022-01-01
2022,2,6.4,2022-02-01
2022,3,6.5,2022-03-01
2022,4,6.2,2022-04-01
2022,5,6.0,2022-05-01
2022,6,5.9,2022-06-01
2022,7,5.9,2022-07-01
2022,8,6.3,2022-08-01
2022,9,6.6,2022-09-01
2022,10,6.3,2022-10-01
2022,11,6.0,2022-11-01
2022,12,5.7,2022-12-01
2023,1,5.6,2023-01-01
