DATE,MCOILWTICO
2018-01-01,63.7
2018-02-01,62.23
2018-03-01,62.73
2018-04-01,66.25
2018-05-01,69.98
2018-06-01,67.87
2018-07-01,70.98
2018-08-01,68.06
2018-09-01,70.23
2018-10-01,70.75
2018-11-01,56.96
2018-12-01,49.52
2019-01-01,51.38
2019-02-01,54.95
2019-03-01,58.15
2019-04-01,63.86
2019-05-01,60.83
2019-06-01,54.66
2019-07-01,57.35
2019-08-01,54.81
2019-09-01,56.95
2019-10-01,53.96
2019-11-01,57.03
2019-12-01,59.88
2020-01-01,57.52
2020-02-01,50.54
2020-03-01,29.21
2020-04-01,16.55
2020-05-01,28.56
2020-06-01,38.31
2020-07-01,40.71
2020-08-01,42.34
2020-09-01,39.63
2020-10-01,39.4
2020-11-01,40.94
2020-12-01,47.02
2021-01-01,52.0
2021-02-01,59.04
2021-03-01,62.33
2021-04-01,61.72
2021-05-01,65.17
2021-06-01,71.38
2021-07-01,72.49
2021-08-01,67.73
2021-09-01,71.65
2021-10-01,81.48
2021-11-01,79.15
2021-12-01,71.71
2022-01-01,83.22
2022-02-01,91.64
2022-03-01,108.5
2022-04-01,101.78
2022-05-01,109.55
2022-06-01,114.84
2022-07-01,101.62
2022-08-01,93.67
2022-09-01,84.26
2022-10-01,87.55
2022-11-01,84.37
2022-12-01,76.44
2023-01-01,78.12
