类别：所有类别

月份,car price: (美国)
2004-01,62
2004-02,57
2004-03,60
2004-04,64
2004-05,59
2004-06,66
2004-07,66
2004-08,54
2004-09,58
2004-10,53
2004-11,49
2004-12,49
2005-01,50
2005-02,47
2005-03,49
2005-04,56
2005-05,51
2005-06,58
2005-07,53
2005-08,49
2005-09,45
2005-10,41
2005-11,37
2005-12,40
2006-01,38
2006-02,33
2006-03,41
2006-04,44
2006-05,45
2006-06,43
2006-07,49
2006-08,43
2006-09,38
2006-10,36
2006-11,36
2006-12,36
2007-01,37
2007-02,35
2007-03,38
2007-04,37
2007-05,42
2007-06,41
2007-07,43
2007-08,40
2007-09,37
2007-10,35
2007-11,38
2007-12,35
2008-01,40
2008-02,35
2008-03,44
2008-04,45
2008-05,57
2008-06,50
2008-07,47
2008-08,41
2008-09,38
2008-10,41
2008-11,40
2008-12,42
2009-01,40
2009-02,40
2009-03,44
2009-04,45
2009-05,46
2009-06,47
2009-07,51
2009-08,51
2009-09,43
2009-10,39
2009-11,38
2009-12,36
2010-01,40
2010-02,43
2010-03,42
2010-04,43
2010-05,42
2010-06,43
2010-07,47
2010-08,45
2010-09,42
2010-10,42
2010-11,38
2010-12,40
2011-01,45
2011-02,47
2011-03,50
2011-04,52
2011-05,58
2011-06,50
2011-07,53
2011-08,50
2011-09,45
2011-10,43
2011-11,49
2011-12,47
2012-01,52
2012-02,48
2012-03,49
2012-04,51
2012-05,54
2012-06,55
2012-07,55
2012-08,52
2012-09,53
2012-10,48
2012-11,47
2012-12,46
2013-01,46
2013-02,46
2013-03,49
2013-04,52
2013-05,55
2013-06,55
2013-07,56
2013-08,59
2013-09,53
2013-10,52
2013-11,54
2013-12,50
2014-01,53
2014-02,53
2014-03,57
2014-04,56
2014-05,54
2014-06,57
2014-07,58
2014-08,57
2014-09,53
2014-10,52
2014-11,53
2014-12,55
2015-01,56
2015-02,61
2015-03,58
2015-04,69
2015-05,65
2015-06,71
2015-07,69
2015-08,68
2015-09,59
2015-10,53
2015-11,55
2015-12,57
2016-01,63
2016-02,66
2016-03,64
2016-04,69
2016-05,70
2016-06,67
2016-07,68
2016-08,61
2016-09,67
2016-10,61
2016-11,62
2016-12,63
2017-01,61
2017-02,67
2017-03,73
2017-04,72
2017-05,74
2017-06,76
2017-07,81
2017-08,78
2017-09,70
2017-10,73
2017-11,72
2017-12,70
2018-01,71
2018-02,74
2018-03,73
2018-04,74
2018-05,75
2018-06,75
2018-07,76
2018-08,78
2018-09,74
2018-10,68
2018-11,68
2018-12,74
2019-01,64
2019-02,66
2019-03,71
2019-04,70
2019-05,74
2019-06,72
2019-07,74
2019-08,72
2019-09,71
2019-10,66
2019-11,68
2019-12,64
2020-01,67
2020-02,76
2020-03,52
2020-04,50
2020-05,66
2020-06,75
2020-07,76
2020-08,72
2020-09,74
2020-10,75
2020-11,65
2020-12,63
2021-01,73
2021-02,76
2021-03,79
2021-04,83
2021-05,88
2021-06,82
2021-07,83
2021-08,77
2021-09,73
2021-10,73
2021-11,76
2021-12,69
2022-01,79
2022-02,85
2022-03,100
2022-04,91
2022-05,93
2022-06,90
2022-07,88
2022-08,90
2022-09,76
2022-10,78
2022-11,71
2022-12,73
2023-01,80
2023-02,75
