类别：所有类别

月份,flight price: (美国)
2004-01,24
2004-02,15
2004-03,33
2004-04,25
2004-05,17
2004-06,40
2004-07,32
2004-08,29
2004-09,34
2004-10,28
2004-11,27
2004-12,32
2005-01,24
2005-02,31
2005-03,25
2005-04,29
2005-05,24
2005-06,33
2005-07,18
2005-08,19
2005-09,19
2005-10,24
2005-11,15
2005-12,22
2006-01,20
2006-02,25
2006-03,37
2006-04,26
2006-05,28
2006-06,31
2006-07,19
2006-08,37
2006-09,31
2006-10,28
2006-11,24
2006-12,27
2007-01,24
2007-02,27
2007-03,22
2007-04,33
2007-05,27
2007-06,35
2007-07,28
2007-08,22
2007-09,25
2007-10,24
2007-11,28
2007-12,22
2008-01,27
2008-02,28
2008-03,34
2008-04,31
2008-05,37
2008-06,34
2008-07,37
2008-08,28
2008-09,29
2008-10,26
2008-11,33
2008-12,31
2009-01,39
2009-02,32
2009-03,36
2009-04,35
2009-05,28
2009-06,40
2009-07,34
2009-08,38
2009-09,34
2009-10,30
2009-11,31
2009-12,32
2010-01,37
2010-02,42
2010-03,39
2010-04,36
2010-05,42
2010-06,36
2010-07,31
2010-08,31
2010-09,30
2010-10,29
2010-11,27
2010-12,33
2011-01,32
2011-02,37
2011-03,40
2011-04,34
2011-05,44
2011-06,40
2011-07,41
2011-08,38
2011-09,34
2011-10,33
2011-11,33
2011-12,37
2012-01,40
2012-02,45
2012-03,40
2012-04,37
2012-05,43
2012-06,39
2012-07,41
2012-08,42
2012-09,38
2012-10,35
2012-11,33
2012-12,37
2013-01,46
2013-02,43
2013-03,46
2013-04,45
2013-05,45
2013-06,46
2013-07,46
2013-08,42
2013-09,41
2013-10,40
2013-11,42
2013-12,45
2014-01,51
2014-02,48
2014-03,58
2014-04,55
2014-05,50
2014-06,54
2014-07,54
2014-08,51
2014-09,49
2014-10,45
2014-11,46
2014-12,53
2015-01,58
2015-02,57
2015-03,60
2015-04,54
2015-05,54
2015-06,56
2015-07,57
2015-08,54
2015-09,53
2015-10,50
2015-11,48
2015-12,53
2016-01,60
2016-02,57
2016-03,54
2016-04,56
2016-05,56
2016-06,59
2016-07,56
2016-08,51
2016-09,53
2016-10,51
2016-11,51
2016-12,61
2017-01,68
2017-02,64
2017-03,69
2017-04,66
2017-05,65
2017-06,66
2017-07,66
2017-08,61
2017-09,61
2017-10,54
2017-11,60
2017-12,64
2018-01,77
2018-02,68
2018-03,68
2018-04,67
2018-05,66
2018-06,65
2018-07,64
2018-08,63
2018-09,53
2018-10,57
2018-11,62
2018-12,59
2019-01,70
2019-02,64
2019-03,64
2019-04,63
2019-05,64
2019-06,70
2019-07,61
2019-08,62
2019-09,61
2019-10,60
2019-11,61
2019-12,59
2020-01,77
2020-02,70
2020-03,72
2020-04,29
2020-05,32
2020-06,35
2020-07,36
2020-08,45
2020-09,37
2020-10,39
2020-11,36
2020-12,40
2021-01,38
2021-02,46
2021-03,49
2021-04,54
2021-05,53
2021-06,60
2021-07,64
2021-08,53
2021-09,51
2021-10,54
2021-11,61
2021-12,55
2022-01,73
2022-02,85
2022-03,93
2022-04,90
2022-05,97
2022-06,100
2022-07,92
2022-08,92
2022-09,83
2022-10,78
2022-11,83
2022-12,83
2023-01,99
2023-02,95
