类别：所有类别

月份,gas price: (美国)
2004-01,6
2004-02,5
2004-03,7
2004-04,9
2004-05,22
2004-06,9
2004-07,6
2004-08,5
2004-09,6
2004-10,9
2004-11,7
2004-12,6
2005-01,6
2005-02,5
2005-03,11
2005-04,14
2005-05,9
2005-06,7
2005-07,10
2005-08,34
2005-09,52
2005-10,18
2005-11,11
2005-12,9
2006-01,8
2006-02,8
2006-03,9
2006-04,24
2006-05,19
2006-06,11
2006-07,12
2006-08,12
2006-09,16
2006-10,10
2006-11,7
2006-12,6
2007-01,7
2007-02,7
2007-03,8
2007-04,10
2007-05,20
2007-06,10
2007-07,8
2007-08,8
2007-09,7
2007-10,8
2007-11,12
2007-12,8
2008-01,8
2008-02,9
2008-03,17
2008-04,24
2008-05,36
2008-06,33
2008-07,24
2008-08,18
2008-09,26
2008-10,28
2008-11,21
2008-12,15
2009-01,10
2009-02,9
2009-03,9
2009-04,7
2009-05,9
2009-06,9
2009-07,7
2009-08,7
2009-09,8
2009-10,8
2009-11,7
2009-12,6
2010-01,7
2010-02,6
2010-03,7
2010-04,7
2010-05,8
2010-06,6
2010-07,6
2010-08,5
2010-09,6
2010-10,7
2010-11,6
2010-12,7
2011-01,9
2011-02,13
2011-03,18
2011-04,18
2011-05,17
2011-06,11
2011-07,10
2011-08,10
2011-09,10
2011-10,9
2011-11,8
2011-12,8
2012-01,10
2012-02,17
2012-03,18
2012-04,14
2012-05,12
2012-06,12
2012-07,10
2012-08,11
2012-09,12
2012-10,17
2012-11,12
2012-12,8
2013-01,8
2013-02,11
2013-03,9
2013-04,9
2013-05,9
2013-06,10
2013-07,10
2013-08,8
2013-09,8
2013-10,8
2013-11,9
2013-12,7
2014-01,8
2014-02,10
2014-03,8
2014-04,10
2014-05,9
2014-06,10
2014-07,9
2014-08,8
2014-09,9
2014-10,10
2014-11,12
2014-12,17
2015-01,18
2015-02,10
2015-03,10
2015-04,9
2015-05,10
2015-06,9
2015-07,11
2015-08,12
2015-09,12
2015-10,10
2015-11,10
2015-12,9
2016-01,13
2016-02,11
2016-03,9
2016-04,9
2016-05,8
2016-06,9
2016-07,8
2016-08,8
2016-09,9
2016-10,8
2016-11,8
2016-12,8
2017-01,9
2017-02,8
2017-03,8
2017-04,9
2017-05,9
2017-06,10
2017-07,9
2017-08,10
2017-09,14
2017-10,9
2017-11,10
2017-12,9
2018-01,11
2018-02,10
2018-03,9
2018-04,12
2018-05,15
2018-06,12
2018-07,11
2018-08,10
2018-09,10
2018-10,12
2018-11,15
2018-12,15
2019-01,13
2019-02,11
2019-03,13
2019-04,16
2019-05,15
2019-06,15
2019-07,15
2019-08,13
2019-09,15
2019-10,15
2019-11,12
2019-12,12
2020-01,13
2020-02,14
2020-03,24
2020-04,25
2020-05,13
2020-06,11
2020-07,9
2020-08,10
2020-09,9
2020-10,10
2020-11,10
2020-12,10
2021-01,15
2021-02,20
2021-03,20
2021-04,14
2021-05,26
2021-06,18
2021-07,19
2021-08,17
2021-09,17
2021-10,24
2021-11,25
2021-12,18
2022-01,19
2022-02,33
2022-03,100
2022-04,37
2022-05,55
2022-06,83
2022-07,52
2022-08,39
2022-09,34
2022-10,35
2022-11,27
2022-12,29
2023-01,26
2023-02,25
