类别：工商业

周,农业: (美国),制造业: (美国)
2018-03-04,58,64
2018-03-11,54,57
2018-03-18,57,60
2018-03-25,52,56
2018-04-01,55,69
2018-04-08,56,60
2018-04-15,57,60
2018-04-22,57,60
2018-04-29,51,61
2018-05-06,55,62
2018-05-13,50,53
2018-05-20,45,54
2018-05-27,43,52
2018-06-03,42,57
2018-06-10,42,54
2018-06-17,40,53
2018-06-24,39,55
2018-07-01,38,50
2018-07-08,42,53
2018-07-15,43,54
2018-07-22,41,55
2018-07-29,44,57
2018-08-05,45,55
2018-08-12,45,60
2018-08-19,50,55
2018-08-26,55,56
2018-09-02,51,58
2018-09-09,54,60
2018-09-16,55,69
2018-09-23,56,62
2018-09-30,50,63
2018-10-07,55,59
2018-10-14,52,58
2018-10-21,54,59
2018-10-28,52,57
2018-11-04,53,59
2018-11-11,47,56
2018-11-18,40,40
2018-11-25,51,57
2018-12-02,52,57
2018-12-09,52,54
2018-12-16,45,49
2018-12-23,34,31
2018-12-30,42,44
2019-01-06,54,54
2019-01-13,58,62
2019-01-20,53,61
2019-01-27,59,61
2019-02-03,56,63
2019-02-10,60,64
2019-02-17,57,61
2019-02-24,60,62
2019-03-03,60,67
2019-03-10,53,61
2019-03-17,56,58
2019-03-24,55,72
2019-03-31,60,64
2019-04-07,58,63
2019-04-14,53,57
2019-04-21,56,62
2019-04-28,57,62
2019-05-05,54,59
2019-05-12,55,59
2019-05-19,51,58
2019-05-26,46,52
2019-06-02,45,57
2019-06-09,45,58
2019-06-16,44,62
2019-06-23,43,57
2019-06-30,40,48
2019-07-07,43,55
2019-07-14,43,61
2019-07-21,43,59
2019-07-28,43,59
2019-08-04,46,60
2019-08-11,48,62
2019-08-18,54,63
2019-08-25,51,57
2019-09-01,50,61
2019-09-08,55,59
2019-09-15,56,65
2019-09-22,58,65
2019-09-29,57,77
2019-10-06,55,60
2019-10-13,53,56
2019-10-20,56,58
2019-10-27,50,58
2019-11-03,55,60
2019-11-10,51,62
2019-11-17,50,62
2019-11-24,37,40
2019-12-01,51,57
2019-12-08,50,56
2019-12-15,47,52
2019-12-22,35,37
2019-12-29,38,45
2020-01-05,50,60
2020-01-12,56,58
2020-01-19,53,64
2020-01-26,57,61
2020-02-02,60,65
2020-02-09,58,62
2020-02-16,62,66
2020-02-23,59,67
2020-03-01,58,64
2020-03-08,51,63
2020-03-15,44,66
2020-03-22,52,69
2020-03-29,62,66
2020-04-05,56,56
2020-04-12,49,61
2020-04-19,57,62
2020-04-26,60,64
2020-05-03,60,61
2020-05-10,58,64
2020-05-17,54,53
2020-05-24,46,50
2020-05-31,44,58
2020-06-07,46,59
2020-06-14,45,60
2020-06-21,44,64
2020-06-28,43,58
2020-07-05,45,63
2020-07-12,43,61
2020-07-19,44,57
2020-07-26,46,57
2020-08-02,43,59
2020-08-09,44,62
2020-08-16,49,57
2020-08-23,52,60
2020-08-30,55,61
2020-09-06,52,62
2020-09-13,58,71
2020-09-20,57,63
2020-09-27,52,67
2020-10-04,52,62
2020-10-11,47,61
2020-10-18,49,62
