类别：工商业

周,农业: (美国),运输: (美国)
2018-03-04,62,75
2018-03-11,57,78
2018-03-18,60,78
2018-03-25,56,78
2018-04-01,59,79
2018-04-08,60,79
2018-04-15,60,75
2018-04-22,61,81
2018-04-29,55,79
2018-05-06,59,75
2018-05-13,54,90
2018-05-20,48,81
2018-05-27,46,72
2018-06-03,45,75
2018-06-10,45,73
2018-06-17,42,75
2018-06-24,42,85
2018-07-01,40,71
2018-07-08,45,77
2018-07-15,46,85
2018-07-22,44,75
2018-07-29,47,88
2018-08-05,48,85
2018-08-12,48,85
2018-08-19,53,82
2018-08-26,59,82
2018-09-02,54,79
2018-09-09,57,77
2018-09-16,58,82
2018-09-23,60,78
2018-09-30,54,75
2018-10-07,58,75
2018-10-14,55,76
2018-10-21,58,79
2018-10-28,55,76
2018-11-04,57,78
2018-11-11,51,77
2018-11-18,43,60
2018-11-25,55,72
2018-12-02,56,76
2018-12-09,56,75
2018-12-16,49,71
2018-12-23,36,56
2018-12-30,44,67
2019-01-06,58,78
2019-01-13,62,78
2019-01-20,57,73
2019-01-27,63,78
2019-02-03,59,77
2019-02-10,64,77
2019-02-17,61,74
2019-02-24,64,79
2019-03-03,64,76
2019-03-10,57,77
2019-03-17,60,82
2019-03-24,59,76
2019-03-31,64,78
2019-04-07,62,80
2019-04-14,57,82
2019-04-21,60,79
2019-04-28,61,88
2019-05-05,57,84
2019-05-12,59,85
2019-05-19,55,78
2019-05-26,49,75
2019-06-02,48,82
2019-06-09,48,76
2019-06-16,47,76
2019-06-23,46,77
2019-06-30,43,72
2019-07-07,45,85
2019-07-14,46,82
2019-07-21,46,69
2019-07-28,46,84
2019-08-04,49,82
2019-08-11,52,92
2019-08-18,57,91
2019-08-25,55,84
2019-09-01,53,78
2019-09-08,59,78
2019-09-15,60,78
2019-09-22,62,81
2019-09-29,61,82
2019-10-06,59,80
2019-10-13,56,75
2019-10-20,59,81
2019-10-27,53,78
2019-11-03,59,81
2019-11-10,54,73
2019-11-17,54,76
2019-11-24,39,62
2019-12-01,55,78
2019-12-08,54,79
2019-12-15,50,76
2019-12-22,37,62
2019-12-29,41,64
2020-01-05,53,81
2020-01-12,60,83
2020-01-19,56,73
2020-01-26,61,76
2020-02-02,64,73
2020-02-09,61,69
2020-02-16,67,77
2020-02-23,63,75
2020-03-01,62,68
2020-03-08,54,68
2020-03-15,47,58
2020-03-22,56,56
2020-03-29,66,56
2020-04-05,60,62
2020-04-12,52,51
2020-04-19,61,55
2020-04-26,64,56
2020-05-03,64,59
2020-05-10,62,58
2020-05-17,58,55
2020-05-24,49,55
2020-05-31,47,51
2020-06-07,49,62
2020-06-14,48,68
2020-06-21,47,65
2020-06-28,46,62
2020-07-05,48,66
2020-07-12,46,68
2020-07-19,47,76
2020-07-26,49,67
2020-08-02,46,66
2020-08-09,47,64
2020-08-16,52,71
2020-08-23,55,66
2020-08-30,58,59
2020-09-06,56,58
2020-09-13,62,63
2020-09-20,61,71
2020-09-27,56,62
2020-10-04,55,65
2020-10-11,50,67
2020-10-18,52,70
2020-10-25,50,65
2020-11-01,40,51
2020-11-08,49,61
2020-11-15,50,72
2020-11-22,43,52
2020-11-29,49,68
2020-12-06,50,69
2020-12-13,46,79
2020-12-20,39,57
2020-12-27,40,51
2021-01-03,48,64
2021-01-10,50,69
2021-01-17,52,60
2021-01-24,51,68
2021-01-31,58,74
2021-02-07,55,68
2021-02-14,54,65
2021-02-21,60,71
2021-02-28,58,69
2021-03-07,55,70
2021-03-14,48,65
2021-03-21,51,72
2021-03-28,49,84
2021-04-04,50,69
2021-04-11,51,71
2021-04-18,53,75
2021-04-25,56,75
2021-05-02,50,73
2021-05-09,50,68
2021-05-16,50,80
2021-05-23,51,75
2021-05-30,43,67
2021-06-06,42,71
2021-06-13,45,78
2021-06-20,42,72
2021-06-27,45,79
2021-07-04,44,75
2021-07-11,42,76
2021-07-18,44,81
2021-07-25,46,76
2021-08-01,44,79
2021-08-08,44,81
2021-08-15,47,71
2021-08-22,49,78
2021-08-29,51,87
2021-09-05,51,76
2021-09-12,48,80
2021-09-19,49,75
2021-09-26,52,77
2021-10-03,49,76
2021-10-10,51,80
2021-10-17,52,85
2021-10-24,52,85
2021-10-31,51,75
2021-11-07,50,75
2021-11-14,47,100
2021-11-21,40,62
2021-11-28,48,77
2021-12-05,46,65
2021-12-12,45,73
2021-12-19,35,58
2021-12-26,39,61
2022-01-02,52,73
2022-01-09,51,72
2022-01-16,50,68
2022-01-23,56,76
2022-01-30,56,73
2022-02-06,62,75
2022-02-13,61,74
2022-02-20,57,72
2022-02-27,59,77
2022-03-06,57,85
2022-03-13,55,77
2022-03-20,57,75
2022-03-27,61,75
2022-04-03,61,79
2022-04-10,57,76
2022-04-17,61,79
2022-04-24,66,81
2022-05-01,76,75
2022-05-08,61,76
2022-05-15,55,75
2022-05-22,52,72
2022-05-29,48,73
2022-06-05,45,77
2022-06-12,45,73
2022-06-19,45,72
2022-06-26,45,77
2022-07-03,46,74
2022-07-10,46,75
2022-07-17,49,77
2022-07-24,46,82
2022-07-31,48,84
2022-08-07,49,85
2022-08-14,53,83
2022-08-21,56,88
2022-08-28,55,84
2022-09-04,54,79
2022-09-11,59,75
2022-09-18,58,77
2022-09-25,53,77
2022-10-02,56,75
2022-10-09,55,70
2022-10-16,56,78
2022-10-23,55,75
2022-10-30,55,78
2022-11-06,50,70
2022-11-13,54,71
2022-11-20,41,61
2022-11-27,54,82
2022-12-04,54,71
2022-12-11,52,71
2022-12-18,41,67
2022-12-25,42,74
2023-01-01,52,77
2023-01-08,64,74
2023-01-15,72,70
2023-01-22,66,77
2023-01-29,67,78
2023-02-05,69,76
2023-02-12,67,80
2023-02-19,64,82
