类别：工商业

周,农业: (美国),公用事业: (美国)
2018-03-04,82,55
2018-03-11,76,53
2018-03-18,80,50
2018-03-25,74,50
2018-04-01,78,54
2018-04-08,79,55
2018-04-15,80,55
2018-04-22,80,53
2018-04-29,72,55
2018-05-06,78,51
2018-05-13,71,54
2018-05-20,64,52
2018-05-27,61,59
2018-06-03,59,55
2018-06-10,59,58
2018-06-17,56,56
2018-06-24,56,60
2018-07-01,53,56
2018-07-08,59,62
2018-07-15,60,63
2018-07-22,59,59
2018-07-29,62,66
2018-08-05,64,60
2018-08-12,63,60
2018-08-19,70,55
2018-08-26,78,57
2018-09-02,72,52
2018-09-09,76,57
2018-09-16,77,54
2018-09-23,79,53
2018-09-30,71,54
2018-10-07,77,54
2018-10-14,73,57
2018-10-21,77,50
2018-10-28,73,54
2018-11-04,75,51
2018-11-11,67,53
2018-11-18,56,39
2018-11-25,72,51
2018-12-02,74,49
2018-12-09,73,54
2018-12-16,64,47
2018-12-23,48,57
2018-12-30,59,73
2019-01-06,76,59
2019-01-13,82,59
2019-01-20,75,55
2019-01-27,83,58
2019-02-03,79,57
2019-02-10,84,57
2019-02-17,81,57
2019-02-24,85,60
2019-03-03,84,54
2019-03-10,75,55
2019-03-17,80,54
2019-03-24,78,53
2019-03-31,85,59
2019-04-07,82,54
2019-04-14,75,53
2019-04-21,80,51
2019-04-28,81,57
2019-05-05,76,52
2019-05-12,78,57
2019-05-19,73,60
2019-05-26,65,58
2019-06-02,63,64
2019-06-09,64,62
2019-06-16,62,64
2019-06-23,61,58
2019-06-30,56,57
2019-07-07,60,66
2019-07-14,60,67
2019-07-21,61,60
2019-07-28,61,64
2019-08-04,65,66
2019-08-11,68,62
2019-08-18,76,62
2019-08-25,72,57
2019-09-01,71,58
2019-09-08,78,59
2019-09-15,80,62
2019-09-22,82,59
2019-09-29,81,63
2019-10-06,78,59
2019-10-13,74,60
2019-10-20,79,57
2019-10-27,70,61
2019-11-03,78,58
2019-11-10,72,57
2019-11-17,71,58
2019-11-24,52,45
2019-12-01,72,60
2019-12-08,71,55
2019-12-15,66,55
2019-12-22,49,43
2019-12-29,54,54
2020-01-05,71,58
2020-01-12,79,59
2020-01-19,74,50
2020-01-26,80,55
2020-02-02,84,58
2020-02-09,81,54
2020-02-16,88,55
2020-02-23,83,60
2020-03-01,82,59
2020-03-08,72,54
2020-03-15,62,58
2020-03-22,74,54
2020-03-29,87,61
2020-04-05,79,55
2020-04-12,69,59
2020-04-19,81,54
2020-04-26,84,59
2020-05-03,85,58
2020-05-10,82,55
2020-05-17,77,54
2020-05-24,65,53
2020-05-31,62,60
2020-06-07,65,59
2020-06-14,63,58
2020-06-21,62,60
2020-06-28,61,63
2020-07-05,64,67
2020-07-12,61,62
2020-07-19,62,57
2020-07-26,65,62
2020-08-02,60,69
2020-08-09,62,67
2020-08-16,69,62
2020-08-23,73,58
2020-08-30,77,62
2020-09-06,74,59
2020-09-13,82,58
2020-09-20,81,58
2020-09-27,74,60
2020-10-04,73,62
2020-10-11,66,64
2020-10-18,69,63
2020-10-25,66,60
2020-11-01,54,51
2020-11-08,65,58
2020-11-15,66,58
2020-11-22,57,48
2020-11-29,65,64
2020-12-06,65,62
2020-12-13,61,55
2020-12-20,51,48
2020-12-27,52,54
2021-01-03,64,63
2021-01-10,66,60
2021-01-17,69,55
2021-01-24,68,55
2021-01-31,77,60
2021-02-07,73,59
2021-02-14,71,91
2021-02-21,79,77
2021-02-28,77,69
2021-03-07,73,60
2021-03-14,64,59
2021-03-21,68,52
2021-03-28,65,60
2021-04-04,66,60
2021-04-11,68,57
2021-04-18,70,54
2021-04-25,74,54
2021-05-02,66,60
2021-05-09,67,58
2021-05-16,66,58
2021-05-23,67,62
2021-05-30,57,66
2021-06-06,56,69
2021-06-13,60,65
2021-06-20,56,59
2021-06-27,60,68
2021-07-04,58,58
2021-07-11,55,66
2021-07-18,59,58
2021-07-25,60,62
2021-08-01,58,63
2021-08-08,59,64
2021-08-15,62,62
2021-08-22,65,60
2021-08-29,67,63
2021-09-05,67,56
2021-09-12,64,61
2021-09-19,65,56
2021-09-26,68,64
2021-10-03,65,59
2021-10-10,68,58
2021-10-17,69,58
2021-10-24,69,59
2021-10-31,67,61
2021-11-07,66,58
2021-11-14,62,56
2021-11-21,52,43
2021-11-28,64,59
2021-12-05,61,56
2021-12-12,59,58
2021-12-19,46,44
2021-12-26,52,51
2022-01-02,69,73
2022-01-09,68,66
2022-01-16,67,59
2022-01-23,73,62
2022-01-30,74,67
2022-02-06,82,67
2022-02-13,81,68
2022-02-20,76,67
2022-02-27,78,81
2022-03-06,76,70
2022-03-13,73,67
2022-03-20,75,63
2022-03-27,81,68
2022-04-03,81,64
2022-04-10,76,64
2022-04-17,80,67
2022-04-24,88,64
2022-05-01,100,73
2022-05-08,81,66
2022-05-15,73,67
2022-05-22,69,66
2022-05-29,63,73
2022-06-05,59,69
2022-06-12,59,73
2022-06-19,60,71
2022-06-26,60,75
2022-07-03,61,71
2022-07-10,61,76
2022-07-17,65,70
2022-07-24,61,74
2022-07-31,63,80
2022-08-07,65,71
2022-08-14,70,72
2022-08-21,75,68
2022-08-28,73,71
2022-09-04,72,67
2022-09-11,78,66
2022-09-18,76,63
2022-09-25,70,68
2022-10-02,74,70
2022-10-09,73,69
2022-10-16,75,63
2022-10-23,73,59
2022-10-30,73,67
2022-11-06,66,57
2022-11-13,72,64
2022-11-20,54,46
2022-11-27,71,66
2022-12-04,72,61
2022-12-11,68,62
2022-12-18,55,60
2022-12-25,56,61
2023-01-01,69,69
2023-01-08,85,62
2023-01-15,95,64
2023-01-22,87,60
2023-01-29,89,70
2023-02-05,91,64
2023-02-12,89,65
2023-02-19,84,65
