类别：金融

周,信用卡: (美国),银行: (美国)
2018-03-04,46,64
2018-03-11,46,64
2018-03-18,42,59
2018-03-25,43,63
2018-04-01,49,66
2018-04-08,46,62
2018-04-15,47,64
2018-04-22,42,59
2018-04-29,45,64
2018-05-06,45,61
2018-05-13,45,61
2018-05-20,42,62
2018-05-27,47,64
2018-06-03,49,67
2018-06-10,48,66
2018-06-17,46,65
2018-06-24,47,66
2018-07-01,49,70
2018-07-08,50,67
2018-07-15,48,65
2018-07-22,45,65
2018-07-29,49,74
2018-08-05,48,65
2018-08-12,48,69
2018-08-19,43,62
2018-08-26,43,67
2018-09-02,48,65
2018-09-09,44,60
2018-09-16,43,62
2018-09-23,41,63
2018-09-30,45,65
2018-10-07,42,64
2018-10-14,44,62
2018-10-21,41,61
2018-10-28,42,63
2018-11-04,44,62
2018-11-11,43,60
2018-11-18,41,58
2018-11-25,43,64
2018-12-02,49,66
2018-12-09,42,62
2018-12-16,44,66
2018-12-23,41,61
2018-12-30,46,70
2019-01-06,42,66
2019-01-13,44,61
2019-01-20,41,61
2019-01-27,43,63
2019-02-03,43,65
2019-02-10,43,64
2019-02-17,44,66
2019-02-24,46,67
2019-03-03,46,65
2019-03-10,41,63
2019-03-17,42,62
2019-03-24,44,61
2019-03-31,46,66
2019-04-07,45,65
2019-04-14,44,65
2019-04-21,40,60
2019-04-28,45,66
2019-05-05,45,60
2019-05-12,46,62
2019-05-19,45,64
2019-05-26,46,64
2019-06-02,51,69
2019-06-09,49,65
2019-06-16,49,66
2019-06-23,48,69
2019-06-30,49,69
2019-07-07,50,70
2019-07-14,51,63
2019-07-21,48,65
2019-07-28,53,72
2019-08-04,54,71
2019-08-11,50,68
2019-08-18,51,67
2019-08-25,46,65
2019-09-01,49,63
2019-09-08,45,62
2019-09-15,47,61
2019-09-22,43,61
2019-09-29,50,68
2019-10-06,45,63
2019-10-13,44,63
2019-10-20,45,60
2019-10-27,45,61
2019-11-03,50,64
2019-11-10,49,56
2019-11-17,47,60
2019-11-24,43,57
2019-12-01,52,65
2019-12-08,47,61
2019-12-15,45,65
2019-12-22,44,62
2019-12-29,52,67
2020-01-05,49,62
2020-01-12,49,61
2020-01-19,44,63
2020-01-26,44,63
2020-02-02,48,64
2020-02-09,45,63
2020-02-16,46,68
2020-02-23,46,68
2020-03-01,48,65
2020-03-08,41,61
2020-03-15,40,66
2020-03-22,36,60
2020-03-29,39,69
2020-04-05,38,69
2020-04-12,42,100
2020-04-19,37,69
2020-04-26,37,67
2020-05-03,39,61
2020-05-10,44,62
2020-05-17,38,60
2020-05-24,36,60
2020-05-31,39,62
2020-06-07,40,60
2020-06-14,39,63
2020-06-21,41,60
2020-06-28,43,71
2020-07-05,44,64
2020-07-12,42,66
2020-07-19,40,63
2020-07-26,39,57
2020-08-02,43,62
2020-08-09,40,57
2020-08-16,40,58
2020-08-23,35,56
2020-08-30,42,57
2020-09-06,40,52
2020-09-13,39,54
2020-09-20,37,52
2020-09-27,41,57
2020-10-04,39,55
2020-10-11,41,62
2020-10-18,42,58
2020-10-25,39,55
2020-11-01,37,47
2020-11-08,44,56
2020-11-15,44,57
2020-11-22,41,51
2020-11-29,47,60
2020-12-06,44,56
2020-12-13,43,59
2020-12-20,37,54
2020-12-27,43,72
2021-01-03,46,69
2021-01-10,40,60
2021-01-17,40,57
2021-01-24,40,60
2021-01-31,45,62
2021-02-07,42,59
2021-02-14,41,61
2021-02-21,41,59
2021-02-28,44,66
2021-03-07,43,67
2021-03-14,46,76
2021-03-21,38,61
2021-03-28,42,63
2021-04-04,43,59
2021-04-11,42,61
2021-04-18,41,57
2021-04-25,38,56
2021-05-02,44,60
2021-05-09,44,60
2021-05-16,43,56
2021-05-23,43,57
2021-05-30,44,56
2021-06-06,43,55
2021-06-13,44,58
2021-06-20,43,54
2021-06-27,46,59
2021-07-04,44,57
2021-07-11,47,58
2021-07-18,46,54
2021-07-25,44,55
2021-08-01,46,58
2021-08-08,44,55
2021-08-15,44,54
2021-08-22,42,54
2021-08-29,45,55
2021-09-05,43,54
2021-09-12,42,54
2021-09-19,43,55
2021-09-26,45,59
2021-10-03,45,56
2021-10-10,45,59
2021-10-17,48,54
2021-10-24,46,57
2021-10-31,49,57
2021-11-07,46,55
2021-11-14,46,56
2021-11-21,40,50
2021-11-28,49,57
2021-12-05,48,56
2021-12-12,47,54
2021-12-19,42,51
2021-12-26,42,58
2022-01-02,51,56
2022-01-09,47,53
2022-01-16,44,49
2022-01-23,43,50
2022-01-30,47,58
2022-02-06,48,56
2022-02-13,51,57
2022-02-20,51,58
2022-02-27,52,62
2022-03-06,52,58
2022-03-13,50,57
2022-03-20,48,55
2022-03-27,47,52
2022-04-03,48,57
2022-04-10,47,58
2022-04-17,45,51
2022-04-24,46,54
2022-05-01,50,53
2022-05-08,49,51
2022-05-15,47,54
2022-05-22,45,51
2022-05-29,49,56
2022-06-05,49,54
2022-06-12,50,54
2022-06-19,52,60
2022-06-26,55,57
2022-07-03,54,55
2022-07-10,57,56
2022-07-17,51,55
2022-07-24,50,59
2022-07-31,55,58
2022-08-07,51,53
2022-08-14,50,54
2022-08-21,48,53
2022-08-28,49,55
2022-09-04,47,50
2022-09-11,44,51
2022-09-18,46,52
2022-09-25,44,53
2022-10-02,47,53
2022-10-09,47,54
2022-10-16,47,52
2022-10-23,42,47
2022-10-30,48,55
2022-11-06,43,51
2022-11-13,45,48
2022-11-20,43,45
2022-11-27,48,52
2022-12-04,46,50
2022-12-11,48,50
2022-12-18,42,50
2022-12-25,46,53
2023-01-01,52,55
2023-01-08,50,53
2023-01-15,48,53
2023-01-22,45,52
2023-01-29,47,58
2023-02-05,47,55
2023-02-12,45,53
2023-02-19,47,55
