类别：金融

周,信用卡: (美国)
2018-03-04,80
2018-03-11,81
2018-03-18,73
2018-03-25,75
2018-04-01,86
2018-04-08,81
2018-04-15,81
2018-04-22,73
2018-04-29,78
2018-05-06,79
2018-05-13,79
2018-05-20,74
2018-05-27,82
2018-06-03,86
2018-06-10,84
2018-06-17,80
2018-06-24,82
2018-07-01,86
2018-07-08,88
2018-07-15,83
2018-07-22,78
2018-07-29,85
2018-08-05,83
2018-08-12,85
2018-08-19,75
2018-08-26,75
2018-09-02,83
2018-09-09,78
2018-09-16,75
2018-09-23,72
2018-09-30,79
2018-10-07,73
2018-10-14,76
2018-10-21,72
2018-10-28,73
2018-11-04,76
2018-11-11,74
2018-11-18,72
2018-11-25,75
2018-12-02,85
2018-12-09,74
2018-12-16,78
2018-12-23,72
2018-12-30,81
2019-01-06,74
2019-01-13,77
2019-01-20,72
2019-01-27,75
2019-02-03,75
2019-02-10,75
2019-02-17,77
2019-02-24,80
2019-03-03,80
2019-03-10,71
2019-03-17,73
2019-03-24,77
2019-03-31,81
2019-04-07,79
2019-04-14,78
2019-04-21,70
2019-04-28,79
2019-05-05,78
2019-05-12,81
2019-05-19,78
2019-05-26,81
2019-06-02,89
2019-06-09,85
2019-06-16,86
2019-06-23,84
2019-06-30,86
2019-07-07,87
2019-07-14,89
2019-07-21,84
2019-07-28,93
2019-08-04,95
2019-08-11,87
2019-08-18,90
2019-08-25,81
2019-09-01,86
2019-09-08,79
2019-09-15,83
2019-09-22,76
2019-09-29,87
2019-10-06,79
2019-10-13,78
2019-10-20,78
2019-10-27,78
2019-11-03,87
2019-11-10,86
2019-11-17,82
2019-11-24,76
2019-12-01,91
2019-12-08,82
2019-12-15,79
2019-12-22,77
2019-12-29,92
2020-01-05,85
2020-01-12,85
2020-01-19,78
2020-01-26,77
2020-02-02,85
2020-02-09,78
2020-02-16,80
2020-02-23,81
2020-03-01,84
2020-03-08,72
2020-03-15,69
2020-03-22,63
2020-03-29,69
2020-04-05,67
2020-04-12,73
2020-04-19,65
2020-04-26,65
2020-05-03,68
2020-05-10,77
2020-05-17,66
2020-05-24,63
2020-05-31,68
2020-06-07,71
2020-06-14,68
2020-06-21,71
2020-06-28,75
2020-07-05,77
2020-07-12,74
2020-07-19,71
2020-07-26,69
2020-08-02,76
2020-08-09,70
2020-08-16,70
2020-08-23,61
2020-08-30,73
2020-09-06,69
2020-09-13,68
2020-09-20,65
2020-09-27,71
2020-10-04,68
2020-10-11,72
2020-10-18,73
2020-10-25,68
2020-11-01,64
2020-11-08,76
2020-11-15,77
2020-11-22,71
2020-11-29,83
2020-12-06,78
2020-12-13,75
2020-12-20,64
2020-12-27,76
2021-01-03,81
2021-01-10,70
2021-01-17,70
2021-01-24,69
2021-01-31,79
2021-02-07,74
2021-02-14,71
2021-02-21,71
2021-02-28,78
2021-03-07,75
2021-03-14,80
2021-03-21,66
2021-03-28,74
2021-04-04,75
2021-04-11,74
2021-04-18,71
2021-04-25,67
2021-05-02,77
2021-05-09,77
2021-05-16,76
2021-05-23,75
2021-05-30,77
2021-06-06,76
2021-06-13,77
2021-06-20,75
2021-06-27,80
2021-07-04,77
2021-07-11,82
2021-07-18,80
2021-07-25,77
2021-08-01,81
2021-08-08,77
2021-08-15,76
2021-08-22,74
2021-08-29,78
2021-09-05,75
2021-09-12,73
2021-09-19,75
2021-09-26,79
2021-10-03,78
2021-10-10,78
2021-10-17,83
2021-10-24,80
2021-10-31,85
2021-11-07,81
2021-11-14,80
2021-11-21,71
2021-11-28,85
2021-12-05,83
2021-12-12,82
2021-12-19,74
2021-12-26,74
2022-01-02,90
2022-01-09,83
2022-01-16,77
2022-01-23,76
2022-01-30,83
2022-02-06,85
2022-02-13,88
2022-02-20,88
2022-02-27,91
2022-03-06,90
2022-03-13,87
2022-03-20,84
2022-03-27,82
2022-04-03,84
2022-04-10,82
2022-04-17,79
2022-04-24,80
2022-05-01,87
2022-05-08,85
2022-05-15,82
2022-05-22,78
2022-05-29,86
2022-06-05,86
2022-06-12,87
2022-06-19,91
2022-06-26,96
2022-07-03,94
2022-07-10,100
2022-07-17,90
2022-07-24,87
2022-07-31,96
2022-08-07,90
2022-08-14,87
2022-08-21,83
2022-08-28,86
2022-09-04,81
2022-09-11,77
2022-09-18,80
2022-09-25,76
2022-10-02,81
2022-10-09,83
2022-10-16,83
2022-10-23,74
2022-10-30,84
2022-11-06,75
2022-11-13,79
2022-11-20,75
2022-11-27,84
2022-12-04,81
2022-12-11,85
2022-12-18,74
2022-12-25,81
2023-01-01,91
2023-01-08,87
2023-01-15,83
2023-01-22,78
2023-01-29,83
2023-02-05,82
2023-02-12,79
2023-02-19,83
