类别：金融

周,信用卡: (美国),保险: (美国)
2018-03-04,60,79
2018-03-11,61,77
2018-03-18,55,77
2018-03-25,56,73
2018-04-01,65,80
2018-04-08,61,75
2018-04-15,61,77
2018-04-22,55,76
2018-04-29,59,75
2018-05-06,59,75
2018-05-13,60,74
2018-05-20,55,76
2018-05-27,62,74
2018-06-03,65,77
2018-06-10,64,80
2018-06-17,61,78
2018-06-24,62,78
2018-07-01,65,71
2018-07-08,66,82
2018-07-15,63,75
2018-07-22,59,79
2018-07-29,64,80
2018-08-05,63,82
2018-08-12,64,79
2018-08-19,57,79
2018-08-26,56,75
2018-09-02,63,72
2018-09-09,58,77
2018-09-16,57,73
2018-09-23,54,73
2018-09-30,59,74
2018-10-07,55,73
2018-10-14,57,72
2018-10-21,54,71
2018-10-28,55,76
2018-11-04,57,76
2018-11-11,56,73
2018-11-18,54,56
2018-11-25,57,74
2018-12-02,64,74
2018-12-09,56,76
2018-12-16,59,70
2018-12-23,54,56
2018-12-30,61,68
2019-01-06,56,77
2019-01-13,58,78
2019-01-20,55,74
2019-01-27,57,77
2019-02-03,57,80
2019-02-10,56,76
2019-02-17,58,75
2019-02-24,60,84
2019-03-03,60,83
2019-03-10,53,77
2019-03-17,55,77
2019-03-24,58,77
2019-03-31,61,83
2019-04-07,59,79
2019-04-14,59,73
2019-04-21,53,76
2019-04-28,60,78
2019-05-05,59,77
2019-05-12,61,79
2019-05-19,59,77
2019-05-26,61,76
2019-06-02,67,79
2019-06-09,64,82
2019-06-16,65,84
2019-06-23,63,80
2019-06-30,65,77
2019-07-07,66,86
2019-07-14,67,83
2019-07-21,63,82
2019-07-28,70,86
2019-08-04,71,89
2019-08-11,66,88
2019-08-18,68,86
2019-08-25,61,81
2019-09-01,65,77
2019-09-08,60,79
2019-09-15,62,82
2019-09-22,57,80
2019-09-29,66,87
2019-10-06,60,78
2019-10-13,59,78
2019-10-20,59,81
2019-10-27,59,77
2019-11-03,66,86
2019-11-10,65,82
2019-11-17,62,79
2019-11-24,57,61
2019-12-01,69,81
2019-12-08,62,80
2019-12-15,60,77
2019-12-22,58,64
2019-12-29,69,79
2020-01-05,64,86
2020-01-12,64,89
2020-01-19,58,84
2020-01-26,58,86
2020-02-02,64,84
2020-02-09,59,80
2020-02-16,61,86
2020-02-23,61,94
2020-03-01,64,92
2020-03-08,54,83
2020-03-15,52,73
2020-03-22,47,69
2020-03-29,52,71
2020-04-05,50,74
2020-04-12,55,73
2020-04-19,49,68
2020-04-26,49,70
2020-05-03,52,72
2020-05-10,58,72
2020-05-17,50,73
2020-05-24,48,72
2020-05-31,52,78
2020-06-07,53,80
2020-06-14,51,80
2020-06-21,53,81
2020-06-28,57,78
2020-07-05,58,90
2020-07-12,56,81
2020-07-19,53,80
2020-07-26,52,77
2020-08-02,57,85
2020-08-09,53,85
2020-08-16,53,82
2020-08-23,46,76
2020-08-30,55,79
2020-09-06,52,75
2020-09-13,51,76
2020-09-20,49,77
2020-09-27,54,82
2020-10-04,52,83
2020-10-11,54,78
2020-10-18,55,84
2020-10-25,51,81
2020-11-01,48,70
2020-11-08,57,85
2020-11-15,58,86
2020-11-22,53,65
2020-11-29,62,82
2020-12-06,58,81
2020-12-13,57,78
2020-12-20,48,59
2020-12-27,57,72
2021-01-03,61,86
2021-01-10,53,80
2021-01-17,53,79
2021-01-24,52,90
2021-01-31,59,90
2021-02-07,56,85
2021-02-14,53,81
2021-02-21,54,85
2021-02-28,58,93
2021-03-07,56,86
2021-03-14,60,89
2021-03-21,50,84
2021-03-28,56,86
2021-04-04,57,90
2021-04-11,56,89
2021-04-18,54,89
2021-04-25,50,89
2021-05-02,58,92
2021-05-09,58,88
2021-05-16,57,90
2021-05-23,57,85
2021-05-30,58,92
2021-06-06,57,93
2021-06-13,58,89
2021-06-20,57,100
2021-06-27,61,94
2021-07-04,58,84
2021-07-11,62,91
2021-07-18,61,92
2021-07-25,58,89
2021-08-01,61,86
2021-08-08,58,86
2021-08-15,58,87
2021-08-22,56,83
2021-08-29,59,90
2021-09-05,56,83
2021-09-12,55,89
2021-09-19,57,87
2021-09-26,59,88
2021-10-03,59,88
2021-10-10,59,85
2021-10-17,63,87
2021-10-24,60,87
2021-10-31,64,88
2021-11-07,61,85
2021-11-14,60,83
2021-11-21,53,67
2021-11-28,64,90
2021-12-05,63,79
2021-12-12,62,80
2021-12-19,56,68
2021-12-26,56,78
2022-01-02,67,86
2022-01-09,63,79
