类别：健康

周,老化: (美国),物质滥用: (美国)
2018-03-04,24,16
2018-03-11,24,15
2018-03-18,25,17
2018-03-25,26,14
2018-04-01,24,16
2018-04-08,26,16
2018-04-15,27,19
2018-04-22,28,18
2018-04-29,25,17
2018-05-06,26,15
2018-05-13,25,14
2018-05-20,23,14
2018-05-27,22,13
2018-06-03,23,14
2018-06-10,24,13
2018-06-17,24,13
2018-06-24,23,13
2018-07-01,20,10
2018-07-08,24,11
2018-07-15,25,12
2018-07-22,24,13
2018-07-29,25,11
2018-08-05,24,12
2018-08-12,21,11
2018-08-19,25,12
2018-08-26,24,13
2018-09-02,25,15
2018-09-09,25,15
2018-09-16,26,15
2018-09-23,26,15
2018-09-30,25,15
2018-10-07,25,15
2018-10-14,27,17
2018-10-21,26,16
2018-10-28,26,16
2018-11-04,24,16
2018-11-11,25,17
2018-11-18,21,12
2018-11-25,25,18
2018-12-02,25,17
2018-12-09,24,16
2018-12-16,20,13
2018-12-23,19,8
2018-12-30,22,10
2019-01-06,26,14
2019-01-13,26,14
2019-01-20,25,14
2019-01-27,26,13
2019-02-03,29,15
2019-02-10,26,16
2019-02-17,25,15
2019-02-24,26,17
2019-03-03,26,17
2019-03-10,25,16
2019-03-17,25,17
2019-03-24,26,17
2019-03-31,27,16
2019-04-07,27,16
2019-04-14,27,15
2019-04-21,26,17
2019-04-28,26,17
2019-05-05,25,16
2019-05-12,26,15
2019-05-19,26,13
2019-05-26,25,13
2019-06-02,25,12
2019-06-09,23,13
2019-06-16,25,12
2019-06-23,25,12
2019-06-30,21,10
2019-07-07,24,12
2019-07-14,52,11
2019-07-21,29,12
2019-07-28,26,13
2019-08-04,25,11
2019-08-11,24,12
2019-08-18,24,12
2019-08-25,25,12
2019-09-01,24,12
2019-09-08,28,14
2019-09-15,26,14
2019-09-22,28,15
2019-09-29,29,15
2019-10-06,27,15
2019-10-13,23,14
2019-10-20,27,16
2019-10-27,25,16
2019-11-03,28,16
2019-11-10,32,16
2019-11-17,33,16
2019-11-24,25,11
2019-12-01,27,17
2019-12-08,25,15
2019-12-15,26,14
2019-12-22,32,8
2019-12-29,34,9
2020-01-05,29,13
2020-01-12,30,13
2020-01-19,29,14
2020-01-26,31,13
2020-02-02,30,14
2020-02-09,30,14
2020-02-16,28,15
2020-02-23,40,16
2020-03-01,64,15
2020-03-08,100,13
2020-03-15,95,10
2020-03-22,67,11
2020-03-29,55,11
2020-04-05,45,13
2020-04-12,39,12
2020-04-19,40,14
2020-04-26,38,13
2020-05-03,38,13
2020-05-10,38,12
2020-05-17,36,11
2020-05-24,34,10
2020-05-31,27,11
2020-06-07,30,11
2020-06-14,30,12
2020-06-21,33,12
2020-06-28,34,10
2020-07-05,41,12
2020-07-12,41,11
2020-07-19,34,11
2020-07-26,33,10
2020-08-02,33,11
2020-08-09,32,10
2020-08-16,29,10
2020-08-23,27,10
2020-08-30,29,10
2020-09-06,28,11
2020-09-13,28,12
2020-09-20,34,14
2020-09-27,47,13
2020-10-04,37,13
2020-10-11,32,12
2020-10-18,31,13
2020-10-25,34,14
2020-11-01,26,11
2020-11-08,36,12
2020-11-15,45,14
2020-11-22,37,11
2020-11-29,37,14
2020-12-06,41,14
2020-12-13,35,11
2020-12-20,30,7
2020-12-27,33,7
2021-01-03,29,9
2021-01-10,27,10
2021-01-17,28,11
2021-01-24,32,12
2021-01-31,31,10
2021-02-07,30,11
2021-02-14,28,12
2021-02-21,30,13
2021-02-28,28,12
2021-03-07,27,12
2021-03-14,26,12
2021-03-21,25,12
2021-03-28,26,12
2021-04-04,27,13
2021-04-11,28,13
2021-04-18,27,14
2021-04-25,27,15
2021-05-02,27,12
2021-05-09,29,13
2021-05-16,25,12
2021-05-23,26,12
2021-05-30,25,10
2021-06-06,24,11
2021-06-13,25,11
2021-06-20,24,12
2021-06-27,24,10
2021-07-04,25,10
2021-07-11,27,11
2021-07-18,26,11
2021-07-25,28,11
2021-08-01,27,10
2021-08-08,27,11
2021-08-15,25,10
2021-08-22,26,10
2021-08-29,27,11
2021-09-05,26,13
2021-09-12,26,12
2021-09-19,25,13
2021-09-26,27,12
2021-10-03,27,13
2021-10-10,25,13
2021-10-17,24,13
2021-10-24,26,14
2021-10-31,23,13
2021-11-07,25,14
2021-11-14,26,13
2021-11-21,21,9
2021-11-28,28,13
2021-12-05,27,13
2021-12-12,26,13
2021-12-19,22,9
2021-12-26,24,7
2022-01-02,29,11
2022-01-09,29,13
2022-01-16,26,11
2022-01-23,30,13
2022-01-30,28,14
2022-02-06,29,14
2022-02-13,30,16
2022-02-20,29,16
2022-02-27,30,15
