类别：健康

周,老化: (美国),心理健康: (美国)
2018-03-04,24,44
2018-03-11,24,44
2018-03-18,25,43
2018-03-25,26,42
2018-04-01,24,43
2018-04-08,26,44
2018-04-15,27,46
2018-04-22,28,48
2018-04-29,25,52
2018-05-06,26,48
2018-05-13,25,45
2018-05-20,23,43
2018-05-27,22,39
2018-06-03,23,44
2018-06-10,24,41
2018-06-17,24,41
2018-06-24,23,38
2018-07-01,20,34
2018-07-08,24,41
2018-07-15,25,38
2018-07-22,24,36
2018-07-29,25,39
2018-08-05,24,38
2018-08-12,21,38
2018-08-19,25,42
2018-08-26,24,42
2018-09-02,25,40
2018-09-09,25,47
2018-09-16,26,48
2018-09-23,26,50
2018-09-30,25,50
2018-10-07,25,79
2018-10-14,27,49
2018-10-21,26,50
2018-10-28,26,48
2018-11-04,24,48
2018-11-11,25,48
2018-11-18,21,35
2018-11-25,25,48
2018-12-02,25,49
2018-12-09,24,45
2018-12-16,20,41
2018-12-23,19,27
2018-12-30,22,36
2019-01-06,26,43
2019-01-13,26,47
2019-01-20,25,45
2019-01-27,26,45
2019-02-03,29,48
2019-02-10,26,49
2019-02-17,25,49
2019-02-24,26,49
2019-03-03,26,49
2019-03-10,25,82
2019-03-17,25,59
2019-03-24,26,51
2019-03-31,27,54
2019-04-07,27,52
2019-04-14,27,47
2019-04-21,26,51
2019-04-28,26,60
2019-05-05,25,62
2019-05-12,26,53
2019-05-19,26,53
2019-05-26,25,43
2019-06-02,25,45
2019-06-09,23,43
2019-06-16,25,45
2019-06-23,25,43
2019-06-30,21,37
2019-07-07,24,44
2019-07-14,52,44
2019-07-21,29,41
2019-07-28,26,42
2019-08-04,25,47
2019-08-11,24,44
2019-08-18,24,46
2019-08-25,25,46
2019-09-01,24,47
2019-09-08,28,53
2019-09-15,26,53
2019-09-22,28,51
2019-09-29,29,53
2019-10-06,27,79
2019-10-13,23,54
2019-10-20,27,56
2019-10-27,25,51
2019-11-03,28,54
2019-11-10,32,50
2019-11-17,33,57
2019-11-24,25,37
2019-12-01,27,51
2019-12-08,25,49
2019-12-15,26,43
2019-12-22,32,29
2019-12-29,34,37
2020-01-05,29,45
2020-01-12,30,50
2020-01-19,29,49
2020-01-26,31,52
2020-02-02,30,52
2020-02-09,30,52
2020-02-16,28,54
2020-02-23,40,49
2020-03-01,64,54
2020-03-08,100,48
2020-03-15,95,43
2020-03-22,67,42
2020-03-29,55,44
2020-04-05,45,44
2020-04-12,39,46
2020-04-19,40,48
2020-04-26,38,53
2020-05-03,38,54
2020-05-10,38,52
2020-05-17,36,48
2020-05-24,34,46
2020-05-31,27,41
2020-06-07,30,45
2020-06-14,30,44
2020-06-21,33,44
2020-06-28,34,42
2020-07-05,41,45
2020-07-12,41,43
2020-07-19,34,46
2020-07-26,33,44
2020-08-02,33,41
2020-08-09,32,44
2020-08-16,29,45
2020-08-23,27,47
2020-08-30,29,49
2020-09-06,28,50
2020-09-13,28,53
2020-09-20,34,64
2020-09-27,47,53
2020-10-04,37,69
2020-10-11,32,63
2020-10-18,31,51
2020-10-25,34,51
2020-11-01,26,41
2020-11-08,36,50
2020-11-15,45,51
2020-11-22,37,37
2020-11-29,37,48
2020-12-06,41,48
2020-12-13,35,42
2020-12-20,30,29
2020-12-27,33,31
2021-01-03,29,41
2021-01-10,27,43
2021-01-17,28,45
2021-01-24,32,48
2021-01-31,31,50
2021-02-07,30,49
2021-02-14,28,45
2021-02-21,30,52
2021-02-28,28,49
2021-03-07,27,50
2021-03-14,26,48
2021-03-21,25,47
2021-03-28,26,46
2021-04-04,27,49
2021-04-11,28,52
2021-04-18,27,53
2021-04-25,27,53
2021-05-02,27,64
2021-05-09,29,58
2021-05-16,25,54
2021-05-23,26,52
2021-05-30,25,47
2021-06-06,24,46
2021-06-13,25,44
2021-06-20,24,44
2021-06-27,24,41
2021-07-04,25,42
2021-07-11,27,43
2021-07-18,26,42
2021-07-25,28,48
2021-08-01,27,44
2021-08-08,27,41
2021-08-15,25,43
2021-08-22,26,46
2021-08-29,27,47
2021-09-05,26,47
2021-09-12,26,51
2021-09-19,25,51
2021-09-26,27,53
2021-10-03,27,57
2021-10-10,25,75
2021-10-17,24,53
2021-10-24,26,51
2021-10-31,23,54
2021-11-07,25,52
2021-11-14,26,55
2021-11-21,21,39
2021-11-28,28,53
2021-12-05,27,52
2021-12-12,26,48
2021-12-19,22,35
2021-12-26,24,35
2022-01-02,29,48
2022-01-09,29,51
2022-01-16,26,48
2022-01-23,30,60
2022-01-30,28,55
2022-02-06,29,61
2022-02-13,30,61
2022-02-20,29,58
2022-02-27,30,61
2022-03-06,26,55
2022-03-13,28,56
2022-03-20,29,58
2022-03-27,29,58
2022-04-03,30,61
2022-04-10,30,59
2022-04-17,30,65
2022-04-24,31,68
2022-05-01,28,78
2022-05-08,29,75
2022-05-15,26,67
2022-05-22,26,65
2022-05-29,25,54
2022-06-05,25,55
2022-06-12,26,51
2022-06-19,27,51
2022-06-26,26,51
2022-07-03,25,46
2022-07-10,28,50
2022-07-17,27,50
2022-07-24,29,50
2022-07-31,27,51
2022-08-07,25,50
2022-08-14,26,51
2022-08-21,29,55
2022-08-28,28,53
2022-09-04,27,56
2022-09-11,29,59
2022-09-18,29,60
2022-09-25,27,57
2022-10-02,28,62
2022-10-09,26,78
2022-10-16,29,62
2022-10-23,29,58
2022-10-30,29,58
2022-11-06,25,60
2022-11-13,29,62
2022-11-20,25,44
2022-11-27,30,62
2022-12-04,30,64
2022-12-11,29,56
2022-12-18,21,41
2022-12-25,22,38
2023-01-01,27,52
2023-01-08,30,55
2023-01-15,33,59
2023-01-22,33,63
2023-01-29,32,60
2023-02-05,32,61
2023-02-12,32,58
2023-02-19,30,66
