类别：健康

周,老化: (美国),口腔: (美国)
2018-03-04,17,79
2018-03-11,17,77
2018-03-18,17,75
2018-03-25,18,78
2018-04-01,17,74
2018-04-08,18,71
2018-04-15,19,78
2018-04-22,19,78
2018-04-29,18,74
2018-05-06,18,73
2018-05-13,17,75
2018-05-20,16,73
2018-05-27,15,74
2018-06-03,16,77
2018-06-10,17,80
2018-06-17,17,80
2018-06-24,16,83
2018-07-01,14,76
2018-07-08,17,86
2018-07-15,17,78
2018-07-22,17,84
2018-07-29,18,76
2018-08-05,17,78
2018-08-12,15,78
2018-08-19,17,79
2018-08-26,17,76
2018-09-02,17,71
2018-09-09,18,75
2018-09-16,18,75
2018-09-23,18,78
2018-09-30,18,69
2018-10-07,17,75
2018-10-14,19,78
2018-10-21,18,81
2018-10-28,18,79
2018-11-04,17,77
2018-11-11,18,77
2018-11-18,15,70
2018-11-25,18,76
2018-12-02,18,80
2018-12-09,17,76
2018-12-16,14,77
2018-12-23,13,68
2018-12-30,16,79
2019-01-06,18,77
2019-01-13,18,76
2019-01-20,17,79
2019-01-27,18,76
2019-02-03,20,80
2019-02-10,18,76
2019-02-17,17,82
2019-02-24,18,80
2019-03-03,18,80
2019-03-10,18,82
2019-03-17,18,83
2019-03-24,18,80
2019-03-31,19,83
2019-04-07,19,78
2019-04-14,19,82
2019-04-21,18,73
2019-04-28,18,76
2019-05-05,18,84
2019-05-12,18,79
2019-05-19,18,71
2019-05-26,18,76
2019-06-02,17,77
2019-06-09,16,76
2019-06-16,17,75
2019-06-23,17,75
2019-06-30,15,74
2019-07-07,17,85
2019-07-14,36,77
2019-07-21,20,80
2019-07-28,19,83
2019-08-04,17,76
2019-08-11,17,76
2019-08-18,17,83
2019-08-25,17,75
2019-09-01,17,68
2019-09-08,19,75
2019-09-15,18,79
2019-09-22,20,76
2019-09-29,20,86
2019-10-06,19,77
2019-10-13,16,72
2019-10-20,19,77
2019-10-27,18,78
2019-11-03,19,79
2019-11-10,23,82
2019-11-17,23,87
2019-11-24,18,73
2019-12-01,19,82
2019-12-08,17,81
2019-12-15,19,79
2019-12-22,23,79
2019-12-29,24,79
2020-01-05,20,82
2020-01-12,21,85
2020-01-19,20,82
2020-01-26,21,84
2020-02-02,21,85
2020-02-09,21,82
2020-02-16,20,89
2020-02-23,28,90
2020-03-01,45,88
2020-03-08,70,84
2020-03-15,67,73
2020-03-22,47,81
2020-03-29,39,79
2020-04-05,31,78
2020-04-12,27,78
2020-04-19,28,82
2020-04-26,27,78
2020-05-03,27,79
2020-05-10,26,79
2020-05-17,25,79
2020-05-24,24,77
2020-05-31,19,75
2020-06-07,21,83
2020-06-14,21,79
2020-06-21,23,79
2020-06-28,24,86
2020-07-05,29,88
2020-07-12,29,90
2020-07-19,24,87
2020-07-26,23,81
2020-08-02,23,77
2020-08-09,22,82
2020-08-16,20,80
2020-08-23,19,78
2020-08-30,20,73
2020-09-06,19,72
2020-09-13,20,74
2020-09-20,24,81
2020-09-27,33,81
2020-10-04,26,78
2020-10-11,22,77
2020-10-18,22,83
2020-10-25,24,77
2020-11-01,18,70
2020-11-08,25,84
2020-11-15,32,90
2020-11-22,26,80
2020-11-29,26,81
2020-12-06,29,88
2020-12-13,25,82
2020-12-20,21,77
2020-12-27,23,83
2021-01-03,20,84
2021-01-10,19,85
2021-01-17,19,87
2021-01-24,22,88
2021-01-31,22,84
2021-02-07,21,87
2021-02-14,19,81
2021-02-21,21,85
2021-02-28,19,88
2021-03-07,19,81
2021-03-14,18,79
2021-03-21,17,75
2021-03-28,18,81
2021-04-04,19,79
2021-04-11,19,82
2021-04-18,19,76
2021-04-25,19,83
2021-05-02,19,82
2021-05-09,20,84
2021-05-16,18,77
2021-05-23,18,76
2021-05-30,18,84
2021-06-06,17,75
2021-06-13,17,79
2021-06-20,17,78
2021-06-27,17,75
2021-07-04,18,79
2021-07-11,19,82
2021-07-18,18,79
2021-07-25,20,82
2021-08-01,19,85
2021-08-08,19,82
2021-08-15,17,84
2021-08-22,18,91
2021-08-29,19,75
2021-09-05,18,83
2021-09-12,18,81
2021-09-19,17,80
2021-09-26,19,78
2021-10-03,19,81
2021-10-10,17,79
2021-10-17,17,75
2021-10-24,18,88
2021-10-31,16,87
2021-11-07,18,83
2021-11-14,18,86
2021-11-21,15,69
2021-11-28,19,80
2021-12-05,19,76
2021-12-12,18,75
2021-12-19,15,82
2021-12-26,17,86
2022-01-02,20,94
2022-01-09,20,92
2022-01-16,18,81
2022-01-23,21,91
2022-01-30,19,90
2022-02-06,20,95
2022-02-13,21,91
2022-02-20,21,87
2022-02-27,21,94
2022-03-06,18,86
2022-03-13,20,86
2022-03-20,20,90
