类别：法律和政府

周,政府: (美国),法律: (美国)
2018-03-04,13,51
2018-03-11,12,48
2018-03-18,16,49
2018-03-25,12,50
2018-04-01,11,48
2018-04-08,12,51
2018-04-15,12,48
2018-04-22,12,51
2018-04-29,12,48
2018-05-06,13,48
2018-05-13,10,51
2018-05-20,11,47
2018-05-27,8,45
2018-06-03,10,49
2018-06-10,9,49
2018-06-17,9,55
2018-06-24,10,50
2018-07-01,8,46
2018-07-08,9,51
2018-07-15,10,45
2018-07-22,8,52
2018-07-29,8,49
2018-08-05,8,48
2018-08-12,9,50
2018-08-19,11,51
2018-08-26,12,49
2018-09-02,13,47
2018-09-09,16,50
2018-09-16,17,49
2018-09-23,17,51
2018-09-30,17,52
2018-10-07,15,48
2018-10-14,15,48
2018-10-21,14,49
2018-10-28,14,52
2018-11-04,17,54
2018-11-11,15,46
2018-11-18,9,37
2018-11-25,15,48
2018-12-02,19,49
2018-12-09,19,46
2018-12-16,41,43
2018-12-23,38,34
2018-12-30,47,48
2019-01-06,76,54
2019-01-13,62,51
2019-01-20,72,54
2019-01-27,27,52
2019-02-03,21,50
2019-02-10,27,50
2019-02-17,16,50
2019-02-24,15,51
2019-03-03,15,51
2019-03-10,13,49
2019-03-17,13,50
2019-03-24,13,50
2019-03-31,14,50
2019-04-07,13,50
2019-04-14,12,47
2019-04-21,12,50
2019-04-28,13,50
2019-05-05,12,50
2019-05-12,11,57
2019-05-19,10,54
2019-05-26,10,47
2019-06-02,9,50
2019-06-09,9,48
2019-06-16,8,47
2019-06-23,9,50
2019-06-30,8,48
2019-07-07,9,48
2019-07-14,8,49
2019-07-21,8,48
2019-07-28,8,47
2019-08-04,8,51
2019-08-11,10,51
2019-08-18,11,51
2019-08-25,13,50
2019-09-01,13,52
2019-09-08,16,50
2019-09-15,17,52
2019-09-22,17,52
2019-09-29,16,55
2019-10-06,14,49
2019-10-13,13,49
2019-10-20,15,49
2019-10-27,14,48
2019-11-03,16,48
2019-11-10,15,45
2019-11-17,18,49
2019-11-24,7,37
2019-12-01,15,48
2019-12-08,15,46
2019-12-15,17,46
2019-12-22,6,41
2019-12-29,8,54
2020-01-05,14,53
2020-01-12,14,52
2020-01-19,13,53
2020-01-26,14,53
2020-02-02,14,52
2020-02-09,14,50
2020-02-16,13,50
2020-02-23,14,51
2020-03-01,13,48
2020-03-08,16,50
2020-03-15,45,100
2020-03-22,39,58
2020-03-29,28,50
2020-04-05,23,42
2020-04-12,23,39
2020-04-19,20,40
2020-04-26,19,39
2020-05-03,17,40
2020-05-10,16,43
2020-05-17,13,40
2020-05-24,12,42
2020-05-31,12,67
2020-06-07,10,50
2020-06-14,10,48
2020-06-21,10,47
2020-06-28,9,46
2020-07-05,10,45
2020-07-12,10,44
2020-07-19,11,44
2020-07-26,11,42
2020-08-02,9,40
2020-08-09,11,45
2020-08-16,12,44
2020-08-23,14,46
2020-08-30,16,48
2020-09-06,16,45
2020-09-13,20,50
2020-09-20,21,52
2020-09-27,17,48
2020-10-04,18,45
2020-10-11,14,44
2020-10-18,16,45
2020-10-25,14,44
2020-11-01,13,39
2020-11-08,15,46
2020-11-15,15,45
2020-11-22,9,33
2020-11-29,13,41
2020-12-06,16,43
2020-12-13,17,42
2020-12-20,13,38
2020-12-27,10,32
2021-01-03,15,45
2021-01-10,16,64
2021-01-17,15,45
2021-01-24,15,43
2021-01-31,13,44
2021-02-07,13,41
2021-02-14,11,39
2021-02-21,11,42
2021-02-28,12,43
2021-03-07,12,42
2021-03-14,10,42
2021-03-21,9,41
2021-03-28,9,45
2021-04-04,9,44
2021-04-11,10,41
2021-04-18,10,43
2021-04-25,10,39
2021-05-02,10,41
2021-05-09,9,41
2021-05-16,10,40
2021-05-23,9,40
2021-05-30,9,37
2021-06-06,8,39
2021-06-13,8,40
2021-06-20,8,37
2021-06-27,8,39
2021-07-04,7,38
2021-07-11,8,39
2021-07-18,8,38
2021-07-25,8,39
2021-08-01,8,38
2021-08-08,9,39
2021-08-15,9,41
2021-08-22,10,41
2021-08-29,10,48
2021-09-05,11,43
2021-09-12,14,43
2021-09-19,14,43
2021-09-26,26,43
2021-10-03,13,42
2021-10-10,11,43
2021-10-17,11,41
2021-10-24,11,41
2021-10-31,10,41
2021-11-07,11,41
2021-11-14,11,42
2021-11-21,7,32
2021-11-28,15,40
2021-12-05,10,43
2021-12-12,9,38
2021-12-19,7,31
2021-12-26,7,32
2022-01-02,11,42
2022-01-09,12,42
2022-01-16,18,39
2022-01-23,15,44
2022-01-30,13,43
2022-02-06,14,47
2022-02-13,14,45
2022-02-20,14,49
2022-02-27,14,46
2022-03-06,15,48
2022-03-13,12,46
2022-03-20,14,49
2022-03-27,15,51
2022-04-03,14,50
2022-04-10,13,47
2022-04-17,14,47
2022-04-24,16,48
2022-05-01,16,52
2022-05-08,15,48
2022-05-15,15,45
2022-05-22,11,49
2022-05-29,9,45
2022-06-05,10,42
2022-06-12,10,43
2022-06-19,10,66
2022-06-26,10,62
2022-07-03,10,47
2022-07-10,9,44
2022-07-17,9,45
2022-07-24,9,43
2022-07-31,9,44
2022-08-07,11,44
2022-08-14,11,45
2022-08-21,15,48
2022-08-28,17,48
2022-09-04,17,47
2022-09-11,18,52
2022-09-18,18,47
2022-09-25,18,45
2022-10-02,16,46
2022-10-09,16,45
2022-10-16,17,49
2022-10-23,16,45
2022-10-30,17,44
2022-11-06,16,43
2022-11-13,15,44
2022-11-20,8,33
2022-11-27,15,44
2022-12-04,16,43
2022-12-11,18,46
2022-12-18,10,34
2022-12-25,7,33
2023-01-01,11,45
2023-01-08,16,48
2023-01-15,15,45
2023-01-22,18,49
2023-01-29,16,46
2023-02-05,17,48
2023-02-12,15,46
2023-02-19,14,47
