类别：旅游

周,飞机: (美国),轮船: (美国)
2018-03-04,60,17
2018-03-11,62,15
2018-03-18,64,16
2018-03-25,59,16
2018-04-01,57,16
2018-04-08,56,18
2018-04-15,80,16
2018-04-22,59,15
2018-04-29,59,16
2018-05-06,60,18
2018-05-13,66,15
2018-05-20,60,16
2018-05-27,65,16
2018-06-03,67,16
2018-06-10,66,16
2018-06-17,71,16
2018-06-24,70,17
2018-07-01,67,18
2018-07-08,68,18
2018-07-15,70,17
2018-07-22,66,18
2018-07-29,71,18
2018-08-05,80,18
2018-08-12,85,18
2018-08-19,85,19
2018-08-26,58,16
2018-09-02,64,17
2018-09-09,57,15
2018-09-16,54,14
2018-09-23,58,14
2018-09-30,56,15
2018-10-07,56,16
2018-10-14,56,14
2018-10-21,55,15
2018-10-28,54,17
2018-11-04,55,20
2018-11-11,57,16
2018-11-18,59,15
2018-11-25,55,14
2018-12-02,57,13
2018-12-09,55,13
2018-12-16,61,14
2018-12-23,65,17
2018-12-30,61,20
2019-01-06,61,20
2019-01-13,61,23
2019-01-20,58,20
2019-01-27,59,18
2019-02-03,55,18
2019-02-10,58,20
2019-02-17,64,20
2019-02-24,65,19
2019-03-03,65,27
2019-03-10,92,19
2019-03-17,67,21
2019-03-24,66,58
2019-03-31,58,18
2019-04-07,60,16
2019-04-14,59,15
2019-04-21,59,15
2019-04-28,60,23
2019-05-05,68,18
2019-05-12,73,18
2019-05-19,68,16
2019-05-26,68,17
2019-06-02,67,29
2019-06-09,70,19
2019-06-16,74,18
2019-06-23,75,19
2019-06-30,77,18
2019-07-07,77,41
2019-07-14,71,21
2019-07-21,72,26
2019-07-28,68,21
2019-08-04,65,19
2019-08-11,66,18
2019-08-18,62,17
2019-08-25,59,19
2019-09-01,60,20
2019-09-08,58,16
2019-09-15,58,15
2019-09-22,61,15
2019-09-29,60,16
2019-10-06,61,17
2019-10-13,61,16
2019-10-20,71,16
2019-10-27,64,17
2019-11-03,56,16
2019-11-10,60,15
2019-11-17,55,17
2019-11-24,58,16
2019-12-01,59,15
2019-12-08,59,16
2019-12-15,66,25
2019-12-22,72,25
2019-12-29,67,23
2020-01-05,73,24
2020-01-12,67,23
2020-01-19,63,24
2020-01-26,66,27
2020-02-02,63,36
2020-02-09,67,37
2020-02-16,64,29
2020-02-23,62,26
2020-03-01,62,49
2020-03-08,100,64
2020-03-15,55,21
2020-03-22,33,22
2020-03-29,32,28
2020-04-05,29,15
2020-04-12,28,12
2020-04-19,31,10
2020-04-26,33,10
2020-05-03,38,10
2020-05-10,39,10
2020-05-17,41,10
2020-05-24,36,9
2020-05-31,34,8
2020-06-07,42,10
2020-06-14,46,10
2020-06-21,45,8
2020-06-28,45,8
2020-07-05,43,9
2020-07-12,44,16
2020-07-19,43,9
2020-07-26,44,9
2020-08-02,42,9
2020-08-09,44,9
2020-08-16,45,8
2020-08-23,42,8
2020-08-30,44,7
2020-09-06,44,8
2020-09-13,42,7
2020-09-20,42,8
2020-09-27,40,8
2020-10-04,43,8
2020-10-11,42,8
2020-10-18,46,8
2020-10-25,39,8
2020-11-01,31,6
2020-11-08,41,9
2020-11-15,44,7
2020-11-22,42,8
2020-11-29,41,7
2020-12-06,43,7
2020-12-13,44,7
2020-12-20,51,7
2020-12-27,48,9
2021-01-03,44,7
2021-01-10,43,8
2021-01-17,42,8
2021-01-24,40,8
2021-01-31,39,9
2021-02-07,45,9
2021-02-14,45,9
2021-02-21,55,8
2021-02-28,51,8
2021-03-07,54,9
2021-03-14,58,9
2021-03-21,57,11
2021-03-28,58,11
2021-04-04,57,10
2021-04-11,57,9
2021-04-18,60,9
2021-04-25,57,10
2021-05-02,57,10
2021-05-09,61,10
2021-05-16,62,11
2021-05-23,68,14
2021-05-30,67,12
2021-06-06,67,15
2021-06-13,71,14
2021-06-20,71,12
2021-06-27,70,11
2021-07-04,74,13
2021-07-11,72,13
2021-07-18,72,13
2021-07-25,67,13
2021-08-01,64,12
2021-08-08,61,12
2021-08-15,67,12
2021-08-22,58,12
2021-08-29,54,10
2021-09-05,58,10
2021-09-12,55,11
2021-09-19,53,11
2021-09-26,54,11
2021-10-03,57,12
2021-10-10,60,12
2021-10-17,55,13
2021-10-24,56,12
2021-10-31,55,12
2021-11-07,55,12
2021-11-14,59,12
2021-11-21,58,13
2021-11-28,56,12
2021-12-05,55,16
2021-12-12,60,22
2021-12-19,61,19
2021-12-26,58,26
2022-01-02,59,20
2022-01-09,53,17
2022-01-16,50,15
2022-01-23,53,20
2022-01-30,52,15
2022-02-06,57,20
2022-02-13,59,19
2022-02-20,64,19
2022-02-27,64,18
2022-03-06,70,19
2022-03-13,67,20
2022-03-20,70,19
2022-03-27,61,18
2022-04-03,62,17
2022-04-10,66,21
2022-04-17,79,24
2022-04-24,65,18
2022-05-01,62,18
2022-05-08,68,17
2022-05-15,69,17
2022-05-22,70,25
2022-05-29,73,21
2022-06-05,74,19
2022-06-12,74,20
2022-06-19,77,20
2022-06-26,70,23
2022-07-03,77,24
2022-07-10,79,22
2022-07-17,76,22
2022-07-24,72,23
2022-07-31,73,20
2022-08-07,70,21
2022-08-14,70,21
2022-08-21,66,21
2022-08-28,67,20
2022-09-04,65,19
2022-09-11,62,19
2022-09-18,61,20
2022-09-25,55,17
2022-10-02,59,17
2022-10-09,60,18
2022-10-16,60,17
2022-10-23,59,18
2022-10-30,57,17
2022-11-06,57,17
2022-11-13,62,18
2022-11-20,63,20
2022-11-27,61,25
2022-12-04,59,21
2022-12-11,65,18
2022-12-18,69,19
2022-12-25,70,25
2023-01-01,69,26
2023-01-08,79,26
2023-01-15,76,25
2023-01-22,69,24
2023-01-29,68,19
2023-02-05,70,25
2023-02-12,67,21
2023-02-19,70,26
