类别：旅游

周,飞机: (美国),酒店: (美国)
2018-03-04,7,60
2018-03-11,7,57
2018-03-18,7,56
2018-03-25,7,57
2018-04-01,6,57
2018-04-08,6,52
2018-04-15,9,51
2018-04-22,7,54
2018-04-29,7,55
2018-05-06,7,55
2018-05-13,7,56
2018-05-20,7,59
2018-05-27,7,61
2018-06-03,7,63
2018-06-10,7,68
2018-06-17,8,67
2018-06-24,8,69
2018-07-01,7,68
2018-07-08,8,70
2018-07-15,8,68
2018-07-22,7,69
2018-07-29,8,65
2018-08-05,9,62
2018-08-12,9,61
2018-08-19,9,56
2018-08-26,6,54
2018-09-02,7,51
2018-09-09,6,51
2018-09-16,6,47
2018-09-23,6,47
2018-09-30,6,49
2018-10-07,6,47
2018-10-14,6,46
2018-10-21,6,42
2018-10-28,6,42
2018-11-04,6,44
2018-11-11,6,42
2018-11-18,7,37
2018-11-25,6,39
2018-12-02,6,41
2018-12-09,6,41
2018-12-16,7,42
2018-12-23,7,50
2018-12-30,7,53
2019-01-06,7,51
2019-01-13,7,56
2019-01-20,6,51
2019-01-27,7,50
2019-02-03,6,54
2019-02-10,6,55
2019-02-17,7,54
2019-02-24,7,56
2019-03-03,7,60
2019-03-10,10,63
2019-03-17,7,58
2019-03-24,7,59
2019-03-31,6,57
2019-04-07,7,57
2019-04-14,7,56
2019-04-21,7,54
2019-04-28,7,55
2019-05-05,8,55
2019-05-12,8,60
2019-05-19,8,69
2019-05-26,8,70
2019-06-02,7,68
2019-06-09,8,66
2019-06-16,8,76
2019-06-23,8,73
2019-06-30,9,73
2019-07-07,9,69
2019-07-14,8,81
2019-07-21,8,73
2019-07-28,8,74
2019-08-04,7,70
2019-08-11,7,64
2019-08-18,7,62
2019-08-25,7,59
2019-09-01,7,63
2019-09-08,6,60
2019-09-15,6,63
2019-09-22,7,62
2019-09-29,7,64
2019-10-06,7,59
2019-10-13,7,55
2019-10-20,8,53
2019-10-27,7,49
2019-11-03,6,53
2019-11-10,7,50
2019-11-17,6,55
2019-11-24,6,53
2019-12-01,7,52
2019-12-08,7,54
2019-12-15,7,62
2019-12-22,8,73
2019-12-29,7,69
2020-01-05,8,75
2020-01-12,7,75
2020-01-19,7,74
2020-01-26,7,65
2020-02-02,7,72
2020-02-09,8,74
2020-02-16,7,73
2020-02-23,7,70
2020-03-01,7,68
2020-03-08,11,66
2020-03-15,6,50
2020-03-22,4,37
2020-03-29,4,31
2020-04-05,3,33
2020-04-12,3,32
2020-04-19,3,33
2020-04-26,4,33
2020-05-03,4,39
2020-05-10,4,46
2020-05-17,5,52
2020-05-24,4,49
2020-05-31,4,52
2020-06-07,5,63
2020-06-14,5,66
2020-06-21,5,61
2020-06-28,5,61
2020-07-05,5,62
2020-07-12,5,61
2020-07-19,5,64
2020-07-26,5,66
2020-08-02,5,66
2020-08-09,5,65
2020-08-16,5,60
2020-08-23,5,56
2020-08-30,5,59
2020-09-06,5,57
2020-09-13,5,53
2020-09-20,5,52
2020-09-27,4,58
2020-10-04,5,62
2020-10-11,5,63
2020-10-18,5,59
2020-10-25,4,49
2020-11-01,3,42
2020-11-08,5,52
2020-11-15,5,48
2020-11-22,5,48
2020-11-29,5,45
2020-12-06,5,45
2020-12-13,5,49
2020-12-20,6,51
2020-12-27,5,59
2021-01-03,5,54
2021-01-10,5,55
2021-01-17,5,53
2021-01-24,4,53
2021-01-31,4,55
2021-02-07,5,65
2021-02-14,5,81
2021-02-21,6,63
2021-02-28,6,64
2021-03-07,6,74
2021-03-14,6,73
2021-03-21,6,94
2021-03-28,6,92
2021-04-04,6,100
2021-04-11,6,95
2021-04-18,7,92
2021-04-25,6,86
2021-05-02,6,93
2021-05-09,7,98
2021-05-16,7,91
2021-05-23,8,86
2021-05-30,7,88
2021-06-06,7,91
2021-06-13,8,92
2021-06-20,8,95
2021-06-27,8,99
2021-07-04,8,95
2021-07-11,8,93
2021-07-18,8,93
2021-07-25,7,86
2021-08-01,7,86
2021-08-08,7,80
2021-08-15,7,80
2021-08-22,6,73
2021-08-29,6,83
2021-09-05,6,73
2021-09-12,6,74
2021-09-19,6,71
2021-09-26,6,74
2021-10-03,6,68
2021-10-10,7,75
2021-10-17,6,67
2021-10-24,6,67
2021-10-31,6,64
2021-11-07,6,60
2021-11-14,7,61
2021-11-21,6,64
2021-11-28,6,57
2021-12-05,6,57
2021-12-12,7,55
2021-12-19,7,54
2021-12-26,6,64
2022-01-02,7,56
2022-01-09,6,52
2022-01-16,6,51
2022-01-23,6,52
2022-01-30,6,57
2022-02-06,6,62
2022-02-13,7,60
2022-02-20,7,63
2022-02-27,7,64
2022-03-06,8,66
2022-03-13,7,68
2022-03-20,8,65
2022-03-27,7,59
2022-04-03,7,63
2022-04-10,7,58
2022-04-17,9,58
2022-04-24,7,57
2022-05-01,7,60
2022-05-08,8,63
2022-05-15,8,60
2022-05-22,8,60
2022-05-29,8,59
2022-06-05,8,64
2022-06-12,8,68
2022-06-19,9,70
2022-06-26,8,68
2022-07-03,9,66
2022-07-10,9,69
2022-07-17,8,72
2022-07-24,8,65
2022-07-31,8,68
2022-08-07,8,64
2022-08-14,8,63
2022-08-21,7,57
2022-08-28,7,57
2022-09-04,7,55
2022-09-11,7,53
2022-09-18,7,55
2022-09-25,6,49
2022-10-02,7,53
2022-10-09,7,51
2022-10-16,7,50
2022-10-23,7,47
2022-10-30,6,48
2022-11-06,6,43
2022-11-13,7,44
2022-11-20,7,41
2022-11-27,7,43
2022-12-04,7,41
2022-12-11,7,41
2022-12-18,8,42
2022-12-25,8,55
2023-01-01,8,53
2023-01-08,9,53
2023-01-15,8,53
2023-01-22,8,51
2023-01-29,8,51
2023-02-05,8,52
2023-02-12,7,52
2023-02-19,8,52
