类别：旅游

周,飞机: (美国),铁路列车: (美国)
2018-03-04,45,60
2018-03-11,47,63
2018-03-18,47,65
2018-03-25,44,65
2018-04-01,43,64
2018-04-08,42,61
2018-04-15,60,58
2018-04-22,44,63
2018-04-29,44,62
2018-05-06,45,67
2018-05-13,49,62
2018-05-20,45,70
2018-05-27,49,73
2018-06-03,50,73
2018-06-10,50,77
2018-06-17,53,76
2018-06-24,53,79
2018-07-01,50,82
2018-07-08,51,81
2018-07-15,52,80
2018-07-22,49,83
2018-07-29,53,77
2018-08-05,60,77
2018-08-12,63,77
2018-08-19,63,74
2018-08-26,44,69
2018-09-02,48,68
2018-09-09,43,65
2018-09-16,41,67
2018-09-23,44,66
2018-09-30,42,68
2018-10-07,42,67
2018-10-14,42,69
2018-10-21,41,60
2018-10-28,40,60
2018-11-04,41,61
2018-11-11,43,66
2018-11-18,44,70
2018-11-25,41,66
2018-12-02,43,70
2018-12-09,41,66
2018-12-16,46,66
2018-12-23,49,76
2018-12-30,46,65
2019-01-06,45,59
2019-01-13,45,62
2019-01-20,43,59
2019-01-27,44,57
2019-02-03,41,57
2019-02-10,43,59
2019-02-17,48,62
2019-02-24,48,65
2019-03-03,48,58
2019-03-10,68,66
2019-03-17,50,63
2019-03-24,49,65
2019-03-31,43,56
2019-04-07,45,58
2019-04-14,44,61
2019-04-21,44,58
2019-04-28,45,57
2019-05-05,51,61
2019-05-12,54,65
2019-05-19,51,66
2019-05-26,51,69
2019-06-02,50,71
2019-06-09,52,71
2019-06-16,55,75
2019-06-23,56,80
2019-06-30,58,78
2019-07-07,58,75
2019-07-14,53,76
2019-07-21,54,80
2019-07-28,51,77
2019-08-04,48,74
2019-08-11,49,70
2019-08-18,46,74
2019-08-25,44,67
2019-09-01,45,63
2019-09-08,44,63
2019-09-15,43,61
2019-09-22,45,63
2019-09-29,45,62
2019-10-06,45,66
2019-10-13,45,67
2019-10-20,53,68
2019-10-27,48,58
2019-11-03,42,61
2019-11-10,45,59
2019-11-17,41,60
2019-11-24,43,65
2019-12-01,44,65
2019-12-08,44,58
2019-12-15,49,65
2019-12-22,53,72
2019-12-29,50,68
2020-01-05,54,58
2020-01-12,50,58
2020-01-19,47,60
2020-01-26,49,53
2020-02-02,47,52
2020-02-09,50,54
2020-02-16,48,57
2020-02-23,46,53
2020-03-01,46,47
2020-03-08,75,37
2020-03-15,41,22
2020-03-22,25,18
2020-03-29,24,16
2020-04-05,21,16
2020-04-12,21,16
2020-04-19,23,17
2020-04-26,25,16
2020-05-03,28,22
2020-05-10,29,19
2020-05-17,30,20
2020-05-24,27,20
2020-05-31,26,20
2020-06-07,32,24
2020-06-14,35,25
2020-06-21,34,26
2020-06-28,34,26
2020-07-05,32,25
2020-07-12,33,24
2020-07-19,32,25
2020-07-26,33,24
2020-08-02,32,25
2020-08-09,33,25
2020-08-16,33,28
2020-08-23,31,23
2020-08-30,33,25
2020-09-06,33,27
2020-09-13,32,24
2020-09-20,32,27
2020-09-27,30,28
2020-10-04,32,28
2020-10-11,32,29
2020-10-18,34,28
2020-10-25,29,25
2020-11-01,23,24
2020-11-08,31,25
2020-11-15,33,23
2020-11-22,32,25
2020-11-29,31,26
2020-12-06,32,24
2020-12-13,33,25
2020-12-20,38,25
2020-12-27,36,28
2021-01-03,33,22
2021-01-10,32,23
2021-01-17,31,24
2021-01-24,30,23
2021-01-31,29,26
2021-02-07,34,24
2021-02-14,33,27
2021-02-21,41,26
2021-02-28,38,26
2021-03-07,41,27
2021-03-14,43,30
2021-03-21,42,29
2021-03-28,44,31
2021-04-04,43,31
2021-04-11,43,32
2021-04-18,45,31
2021-04-25,43,32
2021-05-02,42,33
2021-05-09,46,34
2021-05-16,46,37
2021-05-23,51,41
2021-05-30,50,45
2021-06-06,50,45
2021-06-13,53,45
2021-06-20,53,51
2021-06-27,52,48
2021-07-04,55,54
2021-07-11,54,52
2021-07-18,54,51
2021-07-25,50,49
2021-08-01,48,47
2021-08-08,46,46
2021-08-15,50,49
2021-08-22,43,45
2021-08-29,41,49
2021-09-05,43,46
2021-09-12,41,46
2021-09-19,40,44
2021-09-26,41,45
2021-10-03,42,47
2021-10-10,44,48
2021-10-17,41,55
2021-10-24,42,44
2021-10-31,41,46
2021-11-07,41,48
2021-11-14,44,48
2021-11-21,43,48
2021-11-28,42,47
2021-12-05,41,44
2021-12-12,45,46
2021-12-19,46,43
2021-12-26,43,45
2022-01-02,44,40
2022-01-09,40,36
2022-01-16,38,39
2022-01-23,39,38
2022-01-30,39,37
2022-02-06,42,42
2022-02-13,44,47
2022-02-20,48,50
2022-02-27,48,53
2022-03-06,52,57
2022-03-13,50,57
2022-03-20,53,53
2022-03-27,45,52
2022-04-03,47,58
2022-04-10,50,57
2022-04-17,59,54
2022-04-24,49,53
2022-05-01,46,53
2022-05-08,51,55
2022-05-15,52,59
2022-05-22,52,63
2022-05-29,55,63
2022-06-05,55,65
2022-06-12,56,70
2022-06-19,57,72
2022-06-26,53,71
2022-07-03,58,69
2022-07-10,59,68
2022-07-17,57,71
2022-07-24,54,70
2022-07-31,55,100
2022-08-07,52,98
2022-08-14,52,86
2022-08-21,49,74
2022-08-28,50,73
2022-09-04,48,72
2022-09-11,47,64
2022-09-18,45,61
2022-09-25,41,66
2022-10-02,44,68
2022-10-09,45,68
2022-10-16,45,64
2022-10-23,44,62
2022-10-30,43,56
2022-11-06,43,56
2022-11-13,46,59
2022-11-20,47,64
2022-11-27,45,60
2022-12-04,44,99
2022-12-11,49,79
2022-12-18,51,75
2022-12-25,52,87
2023-01-01,52,69
2023-01-08,59,64
2023-01-15,57,66
2023-01-22,52,58
2023-01-29,51,55
2023-02-05,52,56
2023-02-12,50,63
2023-02-19,52,62
