类别：旅游

周,飞机: (美国),出租车: (美国)
2018-03-04,60,38
2018-03-11,62,37
2018-03-18,64,34
2018-03-25,59,34
2018-04-01,57,35
2018-04-08,56,35
2018-04-15,80,33
2018-04-22,59,32
2018-04-29,59,32
2018-05-06,60,34
2018-05-13,66,36
2018-05-20,60,35
2018-05-27,65,36
2018-06-03,67,35
2018-06-10,66,30
2018-06-17,71,36
2018-06-24,70,39
2018-07-01,67,37
2018-07-08,68,36
2018-07-15,70,35
2018-07-22,66,35
2018-07-29,71,37
2018-08-05,80,39
2018-08-12,85,34
2018-08-19,85,35
2018-08-26,58,34
2018-09-02,64,35
2018-09-09,57,31
2018-09-16,54,32
2018-09-23,58,31
2018-09-30,56,33
2018-10-07,56,33
2018-10-14,56,34
2018-10-21,55,29
2018-10-28,54,32
2018-11-04,55,30
2018-11-11,57,34
2018-11-18,59,32
2018-11-25,55,25
2018-12-02,57,30
2018-12-09,55,31
2018-12-16,61,32
2018-12-23,65,36
2018-12-30,61,38
2019-01-06,61,30
2019-01-13,61,29
2019-01-20,58,30
2019-01-27,59,33
2019-02-03,55,31
2019-02-10,58,29
2019-02-17,64,30
2019-02-24,65,32
2019-03-03,65,34
2019-03-10,92,31
2019-03-17,67,31
2019-03-24,66,31
2019-03-31,58,29
2019-04-07,60,32
2019-04-14,59,30
2019-04-21,59,31
2019-04-28,60,32
2019-05-05,68,31
2019-05-12,73,32
2019-05-19,68,32
2019-05-26,68,35
2019-06-02,67,34
2019-06-09,70,33
2019-06-16,74,37
2019-06-23,75,35
2019-06-30,77,37
2019-07-07,77,32
2019-07-14,71,33
2019-07-21,72,33
2019-07-28,68,35
2019-08-04,65,33
2019-08-11,66,34
2019-08-18,62,32
2019-08-25,59,30
2019-09-01,60,30
2019-09-08,58,30
2019-09-15,58,29
2019-09-22,61,30
2019-09-29,60,31
2019-10-06,61,29
2019-10-13,61,28
2019-10-20,71,29
2019-10-27,64,30
2019-11-03,56,31
2019-11-10,60,27
2019-11-17,55,28
2019-11-24,58,30
2019-12-01,59,28
2019-12-08,59,29
2019-12-15,66,30
2019-12-22,72,31
2019-12-29,67,35
2020-01-05,73,26
2020-01-12,67,26
2020-01-19,63,23
2020-01-26,66,24
2020-02-02,63,27
2020-02-09,67,27
2020-02-16,64,26
2020-02-23,62,26
2020-03-01,62,26
2020-03-08,100,23
2020-03-15,55,18
2020-03-22,33,13
2020-03-29,32,13
2020-04-05,29,12
2020-04-12,28,13
2020-04-19,31,13
2020-04-26,33,15
2020-05-03,38,16
2020-05-10,39,17
2020-05-17,41,17
2020-05-24,36,19
2020-05-31,34,23
2020-06-07,42,23
2020-06-14,46,22
2020-06-21,45,25
2020-06-28,45,28
2020-07-05,43,27
2020-07-12,44,23
2020-07-19,43,24
2020-07-26,44,24
2020-08-02,42,23
2020-08-09,44,21
2020-08-16,45,22
2020-08-23,42,20
2020-08-30,44,21
2020-09-06,44,21
2020-09-13,42,20
2020-09-20,42,21
2020-09-27,40,21
2020-10-04,43,22
2020-10-11,42,21
2020-10-18,46,21
2020-10-25,39,21
