类别：所有类别

月份,milk price: (美国)
2004-01,32
2004-02,43
2004-03,76
2004-04,42
2004-05,68
2004-06,51
2004-07,39
2004-08,39
2004-09,30
2004-10,29
2004-11,31
2004-12,26
2005-01,41
2005-02,29
2005-03,24
2005-04,48
2005-05,23
2005-06,34
2005-07,24
2005-08,41
2005-09,17
2005-10,37
2005-11,35
2005-12,26
2006-01,31
2006-02,25
2006-03,27
2006-04,28
2006-05,44
2006-06,26
2006-07,26
2006-08,19
2006-09,21
2006-10,28
2006-11,43
2006-12,30
2007-01,30
2007-02,34
2007-03,30
2007-04,41
2007-05,37
2007-06,42
2007-07,47
2007-08,43
2007-09,41
2007-10,44
2007-11,35
2007-12,28
2008-01,40
2008-02,45
2008-03,52
2008-04,59
2008-05,68
2008-06,36
2008-07,42
2008-08,38
2008-09,48
2008-10,53
2008-11,37
2008-12,28
2009-01,38
2009-02,46
2009-03,40
2009-04,43
2009-05,41
2009-06,37
2009-07,33
2009-08,32
2009-09,48
2009-10,45
2009-11,49
2009-12,37
2010-01,44
2010-02,40
2010-03,47
2010-04,47
2010-05,42
2010-06,35
2010-07,32
2010-08,34
2010-09,39
2010-10,44
2010-11,36
2010-12,35
2011-01,50
2011-02,51
2011-03,44
2011-04,54
2011-05,50
2011-06,36
2011-07,35
2011-08,43
2011-09,42
2011-10,42
2011-11,48
2011-12,38
2012-01,43
2012-02,49
2012-03,47
2012-04,50
2012-05,49
2012-06,42
2012-07,38
2012-08,47
2012-09,53
2012-10,60
2012-11,56
2012-12,100
2013-01,75
2013-02,64
2013-03,51
2013-04,54
2013-05,48
2013-06,42
2013-07,47
2013-08,48
2013-09,55
2013-10,64
2013-11,60
2013-12,58
2014-01,63
2014-02,64
2014-03,55
2014-04,58
2014-05,61
2014-06,52
2014-07,48
2014-08,51
2014-09,61
2014-10,63
2014-11,54
2014-12,53
2015-01,65
2015-02,59
2015-03,54
2015-04,56
2015-05,58
2015-06,49
2015-07,60
2015-08,54
2015-09,68
2015-10,59
2015-11,61
2015-12,52
2016-01,58
2016-02,57
2016-03,57
2016-04,61
2016-05,59
2016-06,56
2016-07,48
2016-08,49
2016-09,63
2016-10,59
2016-11,60
2016-12,52
2017-01,69
2017-02,67
2017-03,65
2017-04,64
2017-05,68
2017-06,60
2017-07,62
2017-08,60
2017-09,58
2017-10,62
2017-11,59
2017-12,62
2018-01,67
2018-02,65
2018-03,69
2018-04,63
2018-05,62
2018-06,60
2018-07,58
2018-08,63
2018-09,64
2018-10,65
2018-11,62
2018-12,56
2019-01,64
2019-02,65
2019-03,61
2019-04,67
2019-05,65
2019-06,54
2019-07,55
2019-08,56
2019-09,62
2019-10,60
2019-11,63
2019-12,58
2020-01,68
2020-02,73
2020-03,67
2020-04,75
2020-05,65
2020-06,54
2020-07,50
2020-08,50
2020-09,59
2020-10,60
2020-11,52
2020-12,55
2021-01,67
2021-02,63
2021-03,61
2021-04,54
2021-05,65
2021-06,55
2021-07,52
2021-08,54
2021-09,57
2021-10,61
2021-11,63
2021-12,54
2022-01,68
2022-02,85
2022-03,89
2022-04,82
2022-05,90
2022-06,75
2022-07,65
2022-08,67
2022-09,77
2022-10,70
2022-11,71
2022-12,61
2023-01,75
2023-02,81
