类别：所有类别

月份,hotel price: (美国)
2004-01,50
2004-02,55
2004-03,67
2004-04,49
2004-05,59
2004-06,49
2004-07,70
2004-08,63
2004-09,25
2004-10,33
2004-11,45
2004-12,33
2005-01,53
2005-02,56
2005-03,48
2005-04,58
2005-05,63
2005-06,66
2005-07,69
2005-08,62
2005-09,56
2005-10,44
2005-11,51
2005-12,56
2006-01,51
2006-02,54
2006-03,54
2006-04,42
2006-05,54
2006-06,60
2006-07,52
2006-08,45
2006-09,47
2006-10,43
2006-11,42
2006-12,38
2007-01,45
2007-02,48
2007-03,54
2007-04,54
2007-05,63
2007-06,63
2007-07,69
2007-08,60
2007-09,49
2007-10,44
2007-11,44
2007-12,43
2008-01,50
2008-02,53
2008-03,61
2008-04,54
2008-05,65
2008-06,76
2008-07,70
2008-08,50
2008-09,47
2008-10,45
2008-11,41
2008-12,48
2009-01,53
2009-02,56
2009-03,61
2009-04,56
2009-05,61
2009-06,62
2009-07,72
2009-08,61
2009-09,52
2009-10,46
2009-11,52
2009-12,51
2010-01,56
2010-02,61
2010-03,58
2010-04,59
2010-05,69
2010-06,70
2010-07,63
2010-08,61
2010-09,50
2010-10,45
2010-11,43
2010-12,45
2011-01,54
2011-02,54
2011-03,58
2011-04,58
2011-05,69
2011-06,62
2011-07,70
2011-08,61
2011-09,52
2011-10,45
2011-11,50
2011-12,44
2012-01,51
2012-02,58
2012-03,54
2012-04,57
2012-05,60
2012-06,60
2012-07,62
2012-08,60
2012-09,53
2012-10,48
2012-11,44
2012-12,43
2013-01,48
2013-02,56
2013-03,56
2013-04,59
2013-05,64
2013-06,66
2013-07,70
2013-08,58
2013-09,52
2013-10,48
2013-11,52
2013-12,51
2014-01,55
2014-02,54
2014-03,59
2014-04,64
2014-05,71
2014-06,74
2014-07,74
2014-08,71
2014-09,58
2014-10,50
2014-11,46
2014-12,56
2015-01,59
2015-02,62
2015-03,71
2015-04,67
2015-05,71
2015-06,73
2015-07,74
2015-08,71
2015-09,60
2015-10,64
2015-11,51
2015-12,65
2016-01,64
2016-02,71
2016-03,69
2016-04,66
2016-05,71
2016-06,73
2016-07,83
2016-08,63
2016-09,63
2016-10,59
2016-11,55
2016-12,62
2017-01,70
2017-02,67
2017-03,77
2017-04,64
2017-05,72
2017-06,81
2017-07,83
2017-08,75
2017-09,70
2017-10,72
2017-11,60
2017-12,71
2018-01,74
2018-02,69
2018-03,70
2018-04,72
2018-05,72
2018-06,79
2018-07,83
2018-08,75
2018-09,69
2018-10,62
2018-11,60
2018-12,64
2019-01,67
2019-02,63
2019-03,72
2019-04,69
2019-05,73
2019-06,75
2019-07,78
2019-08,76
2019-09,68
2019-10,62
2019-11,63
2019-12,58
2020-01,74
2020-02,72
2020-03,56
2020-04,39
2020-05,45
2020-06,50
2020-07,50
2020-08,47
2020-09,46
2020-10,44
2020-11,40
2020-12,39
2021-01,47
2021-02,74
2021-03,66
2021-04,77
2021-05,79
2021-06,76
2021-07,77
2021-08,79
2021-09,74
2021-10,87
2021-11,100
2021-12,68
2022-01,74
2022-02,85
2022-03,91
2022-04,85
2022-05,92
2022-06,93
2022-07,93
2022-08,80
2022-09,77
2022-10,67
2022-11,65
2022-12,68
2023-01,73
2023-02,78
