DATE,MABMM301USM189S
2018-01-01,13868200000000.0
2018-02-01,13910200000000.0
2018-03-01,13965500000000.0
2018-04-01,13987700000000.0
2018-05-01,14041200000000.0
2018-06-01,14102600000000.0
2018-07-01,14137000000000.0
2018-08-01,14187400000000.0
2018-09-01,14214600000000.0
2018-10-01,14228500000000.0
2018-11-01,14241600000000.0
2018-12-01,14358800000000.0
2019-01-01,14430800000000.0
2019-02-01,14472300000000.0
2019-03-01,14510700000000.0
2019-04-01,14541000000000.0
2019-05-01,14632500000000.0
2019-06-01,14754800000000.0
2019-07-01,14833800000000.0
2019-08-01,14919800000000.0
2019-09-01,15004800000000.0
2019-10-01,15144200000000.0
2019-11-01,15249900000000.0
2019-12-01,15319100000000.0
2020-01-01,15401800000000.0
2020-02-01,15458700000000.0
2020-03-01,15988600000000.0
2020-04-01,17002500000000.0
2020-05-01,17835200000000.0
2020-06-01,18129300000000.0
2020-07-01,18277800000000.0
2020-08-01,18357400000000.0
2020-09-01,18575200000000.0
2020-10-01,18735700000000.0
2020-11-01,18969800000000.0
2020-12-01,19124800000000.0
2021-01-01,19372400000000.0
2021-02-01,19615100000000.0
2021-03-01,19853800000000.0
2021-04-01,20110700000000.0
2021-05-01,20418700000000.0
2021-06-01,20460100000000.0
2021-07-01,20615300000000.0
2021-08-01,20835300000000.0
2021-09-01,20965800000000.0
2021-10-01,21143800000000.0
2021-11-01,21349200000000.0
2021-12-01,21489900000000.0
2022-01-01,21649700000000.0
2022-02-01,21708400000000.0
2022-03-01,21739700000000.0
2022-04-01,21644200000000.0
2022-05-01,21649000000000.0
2022-06-01,21607300000000.0
2022-07-01,21636100000000.0
2022-08-01,21631900000000.0
2022-09-01,21503300000000.0
2022-10-01,21415500000000.0
2022-11-01,21354800000000.0
2022-12-01,21207400000000.0
