类别：所有类别

月份,oil price: (美国)
2004-01,5
2004-02,8
2004-03,7
2004-04,7
2004-05,12
2004-06,9
2004-07,7
2004-08,14
2004-09,13
2004-10,19
2004-11,12
2004-12,10
2005-01,9
2005-02,8
2005-03,16
2005-04,17
2005-05,14
2005-06,15
2005-07,16
2005-08,33
2005-09,25
2005-10,17
2005-11,14
2005-12,11
2006-01,13
2006-02,13
2006-03,12
2006-04,22
2006-05,17
2006-06,13
2006-07,17
2006-08,16
2006-09,21
2006-10,17
2006-11,10
2006-12,10
2007-01,16
2007-02,11
2007-03,10
2007-04,10
2007-05,11
2007-06,8
2007-07,9
2007-08,8
2007-09,10
2007-10,14
2007-11,24
2007-12,13
2008-01,17
2008-02,13
2008-03,25
2008-04,27
2008-05,45
2008-06,52
2008-07,66
2008-08,67
2008-09,69
2008-10,92
2008-11,56
2008-12,59
2009-01,48
2009-02,32
2009-03,26
2009-04,18
2009-05,21
2009-06,23
2009-07,20
2009-08,17
2009-09,17
2009-10,17
2009-11,15
2009-12,13
2010-01,13
2010-02,12
2010-03,12
2010-04,12
2010-05,19
2010-06,15
2010-07,10
2010-08,10
2010-09,8
2010-10,10
2010-11,10
2010-12,11
2011-01,14
2011-02,20
2011-03,24
2011-04,21
2011-05,23
2011-06,15
2011-07,12
2011-08,18
2011-09,13
2011-10,13
2011-11,12
2011-12,10
2012-01,11
2012-02,13
2012-03,13
2012-04,11
2012-05,12
2012-06,15
2012-07,12
2012-08,10
2012-09,11
2012-10,11
2012-11,10
2012-12,8
2013-01,9
2013-02,10
2013-03,9
2013-04,10
2013-05,9
2013-06,8
2013-07,9
2013-08,8
2013-09,9
2013-10,9
2013-11,9
2013-12,8
2014-01,9
2014-02,9
2014-03,8
2014-04,8
2014-05,7
2014-06,8
2014-07,8
2014-08,8
2014-09,10
2014-10,19
2014-11,23
2014-12,53
2015-01,58
2015-02,46
2015-03,33
2015-04,28
2015-05,22
2015-06,18
2015-07,26
2015-08,42
2015-09,32
2015-10,25
2015-11,21
2015-12,34
2016-01,63
2016-02,55
2016-03,46
2016-04,38
2016-05,33
2016-06,31
2016-07,24
2016-08,29
2016-09,27
2016-10,26
2016-11,25
2016-12,26
2017-01,20
2017-02,17
2017-03,19
2017-04,17
2017-05,17
2017-06,18
2017-07,18
2017-08,16
2017-09,15
2017-10,15
2017-11,18
2017-12,15
2018-01,19
2018-02,17
2018-03,14
2018-04,17
2018-05,21
2018-06,16
2018-07,15
2018-08,13
2018-09,14
2018-10,16
2018-11,22
2018-12,23
2019-01,18
2019-02,16
2019-03,14
2019-04,16
2019-05,14
2019-06,16
2019-07,14
2019-08,14
2019-09,23
2019-10,14
2019-11,13
2019-12,12
2020-01,17
2020-02,17
2020-03,72
2020-04,100
2020-05,36
2020-06,30
2020-07,20
2020-08,16
2020-09,16
2020-10,15
2020-11,14
2020-12,14
2021-01,18
2021-02,23
2021-03,21
2021-04,14
2021-05,15
2021-06,16
2021-07,15
2021-08,14
2021-09,13
2021-10,20
2021-11,19
2021-12,16
2022-01,17
2022-02,35
2022-03,76
2022-04,29
2022-05,31
2022-06,42
2022-07,32
2022-08,26
2022-09,25
2022-10,26
2022-11,23
2022-12,22
2023-01,19
2023-02,19
