类别：所有类别

月份,通货膨胀: (印度)
2004-01,15
2004-02,25
2004-03,18
2004-04,15
2004-05,14
2004-06,19
2004-07,25
2004-08,39
2004-09,47
2004-10,34
2004-11,23
2004-12,28
2005-01,31
2005-02,28
2005-03,22
2005-04,19
2005-05,16
2005-06,14
2005-07,15
2005-08,19
2005-09,24
2005-10,17
2005-11,24
2005-12,25
2006-01,19
2006-02,16
2006-03,14
2006-04,16
2006-05,21
2006-06,19
2006-07,16
2006-08,24
2006-09,19
2006-10,16
2006-11,18
2006-12,20
2007-01,20
2007-02,45
2007-03,35
2007-04,34
2007-05,22
2007-06,19
2007-07,22
2007-08,23
2007-09,25
2007-10,23
2007-11,25
2007-12,23
2008-01,22
2008-02,23
2008-03,35
2008-04,70
2008-05,59
2008-06,93
2008-07,100
2008-08,81
2008-09,63
2008-10,58
2008-11,52
2008-12,41
2009-01,40
2009-02,39
2009-03,44
2009-04,26
2009-05,22
2009-06,26
2009-07,23
2009-08,25
2009-09,27
2009-10,21
2009-11,25
2009-12,27
2010-01,28
2010-02,27
2010-03,27
2010-04,23
2010-05,21
2010-06,20
2010-07,28
2010-08,20
2010-09,21
2010-10,21
2010-11,18
2010-12,21
2011-01,29
2011-02,27
2011-03,20
2011-04,16
2011-05,16
2011-06,17
2011-07,17
2011-08,20
2011-09,21
2011-10,15
2011-11,20
2011-12,16
2012-01,15
2012-02,14
2012-03,11
2012-04,12
2012-05,12
2012-06,14
2012-07,13
2012-08,14
2012-09,15
2012-10,13
2012-11,10
2012-12,11
2013-01,13
2013-02,13
2013-03,13
2013-04,10
2013-05,11
2013-06,10
2013-07,11
2013-08,12
2013-09,15
2013-10,12
2013-11,12
2013-12,14
2014-01,12
2014-02,11
2014-03,10
2014-04,8
2014-05,9
2014-06,10
2014-07,11
2014-08,10
2014-09,10
2014-10,9
2014-11,11
2014-12,10
2015-01,10
2015-02,11
2015-03,10
2015-04,9
2015-05,8
2015-06,9
2015-07,8
2015-08,9
2015-09,10
2015-10,8
2015-11,9
2015-12,9
2016-01,8
2016-02,9
2016-03,8
2016-04,7
2016-05,8
2016-06,9
2016-07,8
2016-08,8
2016-09,8
2016-10,6
2016-11,10
2016-12,8
2017-01,6
2017-02,8
2017-03,8
2017-04,7
2017-05,8
2017-06,7
2017-07,7
2017-08,7
2017-09,8
2017-10,8
2017-11,9
2017-12,8
2018-01,8
2018-02,8
2018-03,8
2018-04,8
2018-05,7
2018-06,6
2018-07,7
2018-08,6
2018-09,7
2018-10,6
2018-11,6
2018-12,7
2019-01,7
2019-02,7
2019-03,7
2019-04,7
2019-05,7
2019-06,6
2019-07,6
2019-08,8
2019-09,7
2019-10,6
2019-11,8
2019-12,9
2020-01,9
2020-02,8
2020-03,7
2020-04,8
2020-05,7
2020-06,7
2020-07,6
2020-08,8
2020-09,8
2020-10,7
2020-11,7
2020-12,9
2021-01,8
2021-02,10
2021-03,9
2021-04,9
2021-05,9
2021-06,11
2021-07,9
2021-08,9
2021-09,9
2021-10,9
2021-11,9
2021-12,10
2022-01,12
2022-02,15
2022-03,16
2022-04,17
2022-05,20
2022-06,19
2022-07,17
2022-08,17
2022-09,17
2022-10,14
2022-11,16
2022-12,14
2023-01,16
2023-02,16
2023-03,12
