类别：所有类别

月份,摩托车: (印度)
2004-01,50
2004-02,45
2004-03,45
2004-04,42
2004-05,55
2004-06,55
2004-07,59
2004-08,61
2004-09,81
2004-10,83
2004-11,76
2004-12,57
2005-01,61
2005-02,56
2005-03,57
2005-04,55
2005-05,57
2005-06,58
2005-07,55
2005-08,62
2005-09,61
2005-10,61
2005-11,52
2005-12,52
2006-01,52
2006-02,49
2006-03,53
2006-04,69
2006-05,62
2006-06,53
2006-07,52
2006-08,54
2006-09,54
2006-10,68
2006-11,49
2006-12,52
2007-01,47
2007-02,47
2007-03,48
2007-04,51
2007-05,51
2007-06,52
2007-07,54
2007-08,48
2007-09,56
2007-10,58
2007-11,59
2007-12,54
2008-01,53
2008-02,49
2008-03,55
2008-04,55
2008-05,56
2008-06,59
2008-07,65
2008-08,59
2008-09,68
2008-10,74
2008-11,57
2008-12,57
2009-01,53
2009-02,53
2009-03,61
2009-04,63
2009-05,61
2009-06,60
2009-07,60
2009-08,65
2009-09,74
2009-10,68
2009-11,61
2009-12,58
2010-01,64
2010-02,60
2010-03,62
2010-04,60
2010-05,68
2010-06,68
2010-07,62
2010-08,63
2010-09,67
2010-10,76
2010-11,61
2010-12,66
2011-01,66
2011-02,63
2011-03,65
2011-04,65
2011-05,65
2011-06,67
2011-07,64
2011-08,65
2011-09,65
2011-10,73
2011-11,64
2011-12,64
2012-01,65
2012-02,55
2012-03,61
2012-04,61
2012-05,63
2012-06,64
2012-07,63
2012-08,60
2012-09,65
2012-10,67
2012-11,59
2012-12,55
2013-01,57
2013-02,52
2013-03,58
2013-04,58
2013-05,53
2013-06,56
2013-07,58
2013-08,56
2013-09,61
2013-10,67
2013-11,64
2013-12,64
2014-01,72
2014-02,71
2014-03,64
2014-04,63
2014-05,63
2014-06,68
2014-07,70
2014-08,74
2014-09,80
2014-10,83
2014-11,67
2014-12,67
2015-01,69
2015-02,70
2015-03,72
2015-04,78
2015-05,76
2015-06,76
2015-07,76
2015-08,75
2015-09,80
2015-10,86
2015-11,81
2015-12,77
2016-01,78
2016-02,86
2016-03,82
2016-04,83
2016-05,80
2016-06,89
2016-07,85
2016-08,81
2016-09,84
2016-10,100
2016-11,74
2016-12,72
2017-01,69
2017-02,72
2017-03,89
2017-04,75
2017-05,67
2017-06,72
2017-07,75
2017-08,72
2017-09,83
2017-10,87
2017-11,79
2017-12,78
2018-01,75
2018-02,78
2018-03,77
2018-04,71
2018-05,71
2018-06,72
2018-07,75
2018-08,72
2018-09,75
2018-10,83
2018-11,88
2018-12,73
2019-01,71
2019-02,70
2019-03,65
2019-04,68
2019-05,73
2019-06,73
2019-07,75
2019-08,78
2019-09,88
2019-10,89
2019-11,82
2019-12,78
2020-01,75
2020-02,80
2020-03,77
2020-04,51
2020-05,65
2020-06,87
2020-07,89
2020-08,85
2020-09,89
2020-10,93
2020-11,94
2020-12,82
2021-01,89
2021-02,87
2021-03,82
2021-04,68
2021-05,66
2021-06,79
2021-07,84
2021-08,79
2021-09,75
2021-10,79
2021-11,72
2021-12,68
2022-01,72
2022-02,76
2022-03,79
2022-04,79
2022-05,78
2022-06,79
2022-07,80
2022-08,82
2022-09,80
2022-10,91
2022-11,80
2022-12,76
2023-01,76
2023-02,78
2023-03,75
