类别：所有类别

月份,价格: (印度)
2004-01,13
2004-02,12
2004-03,13
2004-04,12
2004-05,13
2004-06,13
2004-07,13
2004-08,14
2004-09,14
2004-10,14
2004-11,14
2004-12,13
2005-01,13
2005-02,13
2005-03,15
2005-04,14
2005-05,14
2005-06,13
2005-07,13
2005-08,15
2005-09,15
2005-10,15
2005-11,14
2005-12,15
2006-01,14
2006-02,15
2006-03,17
2006-04,16
2006-05,16
2006-06,17
2006-07,14
2006-08,15
2006-09,17
2006-10,16
2006-11,14
2006-12,15
2007-01,16
2007-02,14
2007-03,14
2007-04,14
2007-05,15
2007-06,15
2007-07,16
2007-08,17
2007-09,18
2007-10,19
2007-11,20
2007-12,19
2008-01,20
2008-02,20
2008-03,20
2008-04,19
2008-05,19
2008-06,21
2008-07,21
2008-08,23
2008-09,23
2008-10,26
2008-11,22
2008-12,24
2009-01,23
2009-02,23
2009-03,24
2009-04,27
2009-05,29
2009-06,30
2009-07,31
2009-08,35
2009-09,36
2009-10,42
2009-11,41
2009-12,43
2010-01,48
2010-02,47
2010-03,50
2010-04,51
2010-05,55
2010-06,55
2010-07,55
2010-08,53
2010-09,53
2010-10,59
2010-11,58
2010-12,55
2011-01,51
2011-02,50
2011-03,48
2011-04,48
2011-05,48
2011-06,49
2011-07,50
2011-08,54
2011-09,54
2011-10,58
2011-11,47
2011-12,49
2012-01,47
2012-02,47
2012-03,47
2012-04,45
2012-05,48
2012-06,45
2012-07,50
2012-08,51
2012-09,52
2012-10,52
2012-11,50
2012-12,47
2013-01,47
2013-02,53
2013-03,54
2013-04,53
2013-05,51
2013-06,53
2013-07,54
2013-08,53
2013-09,57
2013-10,61
2013-11,54
2013-12,50
2014-01,48
2014-02,49
2014-03,51
2014-04,51
2014-05,53
2014-06,52
2014-07,53
2014-08,60
2014-09,62
2014-10,64
2014-11,57
2014-12,57
2015-01,58
2015-02,53
2015-03,55
2015-04,55
2015-05,53
2015-06,54
2015-07,50
2015-08,55
2015-09,59
2015-10,61
2015-11,60
2015-12,57
2016-01,54
2016-02,56
2016-03,57
2016-04,57
2016-05,52
2016-06,56
2016-07,57
2016-08,55
2016-09,62
2016-10,59
2016-11,50
2016-12,51
2017-01,56
2017-02,54
2017-03,55
2017-04,54
2017-05,55
2017-06,57
2017-07,59
2017-08,56
2017-09,71
2017-10,72
2017-11,71
2017-12,74
2018-01,72
2018-02,66
2018-03,66
2018-04,63
2018-05,64
2018-06,59
2018-07,66
2018-08,59
2018-09,59
2018-10,61
2018-11,60
2018-12,56
2019-01,57
2019-02,56
2019-03,53
2019-04,54
2019-05,56
2019-06,58
2019-07,58
2019-08,61
2019-09,68
2019-10,68
2019-11,66
2019-12,60
2020-01,64
2020-02,65
2020-03,70
2020-04,57
2020-05,80
2020-06,95
2020-07,93
2020-08,93
2020-09,89
2020-10,87
2020-11,89
2020-12,88
2021-01,95
2021-02,98
2021-03,88
2021-04,85
2021-05,88
2021-06,100
2021-07,97
2021-08,92
2021-09,87
2021-10,94
2021-11,91
2021-12,87
2022-01,88
2022-02,97
2022-03,93
2022-04,90
2022-05,93
2022-06,86
2022-07,82
2022-08,78
2022-09,87
2022-10,85
2022-11,80
2022-12,84
2023-01,77
2023-02,83
2023-03,83
