类别：所有类别

月份,汽车: (印度)
2004-01,80
2004-02,73
2004-03,71
2004-04,74
2004-05,73
2004-06,70
2004-07,76
2004-08,76
2004-09,75
2004-10,72
2004-11,69
2004-12,63
2005-01,67
2005-02,70
2005-03,67
2005-04,67
2005-05,68
2005-06,67
2005-07,65
2005-08,67
2005-09,69
2005-10,67
2005-11,63
2005-12,66
2006-01,73
2006-02,62
2006-03,64
2006-04,65
2006-05,57
2006-06,64
2006-07,64
2006-08,62
2006-09,64
2006-10,63
2006-11,59
2006-12,56
2007-01,56
2007-02,56
2007-03,55
2007-04,56
2007-05,59
2007-06,65
2007-07,62
2007-08,65
2007-09,65
2007-10,71
2007-11,65
2007-12,60
2008-01,100
2008-02,67
2008-03,72
2008-04,72
2008-05,69
2008-06,68
2008-07,68
2008-08,70
2008-09,69
2008-10,69
2008-11,65
2008-12,68
2009-01,68
2009-02,66
2009-03,79
2009-04,73
2009-05,74
2009-06,72
2009-07,70
2009-08,75
2009-09,75
2009-10,74
2009-11,75
2009-12,73
2010-01,85
2010-02,76
2010-03,80
2010-04,78
2010-05,84
2010-06,78
2010-07,78
2010-08,76
2010-09,76
2010-10,79
2010-11,74
2010-12,74
2011-01,74
2011-02,70
2011-03,72
2011-04,72
2011-05,75
2011-06,76
2011-07,75
2011-08,76
2011-09,76
2011-10,80
2011-11,70
2011-12,68
2012-01,73
2012-02,69
2012-03,68
2012-04,66
2012-05,65
2012-06,71
2012-07,67
2012-08,65
2012-09,67
2012-10,67
2012-11,63
2012-12,61
2013-01,62
2013-02,63
2013-03,67
2013-04,65
2013-05,63
2013-06,67
2013-07,67
2013-08,67
2013-09,64
2013-10,65
2013-11,62
2013-12,64
2014-01,63
2014-02,69
2014-03,64
2014-04,59
2014-05,60
2014-06,61
2014-07,61
2014-08,65
2014-09,65
2014-10,67
2014-11,60
2014-12,63
2015-01,66
2015-02,64
2015-03,66
2015-04,71
2015-05,71
2015-06,66
2015-07,63
2015-08,63
2015-09,69
2015-10,67
2015-11,70
2015-12,70
2016-01,67
2016-02,69
2016-03,63
2016-04,65
2016-05,65
2016-06,69
2016-07,66
2016-08,64
2016-09,62
2016-10,59
2016-11,57
2016-12,59
2017-01,59
2017-02,61
2017-03,64
2017-04,57
2017-05,59
2017-06,63
2017-07,63
2017-08,61
2017-09,65
2017-10,65
2017-11,61
2017-12,63
2018-01,61
2018-02,61
2018-03,60
2018-04,58
2018-05,62
2018-06,61
2018-07,60
2018-08,61
2018-09,65
2018-10,69
2018-11,73
2018-12,71
2019-01,67
2019-02,57
2019-03,57
2019-04,68
2019-05,71
2019-06,66
2019-07,66
2019-08,69
2019-09,69
2019-10,70
2019-11,67
2019-12,68
2020-01,66
2020-02,64
2020-03,56
2020-04,44
2020-05,54
2020-06,66
2020-07,66
2020-08,69
2020-09,72
2020-10,67
2020-11,67
2020-12,69
2021-01,72
2021-02,66
2021-03,60
2021-04,55
2021-05,52
2021-06,63
2021-07,64
2021-08,63
2021-09,58
2021-10,54
2021-11,56
2021-12,59
2022-01,61
2022-02,64
2022-03,61
2022-04,61
2022-05,62
2022-06,60
2022-07,59
2022-08,64
2022-09,57
2022-10,60
2022-11,56
2022-12,60
2023-01,59
2023-02,59
2023-03,57
