类别：所有类别

月份,可口可乐: (印度)
2004-01,84
2004-02,77
2004-03,100
2004-04,64
2004-05,52
2004-06,65
2004-07,55
2004-08,56
2004-09,83
2004-10,75
2004-11,62
2004-12,49
2005-01,62
2005-02,62
2005-03,65
2005-04,66
2005-05,44
2005-06,42
2005-07,58
2005-08,72
2005-09,62
2005-10,56
2005-11,53
2005-12,43
2006-01,35
2006-02,52
2006-03,64
2006-04,41
2006-05,36
2006-06,47
2006-07,58
2006-08,71
2006-09,50
2006-10,54
2006-11,55
2006-12,41
2007-01,37
2007-02,40
2007-03,49
2007-04,37
2007-05,30
2007-06,41
2007-07,40
2007-08,44
2007-09,52
2007-10,45
2007-11,36
2007-12,34
2008-01,30
2008-02,39
2008-03,41
2008-04,38
2008-05,36
2008-06,35
2008-07,33
2008-08,37
2008-09,44
2008-10,43
2008-11,38
2008-12,32
2009-01,29
2009-02,39
2009-03,46
2009-04,47
2009-05,39
2009-06,36
2009-07,42
2009-08,38
2009-09,46
2009-10,40
2009-11,39
2009-12,35
2010-01,39
2010-02,37
2010-03,46
2010-04,45
2010-05,38
2010-06,37
2010-07,37
2010-08,33
2010-09,32
2010-10,46
2010-11,33
2010-12,39
2011-01,35
2011-02,33
2011-03,36
2011-04,31
2011-05,25
2011-06,27
2011-07,30
2011-08,29
2011-09,29
2011-10,27
2011-11,27
2011-12,24
2012-01,41
2012-02,37
2012-03,31
2012-04,29
2012-05,25
2012-06,24
2012-07,25
2012-08,22
2012-09,25
2012-10,22
2012-11,18
2012-12,17
2013-01,34
2013-02,30
2013-03,22
2013-04,28
2013-05,24
2013-06,22
2013-07,20
2013-08,20
2013-09,20
2013-10,19
2013-11,19
2013-12,25
2014-01,21
2014-02,23
2014-03,21
2014-04,23
2014-05,21
2014-06,22
2014-07,24
2014-08,23
2014-09,22
2014-10,21
2014-11,21
2014-12,17
2015-01,18
2015-02,17
2015-03,18
2015-04,18
2015-05,20
2015-06,21
2015-07,17
2015-08,18
2015-09,19
2015-10,19
2015-11,18
2015-12,16
2016-01,14
2016-02,16
2016-03,20
2016-04,21
2016-05,17
2016-06,18
2016-07,14
2016-08,15
2016-09,16
2016-10,15
2016-11,14
2016-12,12
2017-01,16
2017-02,17
2017-03,18
2017-04,16
2017-05,15
2017-06,13
2017-07,13
2017-08,13
2017-09,15
2017-10,17
2017-11,16
2017-12,12
2018-01,14
2018-02,16
2018-03,18
2018-04,19
2018-05,20
2018-06,31
2018-07,20
2018-08,22
2018-09,23
2018-10,18
2018-11,16
2018-12,15
2019-01,16
2019-02,39
2019-03,53
2019-04,33
2019-05,29
2019-06,29
2019-07,22
2019-08,21
2019-09,19
2019-10,26
2019-11,17
2019-12,15
2020-01,13
2020-02,15
2020-03,14
2020-04,13
2020-05,15
2020-06,14
2020-07,12
2020-08,12
2020-09,13
2020-10,12
2020-11,14
2020-12,15
2021-01,15
2021-02,16
2021-03,17
2021-04,16
2021-05,15
2021-06,51
2021-07,16
2021-08,14
2021-09,13
2021-10,14
2021-11,13
2021-12,13
2022-01,13
2022-02,15
2022-03,19
2022-04,27
2022-05,27
2022-06,20
2022-07,17
2022-08,16
2022-09,16
2022-10,13
2022-11,13
2022-12,13
2023-01,12
2023-02,16
2023-03,17
