类别：所有类别

月份,电: (印度)
2004-01,100
2004-02,88
2004-03,86
2004-04,94
2004-05,73
2004-06,88
2004-07,99
2004-08,93
2004-09,97
2004-10,92
2004-11,82
2004-12,85
2005-01,87
2005-02,90
2005-03,76
2005-04,81
2005-05,70
2005-06,76
2005-07,86
2005-08,84
2005-09,83
2005-10,74
2005-11,65
2005-12,67
2006-01,73
2006-02,73
2006-03,68
2006-04,62
2006-05,62
2006-06,66
2006-07,67
2006-08,64
2006-09,68
2006-10,60
2006-11,60
2006-12,57
2007-01,65
2007-02,63
2007-03,59
2007-04,54
2007-05,53
2007-06,54
2007-07,62
2007-08,58
2007-09,65
2007-10,57
2007-11,55
2007-12,56
2008-01,59
2008-02,63
2008-03,57
2008-04,57
2008-05,51
2008-06,59
2008-07,66
2008-08,65
2008-09,68
2008-10,59
2008-11,62
2008-12,56
2009-01,62
2009-02,65
2009-03,64
2009-04,57
2009-05,54
2009-06,63
2009-07,69
2009-08,66
2009-09,68
2009-10,65
2009-11,65
2009-12,59
2010-01,62
2010-02,64
2010-03,65
2010-04,65
2010-05,61
2010-06,61
2010-07,63
2010-08,63
2010-09,62
2010-10,51
2010-11,54
2010-12,54
2011-01,49
2011-02,49
2011-03,43
2011-04,42
2011-05,43
2011-06,50
2011-07,55
2011-08,56
2011-09,54
2011-10,48
2011-11,53
2011-12,45
2012-01,52
2012-02,49
2012-03,48
2012-04,45
2012-05,49
2012-06,53
2012-07,61
2012-08,55
2012-09,58
2012-10,52
2012-11,48
2012-12,48
2013-01,53
2013-02,52
2013-03,46
2013-04,46
2013-05,50
2013-06,53
2013-07,54
2013-08,53
2013-09,59
2013-10,54
2013-11,48
2013-12,45
2014-01,47
2014-02,44
2014-03,43
2014-04,43
2014-05,44
2014-06,49
2014-07,55
2014-08,57
2014-09,55
2014-10,47
2014-11,52
2014-12,49
2015-01,50
2015-02,52
2015-03,48
2015-04,51
2015-05,51
2015-06,59
2015-07,51
2015-08,55
2015-09,62
2015-10,53
2015-11,53
2015-12,54
2016-01,47
2016-02,49
2016-03,46
2016-04,49
2016-05,53
2016-06,57
2016-07,53
2016-08,51
2016-09,55
2016-10,43
2016-11,44
2016-12,46
2017-01,43
2017-02,46
2017-03,44
2017-04,44
2017-05,47
2017-06,47
2017-07,48
2017-08,48
2017-09,50
2017-10,45
2017-11,46
2017-12,42
2018-01,43
2018-02,42
2018-03,42
2018-04,42
2018-05,46
2018-06,55
2018-07,51
2018-08,48
2018-09,47
2018-10,43
2018-11,41
2018-12,43
2019-01,46
2019-02,46
2019-03,43
2019-04,42
2019-05,46
2019-06,52
2019-07,53
2019-08,52
2019-09,53
2019-10,48
2019-11,47
2019-12,47
2020-01,48
2020-02,52
2020-03,44
2020-04,46
2020-05,63
2020-06,64
2020-07,62
2020-08,60
2020-09,59
2020-10,53
2020-11,49
2020-12,52
2021-01,55
2021-02,57
2021-03,62
2021-04,49
2021-05,55
2021-06,66
2021-07,64
2021-08,56
2021-09,55
2021-10,54
2021-11,49
2021-12,55
2022-01,62
2022-02,69
2022-03,71
2022-04,68
2022-05,68
2022-06,69
2022-07,67
2022-08,62
2022-09,65
2022-10,56
2022-11,60
2022-12,60
2023-01,60
2023-02,66
2023-03,73
