类别：所有类别

月份,石油: (印度)
2004-01,100
2004-02,86
2004-03,60
2004-04,73
2004-05,71
2004-06,88
2004-07,85
2004-08,94
2004-09,95
2004-10,84
2004-11,83
2004-12,67
2005-01,83
2005-02,83
2005-03,85
2005-04,70
2005-05,74
2005-06,77
2005-07,82
2005-08,87
2005-09,91
2005-10,74
2005-11,77
2005-12,76
2006-01,73
2006-02,79
2006-03,75
2006-04,87
2006-05,92
2006-06,76
2006-07,65
2006-08,72
2006-09,68
2006-10,62
2006-11,63
2006-12,57
2007-01,61
2007-02,53
2007-03,51
2007-04,54
2007-05,56
2007-06,55
2007-07,58
2007-08,56
2007-09,59
2007-10,53
2007-11,60
2007-12,61
2008-01,65
2008-02,66
2008-03,60
2008-04,56
2008-05,67
2008-06,90
2008-07,92
2008-08,83
2008-09,86
2008-10,70
2008-11,66
2008-12,68
2009-01,79
2009-02,62
2009-03,62
2009-04,48
2009-05,44
2009-06,53
2009-07,53
2009-08,50
2009-09,53
2009-10,48
2009-11,47
2009-12,43
2010-01,45
2010-02,45
2010-03,40
2010-04,42
2010-05,42
2010-06,42
2010-07,44
2010-08,42
2010-09,41
2010-10,40
2010-11,35
2010-12,35
2011-01,34
2011-02,38
2011-03,37
2011-04,31
2011-05,31
2011-06,31
2011-07,28
2011-08,34
2011-09,30
2011-10,28
2011-11,33
2011-12,23
2012-01,23
2012-02,25
2012-03,25
2012-04,22
2012-05,27
2012-06,26
2012-07,25
2012-08,27
2012-09,24
2012-10,26
2012-11,23
2012-12,22
2013-01,24
2013-02,23
2013-03,20
2013-04,21
2013-05,21
2013-06,22
2013-07,24
2013-08,22
2013-09,24
2013-10,21
2013-11,19
2013-12,18
2014-01,18
2014-02,17
2014-03,17
2014-04,16
2014-05,16
2014-06,20
2014-07,20
2014-08,19
2014-09,20
2014-10,22
2014-11,29
2014-12,34
2015-01,39
2015-02,32
2015-03,30
2015-04,27
2015-05,25
2015-06,24
2015-07,24
2015-08,27
2015-09,27
2015-10,22
2015-11,23
2015-12,27
2016-01,36
2016-02,32
2016-03,27
2016-04,26
2016-05,23
2016-06,25
2016-07,24
2016-08,24
2016-09,25
2016-10,21
2016-11,20
2016-12,19
2017-01,19
2017-02,20
2017-03,19
2017-04,17
2017-05,18
2017-06,21
2017-07,20
2017-08,22
2017-09,24
2017-10,22
2017-11,30
2017-12,27
2018-01,29
2018-02,24
2018-03,21
2018-04,23
2018-05,26
2018-06,23
2018-07,36
2018-08,33
2018-09,39
2018-10,37
2018-11,34
2018-12,33
2019-01,31
2019-02,26
2019-03,21
2019-04,19
2019-05,19
2019-06,25
2019-07,31
2019-08,30
2019-09,33
2019-10,23
2019-11,26
2019-12,24
2020-01,26
2020-02,24
2020-03,39
2020-04,52
2020-05,26
2020-06,37
2020-07,27
2020-08,26
2020-09,23
2020-10,19
2020-11,20
2020-12,22
2021-01,23
2021-02,27
2021-03,24
2021-04,16
2021-05,20
2021-06,29
2021-07,31
2021-08,21
2021-09,23
2021-10,24
2021-11,24
2021-12,21
2022-01,23
2022-02,32
2022-03,52
2022-04,32
2022-05,27
2022-06,31
2022-07,31
2022-08,27
2022-09,29
2022-10,24
2022-11,24
2022-12,25
2023-01,24
2023-02,22
2023-03,23
