类别：所有类别

月份,通货膨胀: (印度尼西亚)
2004-01,70
2004-02,64
2004-03,72
2004-04,54
2004-05,74
2004-06,50
2004-07,81
2004-08,14
2004-09,33
2004-10,39
2004-11,81
2004-12,49
2005-01,77
2005-02,44
2005-03,63
2005-04,67
2005-05,68
2005-06,100
2005-07,33
2005-08,48
2005-09,56
2005-10,37
2005-11,100
2005-12,88
2006-01,60
2006-02,71
2006-03,68
2006-04,38
2006-05,59
2006-06,54
2006-07,31
2006-08,34
2006-09,37
2006-10,38
2006-11,32
2006-12,40
2007-01,59
2007-02,48
2007-03,59
2007-04,40
2007-05,59
2007-06,57
2007-07,20
2007-08,34
2007-09,25
2007-10,33
2007-11,39
2007-12,39
2008-01,50
2008-02,53
2008-03,58
2008-04,53
2008-05,65
2008-06,51
2008-07,30
2008-08,29
2008-09,28
2008-10,31
2008-11,32
2008-12,38
2009-01,37
2009-02,35
2009-03,32
2009-04,28
2009-05,33
2009-06,34
2009-07,19
2009-08,14
2009-09,18
2009-10,17
2009-11,23
2009-12,24
2010-01,29
2010-02,29
2010-03,25
2010-04,26
2010-05,20
2010-06,22
2010-07,11
2010-08,16
2010-09,13
2010-10,19
2010-11,16
2010-12,18
2011-01,23
2011-02,18
2011-03,23
2011-04,19
2011-05,18
2011-06,18
2011-07,11
2011-08,8
2011-09,11
2011-10,14
2011-11,13
2011-12,13
2012-01,17
2012-02,17
2012-03,19
2012-04,18
2012-05,16
2012-06,17
2012-07,9
2012-08,6
2012-09,10
2012-10,11
2012-11,13
2012-12,11
2013-01,16
2013-02,15
2013-03,16
2013-04,15
2013-05,14
2013-06,16
2013-07,11
2013-08,9
2013-09,14
2013-10,12
2013-11,12
2013-12,10
2014-01,14
2014-02,11
2014-03,14
2014-04,14
2014-05,13
2014-06,17
2014-07,7
2014-08,8
2014-09,13
2014-10,12
2014-11,16
2014-12,13
2015-01,22
2015-02,17
2015-03,18
2015-04,14
2015-05,15
2015-06,16
2015-07,6
2015-08,9
2015-09,11
2015-10,14
2015-11,15
2015-12,12
2016-01,20
2016-02,17
2016-03,17
2016-04,14
2016-05,16
2016-06,11
2016-07,5
2016-08,7
2016-09,9
2016-10,13
2016-11,14
2016-12,11
2017-01,17
2017-02,15
2017-03,14
2017-04,12
2017-05,14
2017-06,8
2017-07,7
2017-08,7
2017-09,9
2017-10,16
2017-11,20
2017-12,12
2018-01,12
2018-02,11
2018-03,13
2018-04,13
2018-05,12
2018-06,5
2018-07,8
2018-08,8
2018-09,14
2018-10,21
2018-11,24
2018-12,14
2019-01,14
2019-02,11
2019-03,15
2019-04,14
2019-05,13
2019-06,7
2019-07,9
2019-08,8
2019-09,12
2019-10,21
2019-11,23
2019-12,17
2020-01,13
2020-02,14
2020-03,17
2020-04,16
2020-05,12
2020-06,14
2020-07,8
2020-08,8
2020-09,14
2020-10,16
2020-11,23
2020-12,19
2021-01,11
2021-02,12
2021-03,18
2021-04,13
2021-05,10
2021-06,15
2021-07,7
2021-08,7
2021-09,11
2021-10,14
2021-11,22
2021-12,18
2022-01,17
2022-02,17
2022-03,25
2022-04,18
2022-05,16
2022-06,18
2022-07,19
2022-08,21
2022-09,30
2022-10,35
2022-11,35
2022-12,21
2023-01,16
2023-02,18
2023-03,20
