Year,Month,M2
2018,1,8.4
2018,2,8.37
2018,3,7.54
2018,4,7.46
2018,5,6.02
2018,6,5.91
2018,7,6.37
2018,8,5.94
2018,9,6.71
2018,10,7.25
2018,11,6.57
2018,12,6.29
2019,1,5.51
2019,2,5.98
2019,3,6.46
2019,4,6.19
2019,5,7.84
2019,6,6.95
2019,7,7.87
2019,8,7.33
2019,9,7.06
2019,10,6.34
2019,11,7.08
2019,12,6.54
2020,1,7.09
2020,2,7.85
2020,3,12.12
2020,4,8.6
2020,5,10.35
2020,6,8.03
2020,7,10.55
2020,8,13.43
2020,9,12.43
2020,10,12.51
2020,11,12.26
2020,12,12.44
2021,1,11.81
2021,2,11.35
2021,3,6.95
2021,4,11.53
2021,5,8.14
2021,6,11.35
2021,7,8.55
2021,8,6.94
2021,9,8.18
2021,10,10.48
2021,11,11.09
2021,12,14.02
2022,1,12.88
2022,2,12.92
2022,3,13.4
2022,4,13.71
2022,5,12.29
2022,6,10.8
2022,7,9.75
2022,8,9.66
2022,9,9.09
2022,10,9.75
2022,11,9.54
2022,12,4.93
2023,1,8.39
