类别：所有类别

月份,价格: (印度尼西亚)
2004-01,52
2004-02,49
2004-03,42
2004-04,45
2004-05,47
2004-06,50
2004-07,51
2004-08,50
2004-09,48
2004-10,44
2004-11,44
2004-12,51
2005-01,51
2005-02,46
2005-03,48
2005-04,46
2005-05,44
2005-06,49
2005-07,50
2005-08,46
2005-09,45
2005-10,50
2005-11,46
2005-12,48
2006-01,45
2006-02,43
2006-03,46
2006-04,47
2006-05,49
2006-06,45
2006-07,48
2006-08,47
2006-09,46
2006-10,45
2006-11,49
2006-12,47
2007-01,44
2007-02,43
2007-03,46
2007-04,44
2007-05,45
2007-06,49
2007-07,49
2007-08,46
2007-09,47
2007-10,46
2007-11,44
2007-12,45
2008-01,49
2008-02,41
2008-03,44
2008-04,45
2008-05,48
2008-06,47
2008-07,52
2008-08,52
2008-09,53
2008-10,53
2008-11,49
2008-12,50
2009-01,50
2009-02,57
2009-03,52
2009-04,52
2009-05,53
2009-06,57
2009-07,57
2009-08,57
2009-09,60
2009-10,52
2009-11,55
2009-12,61
2010-01,58
2010-02,61
2010-03,56
2010-04,56
2010-05,59
2010-06,61
2010-07,60
2010-08,62
2010-09,60
2010-10,55
2010-11,52
2010-12,56
2011-01,51
2011-02,47
2011-03,50
2011-04,47
2011-05,50
2011-06,49
2011-07,49
2011-08,52
2011-09,52
2011-10,49
2011-11,49
2011-12,58
2012-01,56
2012-02,57
2012-03,58
2012-04,55
2012-05,62
2012-06,61
2012-07,67
2012-08,67
2012-09,65
2012-10,59
2012-11,60
2012-12,65
2013-01,67
2013-02,66
2013-03,68
2013-04,67
2013-05,70
2013-06,70
2013-07,79
2013-08,77
2013-09,71
2013-10,75
2013-11,77
2013-12,76
2014-01,82
2014-02,81
2014-03,81
2014-04,84
2014-05,85
2014-06,82
2014-07,89
2014-08,89
2014-09,84
2014-10,78
2014-11,81
2014-12,87
2015-01,91
2015-02,91
2015-03,88
2015-04,86
2015-05,84
2015-06,90
2015-07,96
2015-08,87
2015-09,87
2015-10,84
2015-11,86
2015-12,94
2016-01,86
2016-02,87
2016-03,88
2016-04,83
2016-05,81
2016-06,88
2016-07,95
2016-08,89
2016-09,80
2016-10,88
2016-11,86
2016-12,71
2017-01,72
2017-02,71
2017-03,65
2017-04,67
2017-05,65
2017-06,75
2017-07,74
2017-08,62
2017-09,60
2017-10,64
2017-11,65
2017-12,74
2018-01,71
2018-02,69
2018-03,68
2018-04,64
2018-05,66
2018-06,77
2018-07,71
2018-08,69
2018-09,71
2018-10,68
2018-11,75
2018-12,85
2019-01,86
2019-02,97
2019-03,100
2019-04,75
2019-05,79
2019-06,92
2019-07,86
2019-08,75
2019-09,72
2019-10,74
2019-11,74
2019-12,80
2020-01,82
2020-02,79
2020-03,70
2020-04,63
2020-05,73
2020-06,80
2020-07,74
2020-08,74
2020-09,65
2020-10,70
2020-11,71
2020-12,74
2021-01,70
2021-02,71
2021-03,66
2021-04,68
2021-05,74
2021-06,70
2021-07,58
2021-08,57
2021-09,56
2021-10,58
2021-11,58
2021-12,59
2022-01,61
2022-02,56
2022-03,58
2022-04,59
2022-05,67
2022-06,60
2022-07,58
2022-08,53
2022-09,55
2022-10,52
2022-11,48
2022-12,52
2023-01,59
2023-02,54
2023-03,50
