类别：所有类别

月份,汽车: (印度尼西亚)
2004-01,81
2004-02,70
2004-03,78
2004-04,76
2004-05,67
2004-06,77
2004-07,84
2004-08,78
2004-09,81
2004-10,90
2004-11,100
2004-12,83
2005-01,79
2005-02,81
2005-03,71
2005-04,74
2005-05,76
2005-06,76
2005-07,72
2005-08,82
2005-09,75
2005-10,81
2005-11,73
2005-12,71
2006-01,64
2006-02,65
2006-03,63
2006-04,63
2006-05,64
2006-06,61
2006-07,69
2006-08,69
2006-09,70
2006-10,74
2006-11,71
2006-12,61
2007-01,66
2007-02,68
2007-03,65
2007-04,63
2007-05,68
2007-06,69
2007-07,67
2007-08,69
2007-09,70
2007-10,71
2007-11,64
2007-12,62
2008-01,73
2008-02,66
2008-03,67
2008-04,68
2008-05,66
2008-06,67
2008-07,70
2008-08,67
2008-09,82
2008-10,67
2008-11,63
2008-12,63
2009-01,69
2009-02,72
2009-03,69
2009-04,69
2009-05,66
2009-06,68
2009-07,70
2009-08,71
2009-09,69
2009-10,60
2009-11,64
2009-12,72
2010-01,68
2010-02,68
2010-03,70
2010-04,66
2010-05,69
2010-06,62
2010-07,64
2010-08,69
2010-09,69
2010-10,61
2010-11,58
2010-12,59
2011-01,58
2011-02,56
2011-03,59
2011-04,58
2011-05,58
2011-06,57
2011-07,56
2011-08,63
2011-09,65
2011-10,59
2011-11,58
2011-12,62
2012-01,72
2012-02,61
2012-03,60
2012-04,60
2012-05,64
2012-06,61
2012-07,62
2012-08,70
2012-09,69
2012-10,64
2012-11,64
2012-12,64
2013-01,70
2013-02,64
2013-03,62
2013-04,63
2013-05,63
2013-06,67
2013-07,73
2013-08,68
2013-09,75
2013-10,66
2013-11,67
2013-12,71
2014-01,71
2014-02,68
2014-03,69
2014-04,70
2014-05,70
2014-06,65
2014-07,71
2014-08,72
2014-09,69
2014-10,68
2014-11,65
2014-12,70
2015-01,76
2015-02,74
2015-03,66
2015-04,72
2015-05,72
2015-06,70
2015-07,85
2015-08,73
2015-09,70
2015-10,68
2015-11,75
2015-12,81
2016-01,83
2016-02,78
2016-03,80
2016-04,73
2016-05,74
2016-06,82
2016-07,83
2016-08,73
2016-09,69
2016-10,71
2016-11,69
2016-12,71
2017-01,78
2017-02,68
2017-03,69
2017-04,68
2017-05,69
2017-06,76
2017-07,76
2017-08,68
2017-09,66
2017-10,67
2017-11,69
2017-12,77
2018-01,72
2018-02,71
2018-03,70
2018-04,69
2018-05,71
2018-06,76
2018-07,70
2018-08,70
2018-09,66
2018-10,69
2018-11,72
2018-12,81
2019-01,79
2019-02,75
2019-03,79
2019-04,71
2019-05,80
2019-06,91
2019-07,75
2019-08,68
2019-09,67
2019-10,70
2019-11,68
2019-12,69
2020-01,75
2020-02,71
2020-03,64
2020-04,57
2020-05,59
2020-06,64
2020-07,60
2020-08,58
2020-09,55
2020-10,55
2020-11,58
2020-12,63
2021-01,61
2021-02,60
2021-03,56
2021-04,60
2021-05,60
2021-06,56
2021-07,45
2021-08,49
2021-09,52
2021-10,53
2021-11,58
2021-12,58
2022-01,58
2022-02,52
2022-03,54
2022-04,57
2022-05,64
2022-06,54
2022-07,55
2022-08,50
2022-09,51
2022-10,50
2022-11,48
2022-12,49
2023-01,52
2023-02,50
2023-03,53
