类别：所有类别

月份,可口可乐: (印度尼西亚)
2004-01,0
2004-02,63
2004-03,65
2004-04,100
2004-05,80
2004-06,95
2004-07,56
2004-08,52
2004-09,88
2004-10,66
2004-11,76
2004-12,62
2005-01,73
2005-02,90
2005-03,45
2005-04,78
2005-05,85
2005-06,45
2005-07,42
2005-08,78
2005-09,80
2005-10,69
2005-11,66
2005-12,51
2006-01,77
2006-02,49
2006-03,85
2006-04,54
2006-05,60
2006-06,70
2006-07,50
2006-08,48
2006-09,58
2006-10,42
2006-11,50
2006-12,45
2007-01,64
2007-02,52
2007-03,43
2007-04,59
2007-05,48
2007-06,30
2007-07,36
2007-08,35
2007-09,41
2007-10,34
2007-11,31
2007-12,38
2008-01,39
2008-02,33
2008-03,41
2008-04,31
2008-05,40
2008-06,25
2008-07,37
2008-08,43
2008-09,57
2008-10,37
2008-11,43
2008-12,28
2009-01,28
2009-02,30
2009-03,25
2009-04,32
2009-05,30
2009-06,28
2009-07,19
2009-08,22
2009-09,20
2009-10,24
2009-11,22
2009-12,42
2010-01,43
2010-02,30
2010-03,39
2010-04,46
2010-05,25
2010-06,29
2010-07,20
2010-08,16
2010-09,16
2010-10,29
2010-11,24
2010-12,15
2011-01,16
2011-02,21
2011-03,21
2011-04,16
2011-05,14
2011-06,15
2011-07,13
2011-08,13
2011-09,15
2011-10,20
2011-11,19
2011-12,21
2012-01,16
2012-02,16
2012-03,17
2012-04,15
2012-05,15
2012-06,12
2012-07,13
2012-08,12
2012-09,13
2012-10,17
2012-11,22
2012-12,16
2013-01,12
2013-02,11
2013-03,12
2013-04,11
2013-05,11
2013-06,9
2013-07,14
2013-08,11
2013-09,14
2013-10,15
2013-11,12
2013-12,11
2014-01,11
2014-02,11
2014-03,12
2014-04,45
2014-05,22
2014-06,16
2014-07,15
2014-08,14
2014-09,16
2014-10,15
2014-11,14
2014-12,13
2015-01,11
2015-02,11
2015-03,11
2015-04,10
2015-05,10
2015-06,14
2015-07,12
2015-08,13
2015-09,20
2015-10,23
2015-11,18
2015-12,14
2016-01,14
2016-02,14
2016-03,13
2016-04,13
2016-05,12
2016-06,11
2016-07,9
2016-08,8
2016-09,10
2016-10,11
2016-11,10
2016-12,8
2017-01,10
2017-02,9
2017-03,9
2017-04,8
2017-05,7
2017-06,9
2017-07,7
2017-08,7
2017-09,8
2017-10,9
2017-11,8
2017-12,8
2018-01,7
2018-02,7
2018-03,7
2018-04,7
2018-05,9
2018-06,10
2018-07,7
2018-08,8
2018-09,8
2018-10,8
2018-11,8
2018-12,8
2019-01,8
2019-02,8
2019-03,9
2019-04,8
2019-05,10
2019-06,10
2019-07,9
2019-08,9
2019-09,9
2019-10,10
2019-11,9
2019-12,9
2020-01,9
2020-02,8
2020-03,7
2020-04,7
2020-05,10
2020-06,8
2020-07,7
2020-08,7
2020-09,8
2020-10,10
2020-11,12
2020-12,18
2021-01,14
2021-02,15
2021-03,15
2021-04,9
2021-05,11
2021-06,29
2021-07,7
2021-08,7
2021-09,6
2021-10,8
2021-11,8
2021-12,8
2022-01,8
2022-02,8
2022-03,9
2022-04,11
2022-05,10
2022-06,9
2022-07,9
2022-08,9
2022-09,9
2022-10,9
2022-11,8
2022-12,8
2023-01,8
2023-02,7
2023-03,8
