类别：所有类别

月份,电: (印度尼西亚)
2004-01,34
2004-02,17
2004-03,40
2004-04,35
2004-05,37
2004-06,30
2004-07,16
2004-08,35
2004-09,28
2004-10,37
2004-11,32
2004-12,39
2005-01,31
2005-02,26
2005-03,32
2005-04,36
2005-05,46
2005-06,39
2005-07,33
2005-08,42
2005-09,45
2005-10,37
2005-11,30
2005-12,38
2006-01,31
2006-02,43
2006-03,42
2006-04,44
2006-05,41
2006-06,33
2006-07,30
2006-08,31
2006-09,36
2006-10,33
2006-11,30
2006-12,35
2007-01,34
2007-02,33
2007-03,30
2007-04,32
2007-05,34
2007-06,30
2007-07,33
2007-08,32
2007-09,33
2007-10,32
2007-11,36
2007-12,34
2008-01,32
2008-02,34
2008-03,36
2008-04,34
2008-05,39
2008-06,35
2008-07,40
2008-08,32
2008-09,30
2008-10,30
2008-11,32
2008-12,28
2009-01,29
2009-02,30
2009-03,33
2009-04,29
2009-05,28
2009-06,29
2009-07,27
2009-08,28
2009-09,28
2009-10,34
2009-11,34
2009-12,27
2010-01,27
2010-02,28
2010-03,31
2010-04,26
2010-05,28
2010-06,24
2010-07,26
2010-08,26
2010-09,22
2010-10,28
2010-11,25
2010-12,23
2011-01,23
2011-02,22
2011-03,24
2011-04,22
2011-05,21
2011-06,21
2011-07,18
2011-08,18
2011-09,21
2011-10,22
2011-11,21
2011-12,19
2012-01,21
2012-02,21
2012-03,21
2012-04,21
2012-05,20
2012-06,19
2012-07,22
2012-08,19
2012-09,25
2012-10,24
2012-11,24
2012-12,20
2013-01,26
2013-02,22
2013-03,23
2013-04,23
2013-05,22
2013-06,21
2013-07,20
2013-08,20
2013-09,26
2013-10,26
2013-11,25
2013-12,22
2014-01,24
2014-02,21
2014-03,24
2014-04,23
2014-05,25
2014-06,22
2014-07,18
2014-08,24
2014-09,31
2014-10,32
2014-11,33
2014-12,27
2015-01,31
2015-02,30
2015-03,29
2015-04,26
2015-05,24
2015-06,24
2015-07,21
2015-08,27
2015-09,30
2015-10,34
2015-11,36
2015-12,30
2016-01,32
2016-02,31
2016-03,30
2016-04,26
2016-05,26
2016-06,21
2016-07,21
2016-08,26
2016-09,30
2016-10,31
2016-11,34
2016-12,27
2017-01,31
2017-02,31
2017-03,30
2017-04,28
2017-05,31
2017-06,26
2017-07,28
2017-08,30
2017-09,31
2017-10,35
2017-11,40
2017-12,29
2018-01,31
2018-02,33
2018-03,32
2018-04,32
2018-05,29
2018-06,22
2018-07,29
2018-08,31
2018-09,41
2018-10,41
2018-11,45
2018-12,35
2019-01,37
2019-02,39
2019-03,36
2019-04,34
2019-05,32
2019-06,30
2019-07,33
2019-08,56
2019-09,46
2019-10,47
2019-11,48
2019-12,38
2020-01,40
2020-02,44
2020-03,43
2020-04,100
2020-05,55
2020-06,57
2020-07,42
2020-08,51
2020-09,74
2020-10,73
2020-11,69
2020-12,68
2021-01,48
2021-02,58
2021-03,65
2021-04,48
2021-05,37
2021-06,43
2021-07,30
2021-08,43
2021-09,60
2021-10,57
2021-11,53
2021-12,46
2022-01,41
2022-02,56
2022-03,55
2022-04,37
2022-05,36
2022-06,37
2022-07,36
2022-08,43
2022-09,61
2022-10,60
2022-11,59
2022-12,46
2023-01,43
2023-02,45
2023-03,48
