类别：所有类别

月份,汽油: (印度尼西亚)
2004-01,19
2004-02,29
2004-03,0
2004-04,44
2004-05,38
2004-06,54
2004-07,29
2004-08,55
2004-09,25
2004-10,21
2004-11,26
2004-12,41
2005-01,32
2005-02,35
2005-03,30
2005-04,61
2005-05,33
2005-06,12
2005-07,40
2005-08,22
2005-09,45
2005-10,47
2005-11,40
2005-12,16
2006-01,17
2006-02,57
2006-03,30
2006-04,45
2006-05,62
2006-06,36
2006-07,37
2006-08,46
2006-09,20
2006-10,30
2006-11,19
2006-12,19
2007-01,11
2007-02,27
2007-03,31
2007-04,24
2007-05,31
2007-06,36
2007-07,22
2007-08,38
2007-09,22
2007-10,25
2007-11,27
2007-12,32
2008-01,28
2008-02,33
2008-03,32
2008-04,41
2008-05,68
2008-06,42
2008-07,35
2008-08,33
2008-09,31
2008-10,31
2008-11,28
2008-12,25
2009-01,28
2009-02,27
2009-03,23
2009-04,27
2009-05,29
2009-06,28
2009-07,20
2009-08,21
2009-09,20
2009-10,22
2009-11,24
2009-12,26
2010-01,21
2010-02,24
2010-03,18
2010-04,21
2010-05,26
2010-06,20
2010-07,23
2010-08,27
2010-09,20
2010-10,24
2010-11,14
2010-12,19
2011-01,20
2011-02,19
2011-03,21
2011-04,20
2011-05,22
2011-06,20
2011-07,18
2011-08,17
2011-09,19
2011-10,18
2011-11,18
2011-12,20
2012-01,22
2012-02,21
2012-03,29
2012-04,26
2012-05,27
2012-06,21
2012-07,20
2012-08,21
2012-09,22
2012-10,23
2012-11,23
2012-12,21
2013-01,21
2013-02,21
2013-03,22
2013-04,24
2013-05,27
2013-06,32
2013-07,26
2013-08,23
2013-09,25
2013-10,25
2013-11,27
2013-12,25
2014-01,25
2014-02,26
2014-03,26
2014-04,24
2014-05,27
2014-06,25
2014-07,25
2014-08,40
2014-09,35
2014-10,29
2014-11,42
2014-12,38
2015-01,37
2015-02,29
2015-03,32
2015-04,30
2015-05,29
2015-06,30
2015-07,31
2015-08,31
2015-09,31
2015-10,29
2015-11,33
2015-12,37
2016-01,34
2016-02,33
2016-03,35
2016-04,34
2016-05,31
2016-06,29
2016-07,34
2016-08,31
2016-09,33
2016-10,30
2016-11,31
2016-12,30
2017-01,30
2017-02,32
2017-03,30
2017-04,30
2017-05,30
2017-06,34
2017-07,32
2017-08,32
2017-09,32
2017-10,32
2017-11,32
2017-12,33
2018-01,33
2018-02,34
2018-03,39
2018-04,33
2018-05,34
2018-06,36
2018-07,34
2018-08,38
2018-09,50
2018-10,47
2018-11,48
2018-12,57
2019-01,52
2019-02,50
2019-03,51
2019-04,46
2019-05,47
2019-06,54
2019-07,50
2019-08,53
2019-09,51
2019-10,49
2019-11,53
2019-12,50
2020-01,58
2020-02,52
2020-03,47
2020-04,50
2020-05,41
2020-06,50
2020-07,45
2020-08,47
2020-09,50
2020-10,47
2020-11,50
2020-12,52
2021-01,53
2021-02,56
2021-03,59
2021-04,47
2021-05,49
2021-06,50
2021-07,40
2021-08,45
2021-09,51
2021-10,49
2021-11,50
2021-12,51
2022-01,54
2022-02,52
2022-03,61
2022-04,69
2022-05,61
2022-06,58
2022-07,59
2022-08,68
2022-09,100
2022-10,59
2022-11,60
2022-12,59
2023-01,60
2023-02,58
2023-03,63
