类别：所有类别

月份,摩托车: (印度尼西亚)
2004-01,50
2004-02,45
2004-03,42
2004-04,40
2004-05,41
2004-06,52
2004-07,46
2004-08,47
2004-09,42
2004-10,41
2004-11,40
2004-12,39
2005-01,37
2005-02,43
2005-03,42
2005-04,48
2005-05,51
2005-06,55
2005-07,57
2005-08,48
2005-09,48
2005-10,64
2005-11,46
2005-12,49
2006-01,54
2006-02,51
2006-03,45
2006-04,41
2006-05,48
2006-06,48
2006-07,44
2006-08,43
2006-09,47
2006-10,45
2006-11,46
2006-12,44
2007-01,41
2007-02,44
2007-03,44
2007-04,44
2007-05,48
2007-06,48
2007-07,48
2007-08,42
2007-09,47
2007-10,44
2007-11,51
2007-12,45
2008-01,43
2008-02,45
2008-03,48
2008-04,52
2008-05,48
2008-06,53
2008-07,53
2008-08,51
2008-09,51
2008-10,52
2008-11,50
2008-12,51
2009-01,51
2009-02,52
2009-03,54
2009-04,56
2009-05,50
2009-06,49
2009-07,51
2009-08,54
2009-09,51
2009-10,51
2009-11,51
2009-12,54
2010-01,54
2010-02,53
2010-03,52
2010-04,53
2010-05,52
2010-06,50
2010-07,56
2010-08,62
2010-09,53
2010-10,50
2010-11,50
2010-12,45
2011-01,44
2011-02,42
2011-03,43
2011-04,41
2011-05,40
2011-06,41
2011-07,43
2011-08,47
2011-09,46
2011-10,43
2011-11,46
2011-12,45
2012-01,48
2012-02,48
2012-03,49
2012-04,51
2012-05,48
2012-06,47
2012-07,50
2012-08,54
2012-09,57
2012-10,52
2012-11,51
2012-12,49
2013-01,53
2013-02,54
2013-03,50
2013-04,56
2013-05,59
2013-06,56
2013-07,62
2013-08,56
2013-09,56
2013-10,57
2013-11,58
2013-12,56
2014-01,60
2014-02,63
2014-03,61
2014-04,62
2014-05,61
2014-06,61
2014-07,63
2014-08,66
2014-09,66
2014-10,62
2014-11,63
2014-12,69
2015-01,65
2015-02,70
2015-03,62
2015-04,61
2015-05,61
2015-06,62
2015-07,72
2015-08,73
2015-09,73
2015-10,70
2015-11,72
2015-12,76
2016-01,84
2016-02,80
2016-03,81
2016-04,77
2016-05,81
2016-06,82
2016-07,79
2016-08,78
2016-09,79
2016-10,74
2016-11,75
2016-12,95
2017-01,100
2017-02,95
2017-03,93
2017-04,88
2017-05,96
2017-06,97
2017-07,99
2017-08,90
2017-09,88
2017-10,88
2017-11,88
2017-12,90
2018-01,90
2018-02,88
2018-03,86
2018-04,82
2018-05,80
2018-06,81
2018-07,87
2018-08,87
2018-09,89
2018-10,82
2018-11,91
2018-12,90
2019-01,91
2019-02,68
2019-03,65
2019-04,80
2019-05,91
2019-06,92
2019-07,98
2019-08,85
2019-09,88
2019-10,82
2019-11,84
2019-12,82
2020-01,91
2020-02,94
2020-03,78
2020-04,69
2020-05,79
2020-06,86
2020-07,84
2020-08,79
2020-09,74
2020-10,74
2020-11,76
2020-12,81
2021-01,73
2021-02,71
2021-03,71
2021-04,73
2021-05,74
2021-06,70
2021-07,61
2021-08,66
2021-09,71
2021-10,71
2021-11,68
2021-12,71
2022-01,74
2022-02,71
2022-03,73
2022-04,76
2022-05,80
2022-06,85
2022-07,80
2022-08,75
2022-09,78
2022-10,75
2022-11,64
2022-12,75
2023-01,79
2023-02,76
2023-03,75
