类别：所有类别

月份,石油: (印度尼西亚)
2004-01,53
2004-02,58
2004-03,45
2004-04,72
2004-05,49
2004-06,62
2004-07,60
2004-08,65
2004-09,45
2004-10,79
2004-11,82
2004-12,45
2005-01,55
2005-02,95
2005-03,70
2005-04,77
2005-05,96
2005-06,78
2005-07,55
2005-08,68
2005-09,65
2005-10,90
2005-11,64
2005-12,63
2006-01,61
2006-02,66
2006-03,56
2006-04,70
2006-05,100
2006-06,56
2006-07,47
2006-08,55
2006-09,53
2006-10,44
2006-11,45
2006-12,39
2007-01,37
2007-02,46
2007-03,44
2007-04,59
2007-05,78
2007-06,54
2007-07,36
2007-08,37
2007-09,37
2007-10,38
2007-11,40
2007-12,39
2008-01,42
2008-02,38
2008-03,41
2008-04,50
2008-05,90
2008-06,50
2008-07,38
2008-08,33
2008-09,30
2008-10,30
2008-11,34
2008-12,29
2009-01,30
2009-02,25
2009-03,25
2009-04,37
2009-05,43
2009-06,31
2009-07,17
2009-08,16
2009-09,18
2009-10,20
2009-11,17
2009-12,14
2010-01,15
2010-02,16
2010-03,19
2010-04,22
2010-05,34
2010-06,21
2010-07,12
2010-08,12
2010-09,13
2010-10,15
2010-11,15
2010-12,13
2011-01,11
2011-02,11
2011-03,13
2011-04,15
2011-05,22
2011-06,12
2011-07,9
2011-08,10
2011-09,8
2011-10,9
2011-11,9
2011-12,8
2012-01,8
2012-02,10
2012-03,22
2012-04,17
2012-05,20
2012-06,11
2012-07,8
2012-08,7
2012-09,9
2012-10,9
2012-11,9
2012-12,7
2013-01,8
2013-02,9
2013-03,9
2013-04,13
2013-05,17
2013-06,23
2013-07,8
2013-08,6
2013-09,8
2013-10,8
2013-11,8
2013-12,6
2014-01,7
2014-02,7
2014-03,7
2014-04,8
2014-05,10
2014-06,8
2014-07,5
2014-08,15
2014-09,17
2014-10,14
2014-11,39
2014-12,12
2015-01,14
2015-02,10
2015-03,13
2015-04,9
2015-05,12
2015-06,7
2015-07,6
2015-08,14
2015-09,12
2015-10,9
2015-11,9
2015-12,9
2016-01,10
2016-02,10
2016-03,9
2016-04,8
2016-05,10
2016-06,6
2016-07,6
2016-08,12
2016-09,10
2016-10,8
2016-11,7
2016-12,7
2017-01,8
2017-02,7
2017-03,7
2017-04,6
2017-05,8
2017-06,5
2017-07,6
2017-08,12
2017-09,12
2017-10,9
2017-11,8
2017-12,7
2018-01,7
2018-02,7
2018-03,8
2018-04,7
2018-05,7
2018-06,3
2018-07,6
2018-08,12
2018-09,16
2018-10,10
2018-11,9
2018-12,7
2019-01,8
2019-02,8
2019-03,8
2019-04,7
2019-05,7
2019-06,4
2019-07,5
2019-08,16
2019-09,15
2019-10,9
2019-11,8
2019-12,7
2020-01,8
2020-02,7
2020-03,12
2020-04,15
2020-05,9
2020-06,11
2020-07,5
2020-08,18
2020-09,24
2020-10,12
2020-11,10
2020-12,14
2021-01,8
2021-02,11
2021-03,13
2021-04,10
2021-05,7
2021-06,9
2021-07,4
2021-08,16
2021-09,18
2021-10,8
2021-11,9
2021-12,9
2022-01,9
2022-02,13
2022-03,15
2022-04,9
2022-05,8
2022-06,6
2022-07,5
2022-08,18
2022-09,32
2022-10,10
2022-11,10
2022-12,7
2023-01,9
2023-02,9
2023-03,9
