类别：所有类别

月份,价格: (肯尼亚)
2004-01,24
2004-02,35
2004-03,13
2004-04,28
2004-05,26
2004-06,26
2004-07,31
2004-08,24
2004-09,18
2004-10,22
2004-11,10
2004-12,33
2005-01,10
2005-02,21
2005-03,25
2005-04,15
2005-05,26
2005-06,21
2005-07,26
2005-08,22
2005-09,25
2005-10,17
2005-11,31
2005-12,15
2006-01,16
2006-02,15
2006-03,17
2006-04,20
2006-05,23
2006-06,19
2006-07,24
2006-08,22
2006-09,14
2006-10,18
2006-11,18
2006-12,13
2007-01,20
2007-02,15
2007-03,24
2007-04,21
2007-05,27
2007-06,15
2007-07,23
2007-08,20
2007-09,25
2007-10,20
2007-11,16
2007-12,17
2008-01,18
2008-02,20
2008-03,21
2008-04,26
2008-05,19
2008-06,29
2008-07,23
2008-08,23
2008-09,20
2008-10,21
2008-11,19
2008-12,23
2009-01,21
2009-02,17
2009-03,20
2009-04,20
2009-05,19
2009-06,22
2009-07,25
2009-08,18
2009-09,24
2009-10,22
2009-11,21
2009-12,25
2010-01,21
2010-02,22
2010-03,24
2010-04,22
2010-05,24
2010-06,26
2010-07,23
2010-08,22
2010-09,22
2010-10,24
2010-11,23
2010-12,22
2011-01,24
2011-02,23
2011-03,25
2011-04,26
2011-05,23
2011-06,26
2011-07,25
2011-08,24
2011-09,23
2011-10,24
2011-11,26
2011-12,23
2012-01,23
2012-02,20
2012-03,24
2012-04,25
2012-05,25
2012-06,24
2012-07,25
2012-08,25
2012-09,26
2012-10,27
2012-11,27
2012-12,27
2013-01,25
2013-02,25
2013-03,24
2013-04,25
2013-05,28
2013-06,29
2013-07,29
2013-08,31
2013-09,28
2013-10,30
2013-11,33
2013-12,32
2014-01,31
2014-02,31
2014-03,31
2014-04,29
2014-05,30
2014-06,29
2014-07,31
2014-08,30
2014-09,33
2014-10,34
2014-11,34
2014-12,34
2015-01,34
2015-02,34
2015-03,33
2015-04,31
2015-05,33
2015-06,31
2015-07,36
2015-08,35
2015-09,33
2015-10,34
2015-11,34
2015-12,32
2016-01,25
2016-02,25
2016-03,24
2016-04,24
2016-05,25
2016-06,26
2016-07,26
2016-08,26
2016-09,26
2016-10,25
2016-11,25
2016-12,26
2017-01,23
2017-02,24
2017-03,27
2017-04,27
2017-05,26
2017-06,24
2017-07,27
2017-08,27
2017-09,28
2017-10,27
2017-11,30
2017-12,29
2018-01,31
2018-02,28
2018-03,31
2018-04,29
2018-05,35
2018-06,32
2018-07,36
2018-08,35
2018-09,35
2018-10,36
2018-11,38
2018-12,35
2019-01,36
2019-02,38
2019-03,38
2019-04,34
2019-05,40
2019-06,48
2019-07,49
2019-08,46
2019-09,52
2019-10,49
2019-11,48
2019-12,49
2020-01,52
2020-02,52
2020-03,54
2020-04,65
2020-05,72
2020-06,72
2020-07,71
2020-08,73
2020-09,72
2020-10,62
2020-11,63
2020-12,67
2021-01,68
2021-02,74
2021-03,68
2021-04,70
2021-05,71
2021-06,77
2021-07,78
2021-08,74
2021-09,71
2021-10,68
2021-11,74
2021-12,69
2022-01,84
2022-02,88
2022-03,89
2022-04,85
2022-05,92
2022-06,100
2022-07,93
2022-08,80
2022-09,87
2022-10,86
2022-11,82
2022-12,88
2023-01,84
2023-02,85
2023-03,77
