类别：所有类别

月份,汽车: (肯尼亚)
2004-01,64
2004-02,65
2004-03,68
2004-04,100
2004-05,79
2004-06,61
2004-07,99
2004-08,91
2004-09,72
2004-10,81
2004-11,66
2004-12,60
2005-01,91
2005-02,89
2005-03,63
2005-04,73
2005-05,63
2005-06,76
2005-07,67
2005-08,70
2005-09,65
2005-10,68
2005-11,71
2005-12,86
2006-01,76
2006-02,70
2006-03,73
2006-04,63
2006-05,65
2006-06,74
2006-07,59
2006-08,70
2006-09,55
2006-10,47
2006-11,66
2006-12,57
2007-01,59
2007-02,55
2007-03,58
2007-04,69
2007-05,62
2007-06,65
2007-07,56
2007-08,63
2007-09,63
2007-10,60
2007-11,60
2007-12,53
2008-01,60
2008-02,64
2008-03,58
2008-04,54
2008-05,61
2008-06,60
2008-07,64
2008-08,61
2008-09,59
2008-10,59
2008-11,54
2008-12,66
2009-01,64
2009-02,59
2009-03,59
2009-04,70
2009-05,58
2009-06,55
2009-07,63
2009-08,66
2009-09,68
2009-10,63
2009-11,62
2009-12,65
2010-01,57
2010-02,56
2010-03,54
2010-04,63
2010-05,61
2010-06,52
2010-07,51
2010-08,56
2010-09,49
2010-10,50
2010-11,50
2010-12,51
2011-01,49
2011-02,48
2011-03,47
2011-04,45
2011-05,45
2011-06,46
2011-07,43
2011-08,46
2011-09,42
2011-10,36
2011-11,43
2011-12,42
2012-01,40
2012-02,38
2012-03,36
2012-04,40
2012-05,35
2012-06,38
2012-07,36
2012-08,40
2012-09,40
2012-10,33
2012-11,35
2012-12,35
2013-01,39
2013-02,34
2013-03,34
2013-04,42
2013-05,37
2013-06,42
2013-07,40
2013-08,42
2013-09,35
2013-10,37
2013-11,39
2013-12,38
2014-01,40
2014-02,36
2014-03,35
2014-04,39
2014-05,38
2014-06,38
2014-07,36
2014-08,42
2014-09,37
2014-10,37
2014-11,40
2014-12,41
2015-01,44
2015-02,37
2015-03,38
2015-04,40
2015-05,41
2015-06,39
2015-07,41
2015-08,38
2015-09,37
2015-10,34
2015-11,36
2015-12,35
2016-01,30
2016-02,25
2016-03,27
2016-04,31
2016-05,29
2016-06,27
2016-07,30
2016-08,29
2016-09,29
2016-10,27
2016-11,27
2016-12,27
2017-01,26
2017-02,26
2017-03,27
2017-04,25
2017-05,28
2017-06,28
2017-07,28
2017-08,27
2017-09,25
2017-10,26
2017-11,31
2017-12,27
2018-01,26
2018-02,26
2018-03,27
2018-04,28
2018-05,30
2018-06,27
2018-07,28
2018-08,29
2018-09,25
2018-10,26
2018-11,27
2018-12,28
2019-01,28
2019-02,28
2019-03,27
2019-04,25
2019-05,31
2019-06,31
2019-07,32
2019-08,34
2019-09,34
2019-10,38
2019-11,32
2019-12,33
2020-01,33
2020-02,32
2020-03,32
2020-04,36
2020-05,38
2020-06,36
2020-07,36
2020-08,37
2020-09,36
2020-10,33
2020-11,33
2020-12,34
2021-01,33
2021-02,33
2021-03,32
2021-04,36
2021-05,32
2021-06,40
2021-07,39
2021-08,30
2021-09,29
2021-10,29
2021-11,30
2021-12,33
2022-01,38
2022-02,38
2022-03,39
2022-04,38
2022-05,37
2022-06,40
2022-07,43
2022-08,33
2022-09,36
2022-10,34
2022-11,33
2022-12,36
2023-01,36
2023-02,32
2023-03,30
