类别：所有类别

月份,电: (肯尼亚)
2004-01,27
2004-02,39
2004-03,0
2004-04,68
2004-05,47
2004-06,33
2004-07,100
2004-08,0
2004-09,0
2004-10,39
2004-11,38
2004-12,60
2005-01,37
2005-02,0
2005-03,0
2005-04,19
2005-05,60
2005-06,31
2005-07,34
2005-08,0
2005-09,0
2005-10,20
2005-11,21
2005-12,31
2006-01,22
2006-02,54
2006-03,0
2006-04,19
2006-05,41
2006-06,26
2006-07,25
2006-08,13
2006-09,0
2006-10,17
2006-11,12
2006-12,0
2007-01,39
2007-02,0
2007-03,27
2007-04,15
2007-05,16
2007-06,10
2007-07,18
2007-08,8
2007-09,20
2007-10,17
2007-11,22
2007-12,15
2008-01,20
2008-02,9
2008-03,19
2008-04,6
2008-05,18
2008-06,21
2008-07,20
2008-08,14
2008-09,27
2008-10,21
2008-11,18
2008-12,17
2009-01,19
2009-02,25
2009-03,17
2009-04,18
2009-05,25
2009-06,19
2009-07,19
2009-08,26
2009-09,17
2009-10,25
2009-11,20
2009-12,13
2010-01,19
2010-02,18
2010-03,16
2010-04,21
2010-05,24
2010-06,23
2010-07,13
2010-08,18
2010-09,15
2010-10,14
2010-11,22
2010-12,10
2011-01,15
2011-02,17
2011-03,21
2011-04,13
2011-05,17
2011-06,15
2011-07,17
2011-08,16
2011-09,18
2011-10,16
2011-11,17
2011-12,14
2012-01,14
2012-02,14
2012-03,18
2012-04,14
2012-05,18
2012-06,15
2012-07,14
2012-08,13
2012-09,15
2012-10,16
2012-11,17
2012-12,11
2013-01,15
2013-02,17
2013-03,14
2013-04,16
2013-05,17
2013-06,17
2013-07,16
2013-08,16
2013-09,16
2013-10,14
2013-11,17
2013-12,14
2014-01,15
2014-02,18
2014-03,17
2014-04,16
2014-05,17
2014-06,15
2014-07,16
2014-08,13
2014-09,16
2014-10,17
2014-11,17
2014-12,12
2015-01,16
2015-02,21
2015-03,18
2015-04,15
2015-05,17
2015-06,18
2015-07,15
2015-08,15
2015-09,16
2015-10,14
2015-11,14
2015-12,12
2016-01,13
2016-02,13
2016-03,13
2016-04,13
2016-05,13
2016-06,13
2016-07,12
2016-08,12
2016-09,13
2016-10,12
2016-11,12
2016-12,9
2017-01,12
2017-02,12
2017-03,12
2017-04,10
2017-05,12
2017-06,13
2017-07,12
2017-08,9
2017-09,10
2017-10,10
2017-11,9
2017-12,8
2018-01,13
2018-02,13
2018-03,10
2018-04,9
2018-05,12
2018-06,12
2018-07,12
2018-08,11
2018-09,13
2018-10,12
2018-11,11
2018-12,9
2019-01,13
2019-02,14
2019-03,12
2019-04,10
2019-05,13
2019-06,13
2019-07,14
2019-08,11
2019-09,15
2019-10,15
2019-11,13
2019-12,11
2020-01,15
2020-02,16
2020-03,12
2020-04,12
2020-05,15
2020-06,13
2020-07,11
2020-08,11
2020-09,11
2020-10,11
2020-11,14
2020-12,11
2021-01,15
2021-02,17
2021-03,15
2021-04,12
2021-05,15
2021-06,19
2021-07,16
2021-08,14
2021-09,16
2021-10,16
2021-11,16
2021-12,14
2022-01,17
2022-02,19
2022-03,18
2022-04,16
2022-05,20
2022-06,22
2022-07,19
2022-08,13
2022-09,18
2022-10,20
2022-11,17
2022-12,13
2023-01,18
2023-02,19
2023-03,23
