类别：所有类别

月份,汽油: (肯尼亚)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,45
2005-01,0
2005-02,0
2005-03,0
2005-04,26
2005-05,0
2005-06,0
2005-07,100
2005-08,47
2005-09,0
2005-10,0
2005-11,47
2005-12,0
2006-01,0
2006-02,19
2006-03,22
2006-04,0
2006-05,29
2006-06,18
2006-07,0
2006-08,0
2006-09,33
2006-10,21
2006-11,40
2006-12,41
2007-01,44
2007-02,0
2007-03,16
2007-04,0
2007-05,17
2007-06,15
2007-07,12
2007-08,0
2007-09,12
2007-10,7
2007-11,14
2007-12,13
2008-01,9
2008-02,0
2008-03,17
2008-04,15
2008-05,10
2008-06,13
2008-07,20
2008-08,0
2008-09,12
2008-10,20
2008-11,32
2008-12,18
2009-01,0
2009-02,13
2009-03,10
2009-04,11
2009-05,13
2009-06,18
2009-07,14
2009-08,9
2009-09,7
2009-10,6
2009-11,7
2009-12,21
2010-01,16
2010-02,9
2010-03,6
2010-04,12
2010-05,20
2010-06,8
2010-07,8
2010-08,17
2010-09,10
2010-10,10
2010-11,9
2010-12,10
2011-01,12
2011-02,17
2011-03,10
2011-04,16
2011-05,12
2011-06,15
2011-07,18
2011-08,16
2011-09,17
2011-10,14
2011-11,17
2011-12,15
2012-01,15
2012-02,14
2012-03,15
2012-04,12
2012-05,11
2012-06,10
2012-07,13
2012-08,12
2012-09,13
2012-10,13
2012-11,11
2012-12,8
2013-01,9
2013-02,9
2013-03,10
2013-04,12
2013-05,15
2013-06,9
2013-07,9
2013-08,12
2013-09,11
2013-10,11
2013-11,12
2013-12,11
2014-01,13
2014-02,12
2014-03,12
2014-04,8
2014-05,15
2014-06,11
2014-07,13
2014-08,11
2014-09,14
2014-10,12
2014-11,13
2014-12,13
2015-01,15
2015-02,14
2015-03,11
2015-04,11
2015-05,12
2015-06,13
2015-07,12
2015-08,11
2015-09,10
2015-10,10
2015-11,10
2015-12,12
2016-01,9
2016-02,7
2016-03,8
2016-04,8
2016-05,9
2016-06,9
2016-07,9
2016-08,8
2016-09,11
2016-10,9
2016-11,9
2016-12,9
2017-01,8
2017-02,9
2017-03,8
2017-04,7
2017-05,9
2017-06,9
2017-07,9
2017-08,8
2017-09,7
2017-10,9
2017-11,7
2017-12,7
2018-01,11
2018-02,9
2018-03,9
2018-04,11
2018-05,10
2018-06,9
2018-07,10
2018-08,10
2018-09,15
2018-10,11
2018-11,10
2018-12,10
2019-01,11
2019-02,12
2019-03,9
2019-04,9
2019-05,11
2019-06,12
2019-07,14
2019-08,16
2019-09,15
2019-10,13
2019-11,14
2019-12,13
2020-01,13
2020-02,14
2020-03,15
2020-04,18
2020-05,17
2020-06,17
2020-07,17
2020-08,17
2020-09,15
2020-10,14
2020-11,14
2020-12,15
2021-01,16
2021-02,17
2021-03,17
2021-04,18
2021-05,16
2021-06,18
2021-07,19
2021-08,16
2021-09,20
2021-10,17
2021-11,16
2021-12,15
2022-01,21
2022-02,22
2022-03,26
2022-04,37
2022-05,23
2022-06,27
2022-07,25
2022-08,18
2022-09,24
2022-10,22
2022-11,20
2022-12,21
2023-01,20
2023-02,20
2023-03,21
