类别：所有类别

月份,摩托车: (肯尼亚)
2004-01,0
2004-02,55
2004-03,100
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,73
2004-10,0
2004-11,0
2004-12,0
2005-01,55
2005-02,0
2005-03,58
2005-04,0
2005-05,0
2005-06,0
2005-07,47
2005-08,74
2005-09,73
2005-10,24
2005-11,36
2005-12,0
2006-01,0
2006-02,34
2006-03,33
2006-04,42
2006-05,62
2006-06,0
2006-07,16
2006-08,19
2006-09,15
2006-10,24
2006-11,20
2006-12,0
2007-01,32
2007-02,0
2007-03,18
2007-04,31
2007-05,29
2007-06,33
2007-07,29
2007-08,31
2007-09,19
2007-10,32
2007-11,0
2007-12,24
2008-01,48
2008-02,30
2008-03,37
2008-04,44
2008-05,52
2008-06,44
2008-07,24
2008-08,32
2008-09,20
2008-10,43
2008-11,30
2008-12,26
2009-01,25
2009-02,51
2009-03,34
2009-04,30
2009-05,39
2009-06,35
2009-07,14
2009-08,29
2009-09,32
2009-10,34
2009-11,28
2009-12,33
2010-01,31
2010-02,30
2010-03,43
2010-04,34
2010-05,49
2010-06,30
2010-07,25
2010-08,38
2010-09,31
2010-10,24
2010-11,27
2010-12,24
2011-01,29
2011-02,36
2011-03,25
2011-04,22
2011-05,34
2011-06,36
2011-07,34
2011-08,35
2011-09,21
2011-10,23
2011-11,26
2011-12,29
2012-01,28
2012-02,28
2012-03,25
2012-04,28
2012-05,25
2012-06,21
2012-07,25
2012-08,22
2012-09,23
2012-10,21
2012-11,24
2012-12,20
2013-01,22
2013-02,30
2013-03,22
2013-04,28
2013-05,26
2013-06,23
2013-07,29
2013-08,29
2013-09,27
2013-10,28
2013-11,30
2013-12,24
2014-01,28
2014-02,29
2014-03,28
2014-04,26
2014-05,25
2014-06,28
2014-07,29
2014-08,28
2014-09,30
2014-10,29
2014-11,29
2014-12,28
2015-01,29
2015-02,30
2015-03,31
2015-04,30
2015-05,27
2015-06,28
2015-07,29
2015-08,28
2015-09,27
2015-10,27
2015-11,24
2015-12,27
2016-01,23
2016-02,20
2016-03,20
2016-04,21
2016-05,21
2016-06,23
2016-07,23
2016-08,20
2016-09,21
2016-10,21
2016-11,20
2016-12,21
2017-01,19
2017-02,19
2017-03,21
2017-04,18
2017-05,21
2017-06,21
2017-07,20
2017-08,21
2017-09,19
2017-10,18
2017-11,20
2017-12,19
2018-01,18
2018-02,21
2018-03,22
2018-04,21
2018-05,21
2018-06,22
2018-07,22
2018-08,21
2018-09,23
2018-10,23
2018-11,23
2018-12,23
2019-01,23
2019-02,28
2019-03,25
2019-04,21
2019-05,27
2019-06,26
2019-07,29
2019-08,31
2019-09,30
2019-10,26
2019-11,28
2019-12,28
2020-01,30
2020-02,32
2020-03,32
2020-04,38
2020-05,43
2020-06,41
2020-07,39
2020-08,41
2020-09,37
2020-10,36
2020-11,35
2020-12,30
2021-01,36
2021-02,38
2021-03,37
2021-04,38
2021-05,35
2021-06,40
2021-07,38
2021-08,30
2021-09,31
2021-10,30
2021-11,34
2021-12,31
2022-01,42
2022-02,38
2022-03,41
2022-04,36
2022-05,37
2022-06,38
2022-07,37
2022-08,33
2022-09,36
2022-10,32
2022-11,29
2022-12,33
2023-01,33
2023-02,34
2023-03,32
