类别：所有类别

月份,石油: (肯尼亚)
2004-01,61
2004-02,0
2004-03,0
2004-04,34
2004-05,100
2004-06,25
2004-07,32
2004-08,22
2004-09,29
2004-10,39
2004-11,25
2004-12,0
2005-01,44
2005-02,48
2005-03,35
2005-04,45
2005-05,32
2005-06,54
2005-07,31
2005-08,22
2005-09,13
2005-10,10
2005-11,63
2005-12,41
2006-01,35
2006-02,24
2006-03,37
2006-04,16
2006-05,24
2006-06,9
2006-07,33
2006-08,22
2006-09,23
2006-10,27
2006-11,16
2006-12,23
2007-01,21
2007-02,18
2007-03,24
2007-04,13
2007-05,26
2007-06,17
2007-07,22
2007-08,28
2007-09,25
2007-10,32
2007-11,33
2007-12,23
2008-01,19
2008-02,27
2008-03,27
2008-04,27
2008-05,21
2008-06,25
2008-07,29
2008-08,28
2008-09,33
2008-10,34
2008-11,32
2008-12,26
2009-01,28
2009-02,19
2009-03,20
2009-04,30
2009-05,21
2009-06,20
2009-07,23
2009-08,17
2009-09,19
2009-10,19
2009-11,23
2009-12,19
2010-01,29
2010-02,22
2010-03,22
2010-04,17
2010-05,24
2010-06,21
2010-07,16
2010-08,14
2010-09,12
2010-10,15
2010-11,15
2010-12,8
2011-01,12
2011-02,11
2011-03,15
2011-04,15
2011-05,12
2011-06,12
2011-07,14
2011-08,10
2011-09,9
2011-10,11
2011-11,13
2011-12,8
2012-01,9
2012-02,14
2012-03,33
2012-04,20
2012-05,19
2012-06,11
2012-07,14
2012-08,12
2012-09,11
2012-10,12
2012-11,13
2012-12,10
2013-01,11
2013-02,13
2013-03,9
2013-04,14
2013-05,13
2013-06,14
2013-07,14
2013-08,13
2013-09,11
2013-10,13
2013-11,10
2013-12,8
2014-01,10
2014-02,13
2014-03,15
2014-04,12
2014-05,12
2014-06,14
2014-07,10
2014-08,10
2014-09,11
2014-10,12
2014-11,11
2014-12,11
2015-01,12
2015-02,8
2015-03,12
2015-04,9
2015-05,7
2015-06,7
2015-07,7
2015-08,7
2015-09,8
2015-10,7
2015-11,7
2015-12,7
2016-01,7
2016-02,6
2016-03,8
2016-04,6
2016-05,6
2016-06,6
2016-07,5
2016-08,5
2016-09,6
2016-10,6
2016-11,5
2016-12,5
2017-01,5
2017-02,5
2017-03,5
2017-04,5
2017-05,5
2017-06,5
2017-07,5
2017-08,4
2017-09,4
2017-10,4
2017-11,5
2017-12,4
2018-01,5
2018-02,4
2018-03,5
2018-04,5
2018-05,6
2018-06,9
2018-07,6
2018-08,5
2018-09,7
2018-10,5
2018-11,4
2018-12,4
2019-01,5
2019-02,7
2019-03,4
2019-04,5
2019-05,5
2019-06,5
2019-07,6
2019-08,8
2019-09,8
2019-10,6
2019-11,6
2019-12,5
2020-01,7
2020-02,7
2020-03,8
2020-04,10
2020-05,7
2020-06,6
2020-07,5
2020-08,4
2020-09,5
2020-10,4
2020-11,5
2020-12,4
2021-01,4
2021-02,6
2021-03,6
2021-04,5
2021-05,5
2021-06,5
2021-07,6
2021-08,5
2021-09,6
2021-10,5
2021-11,5
2021-12,4
2022-01,5
2022-02,8
2022-03,10
2022-04,13
2022-05,7
2022-06,8
2022-07,8
2022-08,5
2022-09,8
2022-10,7
2022-11,7
2022-12,5
2023-01,6
2023-02,6
2023-03,6
