类别：所有类别

月份,通货膨胀: (尼日利亚)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,81
2004-06,100
2004-07,0
2004-08,62
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,83
2005-03,0
2005-04,0
2005-05,79
2005-06,62
2005-07,0
2005-08,57
2005-09,0
2005-10,0
2005-11,0
2005-12,0
2006-01,74
2006-02,0
2006-03,80
2006-04,21
2006-05,53
2006-06,0
2006-07,0
2006-08,0
2006-09,29
2006-10,0
2006-11,30
2006-12,0
2007-01,41
2007-02,20
2007-03,46
2007-04,0
2007-05,0
2007-06,31
2007-07,39
2007-08,25
2007-09,44
2007-10,17
2007-11,33
2007-12,78
2008-01,22
2008-02,15
2008-03,62
2008-04,13
2008-05,23
2008-06,44
2008-07,36
2008-08,37
2008-09,35
2008-10,15
2008-11,19
2008-12,15
2009-01,36
2009-02,26
2009-03,29
2009-04,52
2009-05,27
2009-06,31
2009-07,27
2009-08,9
2009-09,23
2009-10,11
2009-11,29
2009-12,28
2010-01,19
2010-02,0
2010-03,20
2010-04,9
2010-05,37
2010-06,23
2010-07,18
2010-08,13
2010-09,26
2010-10,5
2010-11,14
2010-12,8
2011-01,21
2011-02,18
2011-03,26
2011-04,18
2011-05,14
2011-06,23
2011-07,22
2011-08,15
2011-09,16
2011-10,13
2011-11,18
2011-12,12
2012-01,11
2012-02,16
2012-03,20
2012-04,15
2012-05,17
2012-06,19
2012-07,21
2012-08,15
2012-09,22
2012-10,16
2012-11,11
2012-12,12
2013-01,11
2013-02,17
2013-03,12
2013-04,18
2013-05,14
2013-06,15
2013-07,12
2013-08,9
2013-09,9
2013-10,7
2013-11,10
2013-12,6
2014-01,8
2014-02,10
2014-03,11
2014-04,8
2014-05,12
2014-06,11
2014-07,11
2014-08,9
2014-09,9
2014-10,10
2014-11,9
2014-12,8
2015-01,10
2015-02,11
2015-03,10
2015-04,8
2015-05,11
2015-06,11
2015-07,11
2015-08,10
2015-09,12
2015-10,11
2015-11,10
2015-12,9
2016-01,9
2016-02,13
2016-03,11
2016-04,8
2016-05,12
2016-06,11
2016-07,10
2016-08,10
2016-09,10
2016-10,9
2016-11,8
2016-12,6
2017-01,9
2017-02,9
2017-03,10
2017-04,10
2017-05,10
2017-06,9
2017-07,11
2017-08,7
2017-09,6
2017-10,9
2017-11,7
2017-12,5
2018-01,6
2018-02,8
2018-03,7
2018-04,6
2018-05,8
2018-06,8
2018-07,10
2018-08,6
2018-09,7
2018-10,7
2018-11,6
2018-12,4
2019-01,5
2019-02,4
2019-03,6
2019-04,7
2019-05,8
2019-06,9
2019-07,9
2019-08,5
2019-09,9
2019-10,9
2019-11,7
2019-12,4
2020-01,6
2020-02,7
2020-03,7
2020-04,4
2020-05,4
2020-06,4
2020-07,5
2020-08,5
2020-09,5
2020-10,5
2020-11,6
2020-12,5
2021-01,4
2021-02,8
2021-03,10
2021-04,8
2021-05,8
2021-06,10
2021-07,10
2021-08,7
2021-09,8
2021-10,9
2021-11,8
2021-12,6
2022-01,10
2022-02,10
2022-03,11
2022-04,9
2022-05,11
2022-06,14
2022-07,15
2022-08,12
2022-09,12
2022-10,12
2022-11,13
2022-12,10
2023-01,11
2023-02,11
2023-03,8
