Year,Month,Money Supply M2
2023,1,52966478.09
2022,1,45089157.64
2022,2,44739337.92
2022,3,45663905.91
2022,4,47146645.19
2022,5,48513506.45
2022,6,48897446.57
2022,7,48290293.34
2022,8,49315851.17
2022,9,49331836.37
2022,10,50628734.53
2022,11,51784485.54
2022,12,51747302.38
2021,1,37544491.37
2021,2,38099427.26
2021,3,38288212.81
2021,4,38462975.04
2021,5,38692973.28
2021,6,38863053.22
2021,7,39733556.72
2021,8,40810092.82
2021,9,40449202.79
2021,10,41474377.37
2021,11,42600088.22
2021,12,44443065.59
2020,1,29132380.36
2020,2,29719364.53
2020,3,31010122.07
2020,4,31958484.85
2020,5,32719162.68
2020,6,32593522.49
2020,7,33337326.82
2020,8,34262588.49
2020,9,34965447.66
2020,10,35729184.39
2020,11,36517795.8
2020,12,37828875.85
2019,1,26771087.05
2019,2,26546639.71
2019,3,26834815.12
2019,4,27579445.15
2019,5,27813701.61
2019,6,27898828.27
2019,7,28277141.77
2019,8,27556798.88
2019,9,27669957.17
2019,10,27811790.84
2019,11,28415371.99
2019,12,28783194.45
2018,1,23963031.48
2018,2,24143010.28
2018,3,24424422.14
2018,4,24474153.99
2018,5,25169014.19
2018,6,24814004.52
2018,7,24971101.93
2018,8,24859346.47
2018,9,25560662.33
2018,10,26041903.87
2018,11,25467425.55
2018,12,27068575.06
2017,1,23096526.55
2017,2,22210954.84
2017,3,22304267.84
2017,4,21768241.12
2017,5,22047770.68
2017,6,21980582.35
2017,7,22195019.77
2017,8,21851454.31
2017,9,21953993.84
2017,10,22500618.01
2017,11,22311118.02
2017,12,24140634.21
2016,1,19799457.54
2016,2,20620803.08
2016,3,20470436
2016,4,20727909.47
2016,5,21035132.36
2016,6,22078013.46
2016,7,22535192.76
2016,8,22057000.95
2016,9,22013780.89
2016,10,22180072.3
2016,11,22386048.43
2016,12,23591732.58
2015,1,18965533.5
2015,2,18865922.34
2015,3,19132363.3
2015,4,19608078.85
2015,5,19196565.14
2015,6,18811429.4
2015,7,18424703.08
2015,8,18491571.96
2015,9,18718003.11
2015,10,18204395.78
2015,11,18367238.54
2015,12,20029831.12
2014,1,15493689.5
2014,2,15424175.17
2014,3,17732918.56
2014,4,17886647.83
2014,5,17622558.39
2014,6,17576640.3
2014,7,18102242.84
2014,8,17898902.47
2014,9,18200156.68
2014,10,18496197.88
2014,11,18804279.94
2014,12,18913028.98
2013,1,15308392.82
2013,2,15547624.71
2013,3,15669169.15
2013,4,15634382.05
2013,5,15424052.62
2013,6,15593172.51
2013,7,14811429.8
2013,8,14619449.23
2013,9,14362451.07
2013,10,14529508
2013,11,14734882.8
2013,12,15688963.55
2012,1,13755293.22
2012,2,13153787.49
2012,3,13270973.81
2012,4,13304783.81
2012,5,13603139.34
2012,6,13480391.26
2012,7,13392426.38
2012,8,13770062.26
2012,9,14065267.13
2012,10,14399299.17
2012,11,15062729.97
2012,12,15483847.53
2011,1,11561525.95
2011,2,11595668.3
2011,3,11653623.81
2011,4,11898956.66
2011,5,11986234.87
2011,6,12172096.71
2011,7,12389274.84
2011,8,12508014.99
2011,9,12618080.33
2011,10,12172500.07
2011,11,12210412.37
2011,12,13303494.5
2010,1,10446373.94
2010,2,10792645.17
2010,3,11023312.97
2010,4,10972487.61
2010,5,10759314.65
2010,6,10845498.1
2010,7,10941435.3
2010,8,11520644.68
2010,9,11224789.77
2010,10,11224607.28
2010,11,11142651.36
