类别：所有类别

月份,价格: (尼日利亚)
2004-01,19
2004-02,31
2004-03,35
2004-04,23
2004-05,40
2004-06,28
2004-07,37
2004-08,24
2004-09,23
2004-10,26
2004-11,42
2004-12,30
2005-01,30
2005-02,21
2005-03,14
2005-04,25
2005-05,28
2005-06,23
2005-07,35
2005-08,31
2005-09,30
2005-10,27
2005-11,21
2005-12,17
2006-01,26
2006-02,30
2006-03,22
2006-04,29
2006-05,22
2006-06,27
2006-07,27
2006-08,27
2006-09,26
2006-10,30
2006-11,32
2006-12,24
2007-01,32
2007-02,26
2007-03,28
2007-04,27
2007-05,29
2007-06,21
2007-07,28
2007-08,22
2007-09,30
2007-10,27
2007-11,21
2007-12,22
2008-01,27
2008-02,33
2008-03,29
2008-04,34
2008-05,32
2008-06,29
2008-07,33
2008-08,31
2008-09,31
2008-10,31
2008-11,34
2008-12,31
2009-01,30
2009-02,29
2009-03,33
2009-04,34
2009-05,33
2009-06,35
2009-07,34
2009-08,34
2009-09,32
2009-10,34
2009-11,40
2009-12,33
2010-01,35
2010-02,33
2010-03,39
2010-04,41
2010-05,38
2010-06,43
2010-07,30
2010-08,32
2010-09,32
2010-10,29
2010-11,34
2010-12,38
2011-01,39
2011-02,35
2011-03,37
2011-04,34
2011-05,38
2011-06,39
2011-07,36
2011-08,37
2011-09,36
2011-10,38
2011-11,33
2011-12,29
2012-01,34
2012-02,28
2012-03,27
2012-04,26
2012-05,27
2012-06,26
2012-07,30
2012-08,28
2012-09,31
2012-10,31
2012-11,31
2012-12,31
2013-01,35
2013-02,34
2013-03,32
2013-04,33
2013-05,34
2013-06,40
2013-07,36
2013-08,34
2013-09,36
2013-10,33
2013-11,54
2013-12,44
2014-01,46
2014-02,44
2014-03,43
2014-04,45
2014-05,41
2014-06,40
2014-07,43
2014-08,40
2014-09,46
2014-10,42
2014-11,45
2014-12,45
2015-01,44
2015-02,42
2015-03,40
2015-04,43
2015-05,41
2015-06,40
2015-07,41
2015-08,38
2015-09,36
2015-10,42
2015-11,44
2015-12,50
2016-01,45
2016-02,44
2016-03,42
2016-04,43
2016-05,50
2016-06,49
2016-07,48
2016-08,46
2016-09,48
2016-10,45
2016-11,49
2016-12,47
2017-01,43
2017-02,41
2017-03,43
2017-04,43
2017-05,43
2017-06,45
2017-07,44
2017-08,45
2017-09,45
2017-10,46
2017-11,47
2017-12,48
2018-01,50
2018-02,47
2018-03,48
2018-04,47
2018-05,51
2018-06,51
2018-07,51
2018-08,49
2018-09,48
2018-10,46
2018-11,52
2018-12,54
2019-01,54
2019-02,50
2019-03,51
2019-04,60
2019-05,61
2019-06,63
2019-07,64
2019-08,64
2019-09,68
2019-10,68
2019-11,69
2019-12,67
2020-01,69
2020-02,66
2020-03,68
2020-04,71
2020-05,86
2020-06,88
2020-07,81
2020-08,87
2020-09,87
2020-10,73
2020-11,84
2020-12,91
2021-01,91
2021-02,80
2021-03,82
2021-04,83
2021-05,83
2021-06,80
2021-07,80
2021-08,80
2021-09,80
2021-10,79
2021-11,84
2021-12,78
2022-01,94
2022-02,90
2022-03,100
2022-04,96
2022-05,94
2022-06,93
2022-07,99
2022-08,89
2022-09,92
2022-10,88
2022-11,86
2022-12,95
2023-01,88
2023-02,75
2023-03,70
