类别：所有类别

月份,汽车: (尼日利亚)
2004-01,77
2004-02,84
2004-03,100
2004-04,85
2004-05,76
2004-06,92
2004-07,91
2004-08,89
2004-09,97
2004-10,76
2004-11,83
2004-12,52
2005-01,84
2005-02,78
2005-03,82
2005-04,68
2005-05,72
2005-06,66
2005-07,63
2005-08,68
2005-09,62
2005-10,73
2005-11,60
2005-12,66
2006-01,66
2006-02,64
2006-03,69
2006-04,64
2006-05,60
2006-06,62
2006-07,61
2006-08,56
2006-09,54
2006-10,66
2006-11,50
2006-12,49
2007-01,46
2007-02,43
2007-03,54
2007-04,49
2007-05,54
2007-06,44
2007-07,38
2007-08,42
2007-09,47
2007-10,47
2007-11,40
2007-12,41
2008-01,42
2008-02,43
2008-03,48
2008-04,49
2008-05,45
2008-06,46
2008-07,40
2008-08,44
2008-09,42
2008-10,41
2008-11,48
2008-12,42
2009-01,44
2009-02,44
2009-03,39
2009-04,42
2009-05,40
2009-06,41
2009-07,41
2009-08,45
2009-09,41
2009-10,36
2009-11,41
2009-12,37
2010-01,43
2010-02,38
2010-03,39
2010-04,41
2010-05,38
2010-06,42
2010-07,31
2010-08,31
2010-09,30
2010-10,31
2010-11,27
2010-12,29
2011-01,34
2011-02,30
2011-03,30
2011-04,28
2011-05,32
2011-06,32
2011-07,31
2011-08,30
2011-09,30
2011-10,30
2011-11,29
2011-12,23
2012-01,20
2012-02,22
2012-03,21
2012-04,22
2012-05,21
2012-06,20
2012-07,22
2012-08,20
2012-09,21
2012-10,21
2012-11,22
2012-12,22
2013-01,23
2013-02,23
2013-03,23
2013-04,23
2013-05,23
2013-06,24
2013-07,23
2013-08,23
2013-09,25
2013-10,21
2013-11,21
2013-12,26
2014-01,26
2014-02,25
2014-03,23
2014-04,24
2014-05,22
2014-06,23
2014-07,21
2014-08,23
2014-09,23
2014-10,21
2014-11,21
2014-12,18
2015-01,20
2015-02,20
2015-03,20
2015-04,19
2015-05,20
2015-06,19
2015-07,18
2015-08,16
2015-09,18
2015-10,18
2015-11,17
2015-12,18
2016-01,17
2016-02,16
2016-03,17
2016-04,17
2016-05,18
2016-06,17
2016-07,18
2016-08,16
2016-09,18
2016-10,16
2016-11,16
2016-12,16
2017-01,16
2017-02,15
2017-03,16
2017-04,15
2017-05,15
2017-06,16
2017-07,16
2017-08,15
2017-09,15
2017-10,16
2017-11,15
2017-12,15
2018-01,14
2018-02,15
2018-03,17
2018-04,15
2018-05,18
2018-06,16
2018-07,15
2018-08,16
2018-09,15
2018-10,15
2018-11,16
2018-12,17
2019-01,18
2019-02,16
2019-03,17
2019-04,16
2019-05,19
2019-06,19
2019-07,19
2019-08,20
2019-09,18
2019-10,19
2019-11,18
2019-12,19
2020-01,19
2020-02,18
2020-03,18
2020-04,19
2020-05,22
2020-06,21
2020-07,21
2020-08,20
2020-09,21
2020-10,18
2020-11,19
2020-12,20
2021-01,20
2021-02,20
2021-03,20
2021-04,19
2021-05,19
2021-06,20
2021-07,22
2021-08,21
2021-09,20
2021-10,19
2021-11,19
2021-12,19
2022-01,23
2022-02,23
2022-03,23
2022-04,23
2022-05,21
2022-06,21
2022-07,22
2022-08,21
2022-09,23
2022-10,21
2022-11,20
2022-12,21
2023-01,21
2023-02,18
2023-03,18
