类别：所有类别

月份,电: (尼日利亚)
2004-01,0
2004-02,67
2004-03,36
2004-04,23
2004-05,0
2004-06,24
2004-07,34
2004-08,33
2004-09,31
2004-10,0
2004-11,0
2004-12,35
2005-01,45
2005-02,33
2005-03,17
2005-04,60
2005-05,33
2005-06,39
2005-07,50
2005-08,100
2005-09,20
2005-10,29
2005-11,34
2005-12,30
2006-01,51
2006-02,40
2006-03,58
2006-04,46
2006-05,45
2006-06,35
2006-07,27
2006-08,33
2006-09,20
2006-10,22
2006-11,28
2006-12,25
2007-01,0
2007-02,38
2007-03,27
2007-04,22
2007-05,26
2007-06,33
2007-07,24
2007-08,27
2007-09,31
2007-10,21
2007-11,34
2007-12,48
2008-01,35
2008-02,34
2008-03,44
2008-04,34
2008-05,25
2008-06,34
2008-07,42
2008-08,32
2008-09,22
2008-10,29
2008-11,27
2008-12,23
2009-01,30
2009-02,27
2009-03,28
2009-04,31
2009-05,27
2009-06,26
2009-07,27
2009-08,27
2009-09,21
2009-10,24
2009-11,24
2009-12,26
2010-01,29
2010-02,28
2010-03,31
2010-04,30
2010-05,35
2010-06,34
2010-07,21
2010-08,21
2010-09,21
2010-10,25
2010-11,16
2010-12,19
2011-01,20
2011-02,24
2011-03,26
2011-04,21
2011-05,24
2011-06,28
2011-07,23
2011-08,20
2011-09,23
2011-10,20
2011-11,20
2011-12,18
2012-01,16
2012-02,23
2012-03,20
2012-04,21
2012-05,21
2012-06,21
2012-07,20
2012-08,19
2012-09,23
2012-10,18
2012-11,18
2012-12,15
2013-01,21
2013-02,22
2013-03,19
2013-04,20
2013-05,20
2013-06,23
2013-07,24
2013-08,18
2013-09,17
2013-10,16
2013-11,16
2013-12,13
2014-01,14
2014-02,17
2014-03,16
2014-04,17
2014-05,21
2014-06,19
2014-07,17
2014-08,16
2014-09,17
2014-10,18
2014-11,18
2014-12,15
2015-01,17
2015-02,18
2015-03,18
2015-04,17
2015-05,21
2015-06,21
2015-07,18
2015-08,14
2015-09,15
2015-10,17
2015-11,15
2015-12,15
2016-01,18
2016-02,20
2016-03,17
2016-04,17
2016-05,19
2016-06,19
2016-07,16
2016-08,15
2016-09,14
2016-10,13
2016-11,13
2016-12,10
2017-01,14
2017-02,16
2017-03,16
2017-04,15
2017-05,16
2017-06,16
2017-07,14
2017-08,12
2017-09,12
2017-10,14
2017-11,11
2017-12,10
2018-01,14
2018-02,15
2018-03,14
2018-04,13
2018-05,16
2018-06,14
2018-07,13
2018-08,13
2018-09,12
2018-10,12
2018-11,11
2018-12,10
2019-01,13
2019-02,12
2019-03,14
2019-04,15
2019-05,17
2019-06,16
2019-07,14
2019-08,13
2019-09,14
2019-10,14
2019-11,14
2019-12,13
2020-01,14
2020-02,17
2020-03,14
2020-04,13
2020-05,13
2020-06,13
2020-07,11
2020-08,11
2020-09,14
2020-10,11
2020-11,12
2020-12,10
2021-01,12
2021-02,14
2021-03,15
2021-04,13
2021-05,14
2021-06,17
2021-07,16
2021-08,14
2021-09,13
2021-10,12
2021-11,13
2021-12,9
2022-01,15
2022-02,18
2022-03,17
2022-04,14
2022-05,17
2022-06,18
2022-07,15
2022-08,25
2022-09,37
2022-10,23
2022-11,19
2022-12,17
2023-01,17
2023-02,16
2023-03,16
