类别：所有类别

月份,摩托车: (尼日利亚)
2004-01,0
2004-02,39
2004-03,47
2004-04,0
2004-05,51
2004-06,58
2004-07,20
2004-08,53
2004-09,41
2004-10,100
2004-11,58
2004-12,37
2005-01,74
2005-02,40
2005-03,42
2005-04,57
2005-05,51
2005-06,38
2005-07,53
2005-08,34
2005-09,44
2005-10,40
2005-11,49
2005-12,34
2006-01,58
2006-02,47
2006-03,46
2006-04,25
2006-05,13
2006-06,23
2006-07,32
2006-08,32
2006-09,49
2006-10,40
2006-11,35
2006-12,14
2007-01,22
2007-02,20
2007-03,17
2007-04,16
2007-05,33
2007-06,35
2007-07,20
2007-08,15
2007-09,24
2007-10,16
2007-11,10
2007-12,6
2008-01,16
2008-02,28
2008-03,18
2008-04,12
2008-05,5
2008-06,17
2008-07,23
2008-08,18
2008-09,14
2008-10,8
2008-11,26
2008-12,16
2009-01,9
2009-02,16
2009-03,16
2009-04,11
2009-05,17
2009-06,10
2009-07,10
2009-08,17
2009-09,19
2009-10,16
2009-11,9
2009-12,12
2010-01,27
2010-02,17
2010-03,18
2010-04,14
2010-05,20
2010-06,16
2010-07,11
2010-08,13
2010-09,11
2010-10,9
2010-11,9
2010-12,9
2011-01,13
2011-02,11
2011-03,9
2011-04,10
2011-05,9
2011-06,6
2011-07,9
2011-08,8
2011-09,11
2011-10,12
2011-11,13
2011-12,9
2012-01,6
2012-02,7
2012-03,6
2012-04,6
2012-05,5
2012-06,6
2012-07,7
2012-08,5
2012-09,6
2012-10,7
2012-11,7
2012-12,8
2013-01,7
2013-02,7
2013-03,7
2013-04,7
2013-05,6
2013-06,6
2013-07,7
2013-08,6
2013-09,6
2013-10,6
2013-11,7
2013-12,11
2014-01,12
2014-02,11
2014-03,12
2014-04,12
2014-05,9
2014-06,9
2014-07,8
2014-08,7
2014-09,8
2014-10,9
2014-11,7
2014-12,7
2015-01,7
2015-02,8
2015-03,7
2015-04,7
2015-05,7
2015-06,6
2015-07,5
2015-08,6
2015-09,6
2015-10,5
2015-11,6
2015-12,6
2016-01,5
2016-02,6
2016-03,6
2016-04,6
2016-05,6
2016-06,5
2016-07,6
2016-08,5
2016-09,5
2016-10,5
2016-11,4
2016-12,5
2017-01,5
2017-02,5
2017-03,4
2017-04,5
2017-05,5
2017-06,6
2017-07,4
2017-08,5
2017-09,5
2017-10,5
2017-11,5
2017-12,6
2018-01,6
2018-02,5
2018-03,5
2018-04,5
2018-05,5
2018-06,6
2018-07,5
2018-08,5
2018-09,6
2018-10,5
2018-11,5
2018-12,5
2019-01,6
2019-02,5
2019-03,6
2019-04,6
2019-05,6
2019-06,7
2019-07,7
2019-08,7
2019-09,7
2019-10,7
2019-11,7
2019-12,6
2020-01,7
2020-02,7
2020-03,6
2020-04,7
2020-05,9
2020-06,8
2020-07,8
2020-08,8
2020-09,8
2020-10,7
2020-11,8
2020-12,7
2021-01,8
2021-02,7
2021-03,8
2021-04,7
2021-05,7
2021-06,7
2021-07,8
2021-08,8
2021-09,7
2021-10,7
2021-11,7
2021-12,7
2022-01,8
2022-02,8
2022-03,8
2022-04,8
2022-05,9
2022-06,8
2022-07,9
2022-08,8
2022-09,8
2022-10,8
2022-11,7
2022-12,7
2023-01,7
2023-02,7
2023-03,7
