类别：所有类别

月份,石油: (尼日利亚)
2004-01,78
2004-02,100
2004-03,43
2004-04,82
2004-05,89
2004-06,74
2004-07,95
2004-08,59
2004-09,42
2004-10,81
2004-11,54
2004-12,77
2005-01,89
2005-02,81
2005-03,94
2005-04,96
2005-05,85
2005-06,86
2005-07,67
2005-08,60
2005-09,62
2005-10,64
2005-11,50
2005-12,61
2006-01,74
2006-02,64
2006-03,74
2006-04,64
2006-05,56
2006-06,52
2006-07,57
2006-08,61
2006-09,55
2006-10,54
2006-11,59
2006-12,56
2007-01,69
2007-02,56
2007-03,59
2007-04,56
2007-05,56
2007-06,64
2007-07,62
2007-08,61
2007-09,60
2007-10,65
2007-11,62
2007-12,51
2008-01,74
2008-02,64
2008-03,71
2008-04,52
2008-05,63
2008-06,56
2008-07,51
2008-08,61
2008-09,66
2008-10,53
2008-11,60
2008-12,46
2009-01,66
2009-02,58
2009-03,52
2009-04,52
2009-05,47
2009-06,53
2009-07,54
2009-08,52
2009-09,41
2009-10,43
2009-11,47
2009-12,47
2010-01,49
2010-02,52
2010-03,61
2010-04,47
2010-05,57
2010-06,56
2010-07,35
2010-08,30
2010-09,34
2010-10,30
2010-11,35
2010-12,28
2011-01,36
2011-02,39
2011-03,42
2011-04,36
2011-05,35
2011-06,36
2011-07,36
2011-08,29
2011-09,30
2011-10,32
2011-11,29
2011-12,24
2012-01,38
2012-02,25
2012-03,26
2012-04,24
2012-05,24
2012-06,22
2012-07,22
2012-08,22
2012-09,24
2012-10,23
2012-11,22
2012-12,18
2013-01,22
2013-02,25
2013-03,22
2013-04,21
2013-05,21
2013-06,21
2013-07,19
2013-08,17
2013-09,17
2013-10,18
2013-11,17
2013-12,11
2014-01,13
2014-02,15
2014-03,15
2014-04,13
2014-05,17
2014-06,15
2014-07,15
2014-08,15
2014-09,15
2014-10,16
2014-11,16
2014-12,16
2015-01,18
2015-02,18
2015-03,14
2015-04,15
2015-05,18
2015-06,16
2015-07,14
2015-08,14
2015-09,14
2015-10,16
2015-11,15
2015-12,14
2016-01,15
2016-02,16
2016-03,15
2016-04,14
2016-05,17
2016-06,15
2016-07,12
2016-08,12
2016-09,13
2016-10,13
2016-11,13
2016-12,10
2017-01,11
2017-02,11
2017-03,11
2017-04,9
2017-05,11
2017-06,11
2017-07,12
2017-08,8
2017-09,8
2017-10,9
2017-11,9
2017-12,8
2018-01,10
2018-02,10
2018-03,9
2018-04,9
2018-05,10
2018-06,10
2018-07,9
2018-08,8
2018-09,8
2018-10,8
2018-11,8
2018-12,7
2019-01,8
2019-02,8
2019-03,8
2019-04,9
2019-05,11
2019-06,11
2019-07,11
2019-08,9
2019-09,9
2019-10,9
2019-11,9
2019-12,7
2020-01,9
2020-02,10
2020-03,11
2020-04,13
2020-05,9
2020-06,8
2020-07,7
2020-08,7
2020-09,7
2020-10,6
2020-11,7
2020-12,6
2021-01,6
2021-02,8
2021-03,8
2021-04,7
2021-05,7
2021-06,8
2021-07,8
2021-08,7
2021-09,6
2021-10,6
2021-11,7
2021-12,5
2022-01,8
2022-02,9
2022-03,9
2022-04,7
2022-05,8
2022-06,8
2022-07,8
2022-08,7
2022-09,7
2022-10,8
2022-11,9
2022-12,7
2023-01,8
2023-02,8
2023-03,7
