index,类别：所有类别
2018-01,8
2018-02,8
2018-03,8
2018-04,8
2018-05,7
2018-06,6
2018-07,7
2018-08,6
2018-09,7
2018-10,6
2018-11,6
2018-12,7
2019-01,7
2019-02,7
2019-03,7
2019-04,7
2019-05,7
2019-06,6
2019-07,6
2019-08,8
2019-09,7
2019-10,6
2019-11,8
2019-12,9
2020-01,9
2020-02,8
2020-03,7
2020-04,8
2020-05,7
2020-06,7
2020-07,6
2020-08,8
2020-09,8
2020-10,7
2020-11,7
2020-12,9
2021-01,8
2021-02,10
2021-03,9
2021-04,9
2021-05,9
2021-06,11
2021-07,9
2021-08,9
2021-09,9
2021-10,9
2021-11,9
2021-12,10
2022-01,12
2022-02,15
2022-03,16
2022-04,17
2022-05,20
2022-06,19
2022-07,17
2022-08,17
2022-09,17
2022-10,14
2022-11,16
2022-12,14
2023-01,16
2023-02,16
2023-03,12
