DATE,MABMM301INM189N
2018-01-01,134132730000000.02
2018-02-01,135286430000000.0
2018-03-01,136775739999999.98
2018-04-01,139620959999999.98
2018-05-01,140234760000000.02
2018-06-01,140522019999999.98
2018-07-01,141370260000000.0
2018-08-01,142070490000000.0
2018-09-01,142222170000000.0
2018-10-01,144412920000000.0
2018-11-01,145187750000000.0
2018-12-01,145496950000000.0
2019-01-01,147587900000000.0
2019-02-01,149398270000000.0
2019-03-01,154308280000000.0
2019-04-01,154301050000000.0
2019-05-01,154399190000000.0
2019-06-01,154781820000000.0
2019-07-01,155677810000000.0
2019-08-01,156414630000000.0
2019-09-01,156500450000000.0
2019-10-01,158864340000000.0
2019-11-01,159902610000000.0
2019-12-01,161646190000000.0
2020-01-01,162664090000000.0
2020-02-01,163700230000000.0
2020-03-01,167999300000000.0
2020-04-01,170340880000000.0
2020-05-01,172308640000000.0
2020-06-01,173194180000000.0
2020-07-01,176256880000000.0
2020-08-01,176256880000000.0
2020-09-01,177397650000000.0
2020-10-01,178037390000000.0
2020-11-01,179379390000000.0
2020-12-01,180553720000000.0
2021-01-01,184016660000000.0
2021-02-01,185637600000000.0
2021-03-01,187731480000000.0
2021-04-01,189166300000000.0
2021-05-01,190109200000000.0
2021-06-01,191675100000000.0
2021-07-01,193716000000000.0
2021-08-01,193292450000000.0
2021-09-01,193973000000000.0
2021-10-01,195241260000000.0
2021-11-01,196465890000000.0
2021-12-01,201140400000000.0
2022-01-01,199473300000000.0
2022-02-01,201835300000000.0
2022-03-01,204896000000000.0
2022-04-01,207120600000000.0
2022-05-01,206804400000000.0
2022-06-01,206623200000000.0
2022-07-01,209109470000000.0
2022-08-01,210367140000000.0
2022-09-01,211284840000000.0
2022-10-01,213451000000000.0
2022-11-01,216165630000000.0
2022-12-01,214828830000000.0
