index,类别：所有类别
2018-01,75
2018-02,78
2018-03,77
2018-04,71
2018-05,71
2018-06,72
2018-07,75
2018-08,72
2018-09,75
2018-10,83
2018-11,88
2018-12,73
2019-01,71
2019-02,70
2019-03,65
2019-04,68
2019-05,73
2019-06,73
2019-07,75
2019-08,78
2019-09,88
2019-10,89
2019-11,82
2019-12,78
2020-01,75
2020-02,80
2020-03,77
2020-04,51
2020-05,65
2020-06,87
2020-07,89
2020-08,85
2020-09,89
2020-10,93
2020-11,94
2020-12,82
2021-01,89
2021-02,87
2021-03,82
2021-04,68
2021-05,66
2021-06,79
2021-07,84
2021-08,79
2021-09,75
2021-10,79
2021-11,72
2021-12,68
2022-01,72
2022-02,76
2022-03,79
2022-04,79
2022-05,78
2022-06,79
2022-07,80
2022-08,82
2022-09,80
2022-10,91
2022-11,80
2022-12,76
2023-01,76
2023-02,78
2023-03,75
