index,类别：所有类别
2018-01,72
2018-02,66
2018-03,66
2018-04,63
2018-05,64
2018-06,59
2018-07,66
2018-08,59
2018-09,59
2018-10,61
2018-11,60
2018-12,56
2019-01,57
2019-02,56
2019-03,53
2019-04,54
2019-05,56
2019-06,58
2019-07,58
2019-08,61
2019-09,68
2019-10,68
2019-11,66
2019-12,60
2020-01,64
2020-02,65
2020-03,70
2020-04,57
2020-05,80
2020-06,95
2020-07,93
2020-08,93
2020-09,89
2020-10,87
2020-11,89
2020-12,88
2021-01,95
2021-02,98
2021-03,88
2021-04,85
2021-05,88
2021-06,100
2021-07,97
2021-08,92
2021-09,87
2021-10,94
2021-11,91
2021-12,87
2022-01,88
2022-02,97
2022-03,93
2022-04,90
2022-05,93
2022-06,86
2022-07,82
2022-08,78
2022-09,87
2022-10,85
2022-11,80
2022-12,84
2023-01,77
2023-02,83
2023-03,83
