index,类别：所有类别
2018-01,61
2018-02,61
2018-03,60
2018-04,58
2018-05,62
2018-06,61
2018-07,60
2018-08,61
2018-09,65
2018-10,69
2018-11,73
2018-12,71
2019-01,67
2019-02,57
2019-03,57
2019-04,68
2019-05,71
2019-06,66
2019-07,66
2019-08,69
2019-09,69
2019-10,70
2019-11,67
2019-12,68
2020-01,66
2020-02,64
2020-03,56
2020-04,44
2020-05,54
2020-06,66
2020-07,66
2020-08,69
2020-09,72
2020-10,67
2020-11,67
2020-12,69
2021-01,72
2021-02,66
2021-03,60
2021-04,55
2021-05,52
2021-06,63
2021-07,64
2021-08,63
2021-09,58
2021-10,54
2021-11,56
2021-12,59
2022-01,61
2022-02,64
2022-03,61
2022-04,61
2022-05,62
2022-06,60
2022-07,59
2022-08,64
2022-09,57
2022-10,60
2022-11,56
2022-12,60
2023-01,59
2023-02,59
2023-03,57
