index,类别：所有类别
2018-02,16
2018-03,18
2018-04,19
2018-05,20
2018-06,31
2018-07,20
2018-08,22
2018-09,23
2018-10,18
2018-11,16
2018-12,15
2019-01,16
2019-02,39
2019-03,53
2019-04,33
2019-05,29
2019-06,29
2019-07,22
2019-08,21
2019-09,19
2019-10,26
2019-11,17
2019-12,15
2020-01,13
2020-02,15
2020-03,14
2020-04,13
2020-05,15
2020-06,14
2020-07,12
2020-08,12
2020-09,13
2020-10,12
2020-11,14
2020-12,15
2021-01,15
2021-02,16
2021-03,17
2021-04,16
2021-05,15
2021-06,51
2021-07,16
2021-08,14
2021-09,13
2021-10,14
2021-11,13
2021-12,13
2022-01,13
2022-02,15
2022-03,19
2022-04,27
2022-05,27
2022-06,20
2022-07,17
2022-08,16
2022-09,16
2022-10,13
2022-11,13
2022-12,13
2023-01,12
2023-02,16
2023-03,17
