index,类别：所有类别
2018-01,43
2018-02,42
2018-03,42
2018-04,42
2018-05,46
2018-06,55
2018-07,51
2018-08,48
2018-09,47
2018-10,43
2018-11,41
2018-12,43
2019-01,46
2019-02,46
2019-03,43
2019-04,42
2019-05,46
2019-06,52
2019-07,53
2019-08,52
2019-09,53
2019-10,48
2019-11,47
2019-12,47
2020-01,48
2020-02,52
2020-03,44
2020-04,46
2020-05,63
2020-06,64
2020-07,62
2020-08,60
2020-09,59
2020-10,53
2020-11,49
2020-12,52
2021-01,55
2021-02,57
2021-03,62
2021-04,49
2021-05,55
2021-06,66
2021-07,64
2021-08,56
2021-09,55
2021-10,54
2021-11,49
2021-12,55
2022-01,62
2022-02,69
2022-03,71
2022-04,68
2022-05,68
2022-06,69
2022-07,67
2022-08,62
2022-09,65
2022-10,56
2022-11,60
2022-12,60
2023-01,60
2023-02,66
2023-03,73
