index,类别：所有类别
2018-01,29
2018-02,24
2018-03,21
2018-04,23
2018-05,26
2018-06,23
2018-07,36
2018-08,33
2018-09,39
2018-10,37
2018-11,34
2018-12,33
2019-01,31
2019-02,26
2019-03,21
2019-04,19
2019-05,19
2019-06,25
2019-07,31
2019-08,30
2019-09,33
2019-10,23
2019-11,26
2019-12,24
2020-01,26
2020-02,24
2020-03,39
2020-04,52
2020-05,26
2020-06,37
2020-07,27
2020-08,26
2020-09,23
2020-10,19
2020-11,20
2020-12,22
2021-01,23
2021-02,27
2021-03,24
2021-04,16
2021-05,20
2021-06,29
2021-07,31
2021-08,21
2021-09,23
2021-10,24
2021-11,24
2021-12,21
2022-01,23
2022-02,32
2022-03,52
2022-04,32
2022-05,27
2022-06,31
2022-07,31
2022-08,27
2022-09,29
2022-10,24
2022-11,24
2022-12,25
2023-01,24
2023-02,22
2023-03,23
