index,类别：所有类别
2018-01,12
2018-02,11
2018-03,13
2018-04,13
2018-05,12
2018-06,5
2018-07,8
2018-08,8
2018-09,14
2018-10,21
2018-11,24
2018-12,14
2019-01,14
2019-02,11
2019-03,15
2019-04,14
2019-05,13
2019-06,7
2019-07,9
2019-08,8
2019-09,12
2019-10,21
2019-11,23
2019-12,17
2020-01,13
2020-02,14
2020-03,17
2020-04,16
2020-05,12
2020-06,14
2020-07,8
2020-08,8
2020-09,14
2020-10,16
2020-11,23
2020-12,19
2021-01,11
2021-02,12
2021-03,18
2021-04,13
2021-05,10
2021-06,15
2021-07,7
2021-08,7
2021-09,11
2021-10,14
2021-11,22
2021-12,18
2022-01,17
2022-02,17
2022-03,25
2022-04,18
2022-05,16
2022-06,18
2022-07,19
2022-08,21
2022-09,30
2022-10,35
2022-11,35
2022-12,21
2023-01,16
2023-02,18
2023-03,20
