index,类别：所有类别
2018-01,71
2018-02,69
2018-03,68
2018-04,64
2018-05,66
2018-06,77
2018-07,71
2018-08,69
2018-09,71
2018-10,68
2018-11,75
2018-12,85
2019-01,86
2019-02,97
2019-03,100
2019-04,75
2019-05,79
2019-06,92
2019-07,86
2019-08,75
2019-09,72
2019-10,74
2019-11,74
2019-12,80
2020-01,82
2020-02,79
2020-03,70
2020-04,63
2020-05,73
2020-06,80
2020-07,74
2020-08,74
2020-09,65
2020-10,70
2020-11,71
2020-12,74
2021-01,70
2021-02,71
2021-03,66
2021-04,68
2021-05,74
2021-06,70
2021-07,58
2021-08,57
2021-09,56
2021-10,58
2021-11,58
2021-12,59
2022-01,61
2022-02,56
2022-03,58
2022-04,59
2022-05,67
2022-06,60
2022-07,58
2022-08,53
2022-09,55
2022-10,52
2022-11,48
2022-12,52
2023-01,59
2023-02,54
2023-03,50
