index,类别：所有类别
2018-01,72
2018-02,71
2018-03,70
2018-04,69
2018-05,71
2018-06,76
2018-07,70
2018-08,70
2018-09,66
2018-10,69
2018-11,72
2018-12,81
2019-01,79
2019-02,75
2019-03,79
2019-04,71
2019-05,80
2019-06,91
2019-07,75
2019-08,68
2019-09,67
2019-10,70
2019-11,68
2019-12,69
2020-01,75
2020-02,71
2020-03,64
2020-04,57
2020-05,59
2020-06,64
2020-07,60
2020-08,58
2020-09,55
2020-10,55
2020-11,58
2020-12,63
2021-01,61
2021-02,60
2021-03,56
2021-04,60
2021-05,60
2021-06,56
2021-07,45
2021-08,49
2021-09,52
2021-10,53
2021-11,58
2021-12,58
2022-01,58
2022-02,52
2022-03,54
2022-04,57
2022-05,64
2022-06,54
2022-07,55
2022-08,50
2022-09,51
2022-10,50
2022-11,48
2022-12,49
2023-01,52
2023-02,50
2023-03,53
